,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score
54,LIAB_LONG_BOND_DEB_VAL,00317,Long-term debt - Bonds and debentures,Long Term Debt - Bonds               317 Long Term Debt - Bonds Long Term Debt - Bonds Long-term debt -- Bonds & debentures              00317,69.2%
55,RCPT_TOT_VAL,00101,"Sales, Shipments, Receipts, or Revenue","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",69.1%
56,ASSET_INV_VAL,00214,Inventories,Inventories                          214 Inventories Inventories Inventories                                       00214,68.8%
57,INCOM_EXPS_NOP_DBCRD1_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 1,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,68.7%
58,ASSET_GROSS_PPE_VAL,00216,"Property, plant, and equipment",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,68.6%
59,INCOM_EXPS_EXTROR_DBCRD_TXT,00116,"Extraordinary gains (losses), net of taxes - principal debits and credits that contribute - Description",Extraordinary Gains                  116 Extraordinary Gains Extraordinary Gains Extraordinary Gains (Losses)                      00116,68.4%
60,LIAB_OTH_LLOAN_IN_BND,00317,"Long-term debt - Other long-term loans, including bonds and debentures",Long Term Debt - Bonds               317 Long Term Debt - Bonds Long Term Debt - Bonds Long-term debt -- Bonds & debentures              00317,68.4%
61,EXPS_OP_COST_OTH_VAL,00103,All other operating costs and expenses,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,68.4%
62,RCPT_TOT,00101,"Total Sales, Shipments, Receipts or Revenue","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",68.2%
63,INCOM_EXPS_EXTROR_DBCRD_VAL,00116,"Extraordinary gains (losses), net of taxes - principal debits and credits that contribute - Amount",Extraordinary Gains                  116 Extraordinary Gains Extraordinary Gains Extraordinary Gains (Losses)                      00116,68.1%
64,CLOSING_DATE_DAY,00021,Annual closing date of this corporation: Day,Closing date Closing date Closing date Annual closing date (MMDD)                        00021,67.2%
65,TAX_DOM_STLOC_NOPROV_TXT,00114,Please explain briefly why there were no tax provisions for current and deferred domestic state and local income taxes,Provision for income taxes           114 Provision for Income Taxes Provision for domestic income taxes Provision for Current and Deferred Income Taxes   00114,67.2%
66,LIAB_CUR_OTH_LLOAN_IN_BND,00311,"Current portion of long-term debt - Other long-term loans, including bonds and debentures",Current Portion Long Term Debt-Bonds 311 Current Portion Long Term Debt-Bonds Current Portion Long Term Debt-Bonds Current portion LT debt - Bonds & debentures      00311,67.1%
67,INCOM_EXPS_NOP_DBCRD5_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 5,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,66.9%
68,RCPT_COMP_VAL,00101,"Sales, Shipments Receipts, or Revenue - Computer","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",66.7%
69,SE_CAP_ST_LESS_TREAS_ST_VAL,00326,Capital stock and other capital (less treasury stock),Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00326,66.6%
70,LIAB_OTH_LLOAN_EX_BND,00318,"Long-term debt - Other long-term loans, excluding bonds and debentures",Long Term Debt - Other               318 Long Term Debt - Other Long Term Debt - Other Long-term debt -- Other loans                     00318,66.5%
71,LIAB_LONG_BANK_LOAN_VAL,00316,Long-term debt - Loans from banks,Long Term Debt - Loans From Banks    316 Long Term Debt - Loans from Banks Long Term Debt - Loans from Banks Long-term debt -- Loans from banks                00316,66.4%
72,EXPS_CASH_DIV_VAL,00123,Cash dividends charged to retained earnings this quarter,Retained Earnings at End of Quarter  123 Retained Earnings at End of Quarter Retained Earning at End of quarter Retained Earnings at End of Quarter               00123,66.3%
73,INCOM_EXPS_NOP_DBCRD3_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 3,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,66.1%
74,RCPT_SHPHDL_VAL,00101,"Sales, Shipments Receipts, or Revenue - S&H","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",66.1%
75,INCOM_EXPS_NOP_DBCRD2_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 2,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,66.0%
76,RCPT_ELAPPL_VAL,00101,"Sales, Shipments Receipts, or Revenue - Electronics & appliances","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",66.0%
77,INV_STAT,00214,Inventories: Status,Inventories                          214 Inventories Inventories Inventories                                       00214,65.9%
78,ASSET_END_TOT_DVAL,00218,"Derived - Gross depreciation assets total, EOY  ??","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",65.5%
79,INCOM_EXPS_RECURR_DBCRD_TXT,00107,Other recurring nonoperating income (expenses) - principal debits and credits that contribute - Description,Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,65.3%
80,INCOM_EXPS_RCR_DBCRD_VAL,00107,Other recurring nonoperating income (expenses) - principal debits and credits that contribute - Amount,Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,65.2%
81,INCOM_EXPS_NONRECURR_VAL,00108,Nonrecurring items,Non-recurring items                  108 non-Recurring Non-recurring Nonrecurring Items                                00108,65.2%
82,INCOM_STATEMNT_E_DATE,00123,Statement of Income and Retained Earnings for your 3-MONTH PERIOD: To Date,Retained Earnings at End of Quarter  123 Retained Earnings at End of Quarter Retained Earning at End of quarter Retained Earnings at End of Quarter               00123,64.8%
83,INV_PY_GOODS_TOT_DVAL,00214,"Inventories: Total, Prior Year",Inventories                          214 Inventories Inventories Inventories                                       00214,64.6%
84,RCPT_TOT_PY,00101,"Total Sales, Shipments, Receipts or Revenue  Prior Year","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",64.4%
85,INCOM_STATEMNT_B_DATE,00123,Statement of Income and Retained Earnings for your 3-MONTH PERIOD: From Date,Retained Earnings at End of Quarter  123 Retained Earnings at End of Quarter Retained Earning at End of quarter Retained Earnings at End of Quarter               00123,64.4%
86,RCPT_TOT_PY_VAL,00101,"Prior year Sales, Shipments, Receipts, or Revenue","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",64.2%
87,AFFIL_OWNER_GT50_YES,00051,Does another domestic company own more than 50% of the voting stock of your company?,Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,64.0%
88,DEPR_TOT_MACH,00218,"Depreciation charges, Machinery","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",64.0%
89,RCPT_BOOK_VAL,00101,"Sales, Shipments Receipts, or Revenue - Books","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",63.9%
90,EXPS_INTEREST_VAL,00105,Operating Interest Expense,Interest Expense                     105 Interest Expense Interest expense Interest Expense                                  00105,63.7%
91,INCOM_EXPS_NOP_DBCRD4_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 4,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,63.6%
92,SE_CAPITAL_STOCK_VAL,00326,Capital stock and other capital - Include additional paid in capital,Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital Capital stock and other capital                   00326,63.6%
93,INCOM_EXPS_NOP_DBCRD1_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 1,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,63.5%
94,DEPR_TOT,00218,"Depreciation charges, Total Buildings and Machinery","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",63.4%
95,OPSTAT_DATE,00034,"Operational Status,  Ceased/Sold Operation Date",Discontinued Date Discontinued Date Discontinued Date Corporation Status of DISCONTINUED Date           00034,63.1%
96,EXPS_OTHER_VAL,00103,All Other Operating Expenses,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,63.1%
97,INCOM_AFT_INCOM_TAX_VAL,00117,Income (loss) before extraordinary items and cumulative effect of accounting changes,Cumulative Effect of Accting Changes-117 Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes           00117,63.0%
98,RCPT_SOFTWARE_VAL,00101,"Sales, Shipments Receipts, or Revenue - Software","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",63.0%
99,SE_OTH_VAL,00324,Other stockholders' eqty items,Other Stockholders Equity            324 Other Stockholder Equity Other Stockholders Equity Other stockholders' equity items                  00324,62.8%
100,EXPS_OTHER_WRTIN_TXT,00103,All Other Operating Expenses -Specify,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,62.7%
101,LIAB_SHORT_COM_PAPER_VAL,00302,Short-term debt - Commercial paper,Short Term Loans (Commercial Paper)  302 Short Term Loans (Commercial Paper) Short Term Loans (Commercial Paper) Short-term loans -- Commercial paper              00302,62.5%
102,LIAB_SHORT_BANK_LOAN_VAL,00316,Short-term debt - Loans from banks,Long Term Debt - Loans From Banks    316 Long Term Debt - Loans from Banks Long Term Debt - Loans from Banks Long-term debt -- Loans from banks                00316,62.2%
103,INDUSTRY_STAT_WRTIN_TXT,00001,Is this your Company's Industry -Yes/No (Write-in for 'No' selection),Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,62.2%
104,OPSTAT_CEASED_DATE,00034,Operational Status: Ceased operation date,Discontinued Date Discontinued Date Discontinued Date Corporation Status of DISCONTINUED Date           00034,61.9%
105,SUBSID_NUM,00051,Total number of domestic and foreign corporations directly or indirectly (all tiers) owned more than 50 percent by this corporation,Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,61.6%
106,RCPT_OTHMRCH_VAL,00101,"Sales, Shipments Receipts, or Revenue - Other merchandise","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",61.2%
107,EXPS_TOT_VAL,00103,Total Operating Expenses,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,60.9%
108,DEPR_TOT_BUILD,00218,"Depreciation charges, Buildings","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",60.6%
109,INV_TOT_BGN,00214,"Inventories, Total,  Beginning of Year",Inventories                          214 Inventories Inventories Inventories                                       00214,60.4%
110,RCPT_SPTGD_VAL,00101,"Sales, Shipments Receipts, or Revenue - Sporting goods","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",60.3%
111,INV_RPT_DATE,00214,Inventories: Date reported,Inventories                          214 Inventories Inventories Inventories                                       00214,60.2%
112,SE_TOT_VAL,00328,Stockholders' eqty,Liabilities & Stockholders Equity    328 Total Laibilities and Stockholders Equity Total Liabilities and Stockholders Equity TOTAL LIABILITIES AND STOCKHOLDERS' EQUITY        00328,60.1%
113,RECORD_LINENUM,00022,"The line number listed in the following sequence: Employer Identification Number (EIN), major activity, and geographic location",EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,60.0%
114,INV_E_TOT_DVAL,00214,"Inventories: Total, Current Year",Inventories                          214 Inventories Inventories Inventories                                       00214,59.8%
115,RCPT_OFCEQ_VAL,00101,"Sales, Shipments Receipts, or Revenue - Office equipment & supplies","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",59.6%
116,RCPT_BILL_OTHOP_DVAL,00101,all other operating revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",59.6%
117,ASSET_END_TOT_DVAL,00218,"Domestic Depreciable Asset Data:_x000D_
Gross value of structures & equipment, ending","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",59.6%
118,AFFIL_FOR_GE10,00051,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other eqty rights of your company?",Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,59.5%
119,ASSET_SOLD_VAL,00218,"Domestic Depreciable Asset Data:_x000D_
Gross value of sold, retired, etc.","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",59.5%
120,ASSET_OTHACQ_VAL,00218,"Domestic Depreciable Asset Data:_x000D_
Gross value of other additions and acquisitions","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",59.4%
121,INV_ENROUTE_STAT,00214,Inventories: Out of US Status,Inventories                          214 Inventories Inventories Inventories                                       00214,59.4%
122,NPATREV_OTHER_NONOP_WRTIN,00101,All other non-operating revenue write-in description,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",59.3%
123,RCPT_TOYS_VAL,00101,"Sales, Shipments Receipts, or Revenue - Toys","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",59.0%
124,RCPT_OTHMRCH_TXT,00101,"Sales, Shipments Receipts, or Revenue - Specify other merchandise","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",59.0%
125,END_DATE,RPTE,Reporting Period End Date,End of Report Period nan nan nan,59.0%
126,ASSET_BGN_VAL,00218,"Domestic Depreciable Asset Data:_x000D_
Gross value of structures & equipment, beginning","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",58.9%
127,OPEX,00103,Operating Expenses,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,58.9%
128,COST_OTHER_OPEX,00103,"All other operating expenses  (Include payroll, benefits, utilities, depreciation, etc. Exclude cost of goods sold, interest, capital expenditures, and bad debt.)",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,58.9%
129,PROFIT_LOSS_DVAL,00104,profit/loss amount,Income (loss) from operations        104 Income (loss) from Operation Income (loss) from operations Income (Loss) from operations                     00104,58.7%
130,PAY_QTR1_PRDWRK_PY,P3PAY,Prior Year First Quater Production Worker Payroll,PRIOR PRIOR PRIOR qt payroll from BR nan nan nan,58.6%
131,NPATREV_OTHER_NONOP,00107,All other non-operating revenue- Include other non-operating revenue.,Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,58.4%
132,RCPT_ADVERT_VAL,00101,"Sales, Shipments Receipts, or Revenue - Advertising","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",58.4%
133,RCPT_CLOTH_VAL,00101,"Sales, Shipments Receipts, or Revenue - Clothing","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",57.8%
134,OPSTAT_DATES,00034,"Ceased, Sold, and Added date",Discontinued Date Discontinued Date Discontinued Date Corporation Status of DISCONTINUED Date           00034,57.6%
