,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score,"data/ABS-MOPS Variables - December 11 2024.xlsm: Unique Name for Variable 
On upload, will verify with those already in database to ensure unique and alert to those that are not

NOTE: 
1) Variable Names should be all caps with no spaces
2) Variables can not end with _# or _## as those are reserved for handling of repeating persons."
36,CAPEX_MACH_COMP,TCPEX,"Capital Expenditures, Computers",Total capital expenditures,75.7%,CAPEX_TOT_VAL
37,CAPEX_TOT,TCPEX,"Capital Expenditures, New and Used Buildings and Machinery Total",Total capital expenditures,75.6%,CAPEX_TOT_VAL
38,OWNSTAT_ORGN_DNK_ARCHIVE,O1_HISP,"Is the majority ownership of this establishment of Hispanic, Latino, or Spanish origin?","Whether the first owner is Hispanic, Latino, or Spanish",75.2%,OWNER_ETHNICITY_CODE
39,CAPEX_BUILD_USED_VAL,B_CAPEXP_TOTAL,Capital Expenditures: Used buildings,Amount of capital expenditures,75.2%,CAPEX_TOT_VAL
40,EXPS_ADMIN_TOT,EXPNS,"Adminstrative Expenses,  Total",Amount of total expenses,74.7%,EXPS_TOT_VAL
41,CAPEX_SOFTWARE_VEND_VAL,B_EXPCOST_TECH,"Capital Expenditures:_x000D_
Computer Software, vendor-customized",R&D capital expenditures for software,74.7%,CAPEX_RD_OPS_TECH_VAL
42,CAPEX_SOFTWARE_PREPKG_VAL,B_EXPCOST_TECH,"Capital Expenditures:_x000D_
Computer Software, prepackaged",R&D capital expenditures for software,74.6%,CAPEX_RD_OPS_TECH_VAL
43,CAPEX_MACH_TOT_DVAL,B_CAPEXP_TOTAL,Capital Expenditures: New & used machinery,Amount of capital expenditures,74.5%,CAPEX_TOT_VAL
44,CAPEX_USED_MACH,B_CAPEXP_TOTAL,"Capital Expenditures, Used Machinery",Amount of capital expenditures,74.0%,CAPEX_TOT_VAL
45,CAPEX_NEWCON_DOL,CPSTR,"Capital Expenditures for new construction, including renovation",Total capital expenditures for research operations that went towards buildings and land improvement,73.7%,CAPEX_RSRCH_BUILD_VAL
46,CAPEX_NEW_TOT,TCPEX,"Capital Expenditures, New Buildings and Machinery Total",Total capital expenditures,73.5%,CAPEX_TOT_VAL
47,CLASS_HOIND_NO_ARCHIVE,B_REV ,"Class of Customer,  Were 10 percent or more of your sales to household consumers and individual users in the past 12 months?",Types of customers that accounted for 10% or more of total sales,73.5%,CUST_TYPE_10_PCT_SALES_CHKBOX
48,FGINFO_PHONE,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Phone number,Contact Information: Phone,73.3%,CERT_PHONE_NUM
49,CAPEX_MACH_AUTO,TCPEX,"Capital Expenditures, Automobiles",Total capital expenditures,73.2%,CAPEX_TOT_VAL
50,CAPEX_BUILD_VAL,B_CAPEXP_TOTAL,Capital Expenditures: New and Used buildings,Amount of capital expenditures,73.0%,CAPEX_TOT_VAL
51,EXPS_OP_COST_OTH_VAL,B_WORLDEXP_TOTAL ,All other operating costs and expenses,Total worldwide operating expenses,73.0%,EXPS_WORLD_TOT_VAL
52,CAPEX_BUILD_TOT_DVAL,B_CAPEXP_TOTAL,Capital Expenditures: New & used buildings,Amount of capital expenditures,72.8%,CAPEX_TOT_VAL
53,OWN_NAME,O1_NAME_TITLE,Owner name.,Name of first owner,72.7%,OWNER1_NAME
54,ROBOT_VAL,B_EXPCOST_EQUIP,Capital Expenditures for Robotic Equipment,R&D capital expenditures for equipment,72.6%,CAPEX_RD_OPS_EQUIP_VAL
55,INCOM_U_INSTAL_TOT_PCT,B_CRDAMT,"Installment credit, Total",Total amount of credit that was requested and received ,72.6%,CREDIT_AMT_RECEIVED_STAT
56,OPEX_MIN,B_WORLDEXP_TOTAL ,Mining Operating Expenses:  Total,Total worldwide operating expenses,72.5%,EXPS_WORLD_TOT_VAL
57,CAPEX_BUILD,B_CAPEXP_TOTAL,"Capital Expenditures, New and Used Buildings",Amount of capital expenditures,72.5%,CAPEX_TOT_VAL
58,CAPEX_BUILD_NEW_VAL,B_CAPEXP_TOTAL,Capital Expenditures: New buildings,Amount of capital expenditures,72.5%,CAPEX_TOT_VAL
59,CAPEX_MACH,B_CAPEXP_TOTAL,"Capital Expenditures, New and Used Machinery",Amount of capital expenditures,72.5%,CAPEX_TOT_VAL
60,COST_OTHER_OPEX,B_OPEXPENSE ,"All other operating expenses  (Include payroll, benefits, utilities, depreciation, etc. Exclude cost of goods sold, interest, capital expenditures, and bad debt.)",Total domestic operating expenses,72.4%,EXPS_TOT_VAL
61,PREV_OWNER_RECORD_NAME,O2_NAME_TITLE,Name of former Owner or operator,Name of second owner,72.3%,OWNER2_NAME
62,CAPEX_NEW_BUILD,B_CAPEXP_TOTAL,"Capital Expenditures, New Buildings",Amount of capital expenditures,72.2%,CAPEX_TOT_VAL
63,CAPEX_MACH_COMP_PY,TCPEX,"Capital Expenditures, Computers Prior Year",Total capital expenditures,72.0%,CAPEX_TOT_VAL
64,EXPS_CON_PCT_OTH,TCPEX,"Expenditures incurred,  Other",Total capital expenditures,71.7%,CAPEX_TOT_VAL
65,CAPEX_TOT_DVAL_SUM,TCPEX,"Sum estab capital expenditures to KAU _x000D_
Sum KAU capital expenditures to Company",Total capital expenditures,71.5%,CAPEX_TOT_VAL
66,CAPEX_NEW_MACH,TCPEX,"Capital Expenditures, New Machinery",Total capital expenditures,71.5%,CAPEX_TOT_VAL
67,CAPEX_COMPTR_VAL,TCPEX,Capital Expenditures: Machinery - computers,Total capital expenditures,71.4%,CAPEX_TOT_VAL
68,CAPEX_TOT_PY,TCPEX,"Capital Expenditures, New and Used Buildings and Machinery Total  Prior Year",Total capital expenditures,71.0%,CAPEX_TOT_VAL
69,CAPEX_NEW_TOT_SUM,TCPEX,"Sum estab new capital expenditures to KAU_x000D_
Sum KAU new capital expenditures to company",Total capital expenditures,70.8%,CAPEX_TOT_VAL
70,ROBOT_WRTIN_TXT,B_EXPCOST_EQUIP,Remarks - Capital Expenditures for Robotic Equipment,R&D capital expenditures for equipment,70.5%,CAPEX_RD_OPS_EQUIP_VAL
71,OWNSTAT_RACE_OTH_WRTIN,O1_RACE,Race of majority ownership -The 'other' race from as indicated on the Race of Majority Ownership,Race of first owner,70.3%,OWNER_RACE_CODE
72,FUNDS_DEV_NONFED,NPRDSOURCEWI,"Source of Research and Development Funds,  Non-federal sources outside your enterprise_x000D_
(Include receipts from other enterprises, state and local governments, and other organizations.)",Details on the amount of internal research funds that came from other sources,70.1%,EXPS_RSRCH_OTH_TXT
73,PREV_OWN_RECORD_NAME2_TXT,O2_NAME_TITLE,New Establishment: Former Ownership Name2,Name of second owner,69.5%,OWNER2_NAME
74,CAPEX_AUTO_VAL,TCPEX,Capital Expenditures: Machinery - autos,Total capital expenditures,69.5%,CAPEX_TOT_VAL
75,RD_EXPS_STAT,CAPEX,Research and Development Expenses,Total capital expenditures for research operations,69.4%,CAPEX_RSRCH_VAL
76,BUS_TECH_ADD_MFG_DNK,B_RD_CREATE,Yes/No/Don't Know for Business Technology B,Yes/No if business engaged in research and development,69.2%,RD_CREATE_STAT
77,RD_VAL_GE3MIL_ARCHIVE,B_WORLDEXP_TOTAL ,Company's worldwide expenses for research and development,Total worldwide operating expenses,69.2%,EXPS_WORLD_TOT_VAL
78,NAICS_NUM,RESP_BUS_DESC,Primary Business or Activity: NAICS Code,Primary business activity,69.2%,NAICS_DESC_TXT
79,MERCH_CONTR_FOR_PCT,B_CONTRACTIN_TYPE ,"Merchandise Sales,  Products manufactured for this establishment by other companies on a contract basis OR manufactured by your company's foreign plants",Types of companies that this business performed manufacturing for,69.1%,MAN_CONTRACTIN_CHKBOX
80,OPEX_MIN_ROYALTY,B_OPEXPENSE ,Mining Operating Expenses:  Current operating expenses for royalty payments for this domestic reporting unit,Total domestic operating expenses,68.9%,EXPS_TOT_VAL
81,EXPS_CON_PCT_TOT1,TCPEX,"Expenditures incurred,  Total type of buildings",Total capital expenditures,68.8%,CAPEX_TOT_VAL
82,OWN_ADD,O1_NAME_TITLE,Owner address,Name of first owner,68.4%,OWNER1_NAME
83,FGINFO_EXTN,RESP_PHONE_EXT ,Phone number extension,Contact Information: Extension,68.2%,CERT_EXTENSION_NUM
84,CAPEX_BUILD_PY,CPSTR,"Capital Expenditures, New and Used Buildings  Prior Year",Total capital expenditures for research operations that went towards buildings and land improvement,68.1%,CAPEX_RSRCH_BUILD_VAL
85,BUS_TECH_IND_ROB_N_ARCHIVE,B_RD_CREATE,Yes/No/Do not Know for Business Technology D,Yes/No if business engaged in research and development,68.0%,RD_CREATE_STAT
86,CAPEX_MACH_AUTO_PY,TCPEX,"Capital Expenditures, Automobiles Prior Year",Total capital expenditures,68.0%,CAPEX_TOT_VAL
87,OWNSTAT_ORGN_YES_OTH_WRTIN,O1_HISP_OTH_WIN,"Yes, another Hispanic, Latino, or Spanish origin - Describe origin, for example, Argentinean, Colombian, Dominican, Nicaraguan, Salvadoran, Spaniard, etc.  Write-in description","Another Hispanic, Latino, or Spanish origin not listed",68.0%,OWNER_ETHNICITY_WRTIN_TXT
88,OPSTAT_DATE,B_CEASED_DATE_ YEAR ,"Operational Status,  Ceased/Sold Operation Date",Year the business ceased operation,67.9%,OPSTAT_CEASED_YEAR_DATE
89,CERT_COMPLETED_DATE,"
RESP_TITLE   ",Contact Information: Date completed,Contact Information: Title,67.8%,CERT_TITLE_TXT
90,INCOM_U_OTHER_TOT_PCT,B_CRDAMT,"Other credit financing, Total",Total amount of credit that was requested and received ,67.8%,CREDIT_AMT_RECEIVED_STAT
91,AFFIL_OWNER_GT50_YES,B_ANYONE_10_PCT,Does another domestic company own more than 50% of the voting stock of your company?,Yes/No if one person owns 10% or more of the company,67.7%,OWNED_10_PCT_STAT
92,RCPT_ECOMM_TOT_PCT,B_SALES_PCT_GOODS,"Percent of total sales, shipments, receipts, or revenue that were a result of e-commerce transactions","Percent of domestic sales, revenues, and grants coming from selling goods to customers",67.6%,SALES_GOODS_PCT
93,DISCONTINUE_DATE,B_CEASED_DATE_ YEAR ,Corporation status - Discontinued date,Year the business ceased operation,67.4%,OPSTAT_CEASED_YEAR_DATE
94,FUNDS_DEV_FEDGOV,COPYFEDRD,"Source of Research and Development Funds,  Federal government contracts and subcontracts",Total amount of research funds that came from the federal government,67.3%,EXPS_RSRCH_FED_TOT_VAL
95,MAJOR_ACT_CODE_WRTIN_TXT,RESP_BUS_DESC,Major Activity Code: Primary products or services,Primary business activity,67.2%,NAICS_DESC_TXT
96,PREV_OWN_RECORD_NAME1_TXT,O1_NAME_TITLE,New Establishment: Former Ownership Name1,Name of first owner,67.0%,OWNER1_NAME
97,RCPT_TOT,B_SALES_TOT_US,"Total Sales, Shipments, Receipts or Revenue","Amount of sales, revenue, and grants from domestic operations",66.9%,SALES_US_TOT_VAL
98,ROBOT_CAPEX_PY,B_EXPCOST_EQUIP,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs  Prior Year",R&D capital expenditures for equipment,66.9%,CAPEX_RD_OPS_EQUIP_VAL
99,CAPEX_USED_BUILD,B_EXPCOST_BLDG,"Capital Expenditures, Used buildings, structures, machinery and equipment_x000D_
(Include USED automobiles, trucks, etc., major repairs and improvements and software, computers, and peripherals.)",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,66.9%,CAPEX_RD_OPS_BLDG_VAL
100,EXPS_CON_PCT_OTH_WRTIN,TCPEX,"Expenditures incurred,  Other write-in description",Total capital expenditures,66.8%,CAPEX_TOT_VAL
101,EXPS_INTEREST_VAL,B_OPEXPENSE ,Operating Interest Expense,Total domestic operating expenses,66.7%,EXPS_TOT_VAL
102,ROBOT_CAPEX,B_EXPCOST_EQUIP,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs",R&D capital expenditures for equipment,66.4%,CAPEX_RD_OPS_EQUIP_VAL
103,AFFIL_FOR_GE10_NO,B_PARENTCO_FOREIGN,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other eqty rights of your company?",Yes/No if business is a majority-owned subsidiary of a foreign company,66.4%,OWNED_FOREIGN_STAT
104,EXPS_CON_PCT_RES,B_EXPCOST_BLDG,"Expenditures incurred,  Residential buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,66.4%,CAPEX_RD_OPS_BLDG_VAL
105,RCPT_ECOMM_TOT_PCT_PY,B_SALES_PCT_GOODS,"Percent of total sales, shipments, receipts, or revenue that were a result of e-commerce transactions  Prior Year","Percent of domestic sales, revenues, and grants coming from selling goods to customers",66.3%,SALES_GOODS_PCT
106,DEPR_TOT,B_RDEXP_DOM_DEPR,"Depreciation charges, Total Buildings and Machinery",Amount of domestic R&D costs going to depreciation on property and equipment,66.1%,EXPS_RD_DOM_DEPR_VAL
107,OWN_CONT,"
RESP_TITLE   ",Owner contact name.,Contact Information: Title,66.0%,CERT_TITLE_TXT
108,FUNDS_DEV_TRANSFER,WZRCD,"Source of Research and Development Funds,  Transfers or other payments from other establishments of your enterprise",Total amount of domestic and foreign research funds that came from businesses,66.0%,EXPS_RSRCH_BUS_TOT_VAL
109,MFG_ESTAB_NUM,B_CONTRACTIN_TYPE ,Number of manufacturing establishments,Types of companies that this business performed manufacturing for,65.8%,MAN_CONTRACTIN_CHKBOX
110,CAPEX_MACH_TOT_SUM,TCPEX,"Sum estab machinery capital expenditures to KAU _x000D_
Sum KAU machinery capital expenditures to Company",Total capital expenditures,65.8%,CAPEX_TOT_VAL
111,AFFIL_OWNER_NAME_TXT,O2_NAME_TITLE,Ownership or Controlling Company: Name,Name of second owner,65.7%,OWNER2_NAME
112,CAPEX_MIN_DEV,B_CAPEXP_TOTAL,"Capital Expenditures, Mineral Development",Amount of capital expenditures,65.7%,CAPEX_TOT_VAL
113,BUS_TECH_SER_ROB_DNK,B_RD_CREATE,Yes/No/Do not know for Business Technology E,Yes/No if business engaged in research and development,65.3%,RD_CREATE_STAT
114,BUS_TECH_GUD_VEH_Y_ARCHIVE,B_RD_CREATE,Yes/No/Do not know for Business Technology F,Yes/No if business engaged in research and development,65.2%,RD_CREATE_STAT
115,RCPT_CUST_BUS_DVAL,B_SALES_TOT_US,Revenue by Gov & Business,"Amount of sales, revenue, and grants from domestic operations",65.2%,SALES_US_TOT_VAL
116,OPSTAT_CEASED_DATE,B_CEASED_MONTH,Operational Status: Ceased operation date,Month the business ceased operation,65.2%,OPSTAT_CEASED_MONTH_DATE
117,AFFIL_OWNER_EIN,B_OWNERNUM,Employer Identification Number of the owning or controlling company,Number of owners of the business,65.1%,OWNER_NUM_STAT
118,CAPEX_NEW_NONHWY_BUILD,B_EXPCOST_BLDG,"Capital Expenditures, New Non Highway Buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,65.1%,CAPEX_RD_OPS_BLDG_VAL
119,FGINFO_TITLE,"
RESP_TITLE   ",Title of FG contact person,Contact Information: Title,65.0%,CERT_TITLE_TXT
120,COST_MAT_TOT,B_RDEXP_DOM_MATERIALS,"Cost of Materials,  Total",Amount of domestic R&D costs going to materials and supplies,64.9%,EXPS_RD_DOM_MAT_VAL
121,OPSTAT_DATES,B_CEASED_MONTH,"Ceased, Sold, and Added date",Month the business ceased operation,64.8%,OPSTAT_CEASED_MONTH_DATE
122,SERVICES_EXPORTED,B_ACTIVITYUFC_SALE ,"Did this establishment provide services to foreign businesses in $$00 (that is, exported services)?",Yes/No if foreign affiliated companies conducted marketing or sales services for this business,64.7%,AFFIL_NONUS_SALES_STAT
123,CAPEX_NEWCON_PCT,CPSTR,"Capital Expenditures percentage for new construction, including renovation, for work done by your own employees",Total capital expenditures for research operations that went towards buildings and land improvement,64.7%,CAPEX_RSRCH_BUILD_VAL
124,BUS_TECH_RFID_DNK,B_RD_CREATE,Yes/No/Do Not Know for Business Technology C,Yes/No if business engaged in research and development,64.6%,RD_CREATE_STAT
125,RCPT_EXEMPT_REV,EXPNS,Total revenue and expenses of a tax-exempt establishment,Amount of total expenses,64.5%,EXPS_TOT_VAL
126,EXPS_CON_PCT_NORES,B_EXPCOST_BLDG,"Expenditures incurred,  Nonresidential buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,64.4%,CAPEX_RD_OPS_BLDG_VAL
127,PREV_OWNER_ADDR_ST,O2_NAME_TITLE,State of Former Owner or operator,Name of second owner,64.3%,OWNER2_NAME
128,EXPS_CON_PCT_SUB,B_CAPEXP_TOTAL,"Expenditures incurred,  Subdividing and/or developing lots",Amount of capital expenditures,64.2%,CAPEX_TOT_VAL
129,RCPT_TOT_VAL,B_SALES_TOT_US,"Sales, Shipments, Receipts, or Revenue","Amount of sales, revenue, and grants from domestic operations",64.1%,SALES_US_TOT_VAL
130,RCPT_TOT_PY,B_SALES_TOT_US,"Total Sales, Shipments, Receipts or Revenue  Prior Year","Amount of sales, revenue, and grants from domestic operations",63.9%,SALES_US_TOT_VAL
131,AFFIL_CONTROL_NO_ARCHIVE,B_ACTIVITYUC_ADMIN ,Does another domestic company have the power to control the management and policies of your company?,Yes/No if domestic unaffiliated companies conducted administrative or management functions for this business,63.7%,UNAFFIL_US_ADMIN_STAT
132,CAPEX_NEW_NONHWY_MACH,B_EXPCOST_BLDG,"Capital Expenditures, New buildings, structures, machinery and equipment, and job-site vehicles (Include New construction spending, software, computers, and peripherals.",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,63.7%,CAPEX_RD_OPS_BLDG_VAL
133,RCPT_OTH,RESP_BUS_DESC,Receipts for all other business activities done by this establishment,Primary business activity,63.7%,NAICS_DESC_TXT
134,CAPEX_NEW_HWY_MACH,B_EXPCOST_OTH ,"Capital Expenditures, New automobiles, trucks, etc. (Intended primarily for highway use.)",All other R&D capital expenditures,63.7%,CAPEX_RD_OPS_OTH_VAL
135,CAPEX_MIN_LAND,B_CAPEXP_TOTAL,"Capital Expenditures, Mineral Land",Amount of capital expenditures,63.6%,CAPEX_TOT_VAL
136,PREV_OWNER_YEAR,O1_ACQ_BUS_YR,Year acquired from Former Owner or operator,Year that the first owner initially acquired this business,63.5%,OWNER_ACQ_YEAR
137,COST_MAT_TOT_PY,B_RDEXP_DOM_MATERIALS,"Cost of Materials,  Total Prior Year",Amount of domestic R&D costs going to materials and supplies,63.3%,EXPS_RD_DOM_MAT_VAL
138,COST_LABOR_PRD,B_CONTRACTOUT_TYPE,Contract labor for production,Type of companies that manufacturing was contracted out to ,63.2%,MAN_CONTRACTOUT_CHKBOX
139,MERCH_EST_NEW_2_PCT,B_SALES_PCT_US_TOT,Approximate percentage of the total sales and receipts in current year - write-in #2,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",63.2%,SALES_US_TOT_DPCT
140,RCPT_BILL_OTHOP_DVAL,B_SALES_TOT_US,all other operating revenue,"Amount of sales, revenue, and grants from domestic operations",63.0%,SALES_US_TOT_VAL
141,DEPR_TOT_MACH,B_RDEXP_DOM_DEPR,"Depreciation charges, Machinery",Amount of domestic R&D costs going to depreciation on property and equipment,62.9%,EXPS_RD_DOM_DEPR_VAL
142,RCPT_CUST_RES_DVAL,B_SALES_PCT_SERVICE,Residential Customers Revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",62.7%,SALES_SERVICE_PCT
143,RCPT_NONOP_OTH_VAL,B_SALES_TOT_US,Revenue from all other non-operating revenue,"Amount of sales, revenue, and grants from domestic operations",62.7%,SALES_US_TOT_VAL
144,AFFIL_OWNER_STOCK_STAT,O2_PCT_OWNED,Ownership or Control: Percent of Voting Stock Held,Percent owned by second owner,62.7%,OWNER2_PCT
145,FUNDS_DEV_NO,ZINT,Did this establishment receive funds for research and development?,Amount of domestic internal research funds that came from the organization itself,62.6%,EXPS_RSRCH_INTRNL_VAL
146,CERT_TITLE,"
RESP_TITLE   ","Certification,  Title of person to contact",Contact Information: Title,62.6%,CERT_TITLE_TXT
147,AFFIL_FORSTOCK_GE10_STAT,B_ACTIVITYUFC_LOG ,Foreign Affiliates Status,Yes/No if foreign affiliated companies conducted distribution and logistics for this business,62.5%,AFFIL_NONUS_LOGSTC_STAT
148,RCPT_EXPT_ENERGY,B_SALES_PCT_GOODS,Percentage of revenue from exports to customers in Canada and Mexico,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",62.4%,SALES_GOODS_PCT
149,BUS_TECH_TOUCH,B_ACTIVITYUFC_INFO,"Yes, No, Don't Know for Business Technology A",Yes/No if foreign affiliated companies conducted information and communication tech services for this business,62.3%,AFFIL_NONUS_INFOTEC_STAT
150,RCPT_CLIENT_S_STGOV,B_COOP,"Class of Customer,  State and local governments, including public authorities","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",62.2%,COOP_PARTNER_LOC_CHKBOX
151,RCPT_APSOFT_OTH_DVAL,B_EXPCOST_TECH,Other Application Software revenue,R&D capital expenditures for software,62.2%,CAPEX_RD_OPS_TECH_VAL
152,RCPT_SYSOFT_OTH_DVAL,B_EXPCOST_TECH,Other System Software revenue,R&D capital expenditures for software,62.1%,CAPEX_RD_OPS_TECH_VAL
153,RCPT_PRODPCT_50TO75,B_SALES_PCT_GOODS,"Percent ranges for: During $$00, what was the percent of total revenue (as reported in Item 5A) from products sold by this establishment that were manufactured or mined in the United States by your company or its subsidiaries?","Percent of domestic sales, revenues, and grants coming from selling goods to customers",62.0%,SALES_GOODS_PCT
154,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,Primary contact phone extension,Contact Information: Extension,62.0%,CERT_EXTENSION_NUM
155,OPEX_MIN_EXROYALTY,B_OPEXPENSE ,"Mining Operating Expenses:  Current operating expenses for exploration, development, and mineral land and rights for this domestic reporting unit",Total domestic operating expenses,61.8%,EXPS_TOT_VAL
156,SERVICES_IMPORTED_N,B_ACTIVITYUFC_SALE ,"Did this establishment purchase services from foreign businesses in $$99 (that is, imported services)?",Yes/No if foreign affiliated companies conducted marketing or sales services for this business,61.8%,AFFIL_NONUS_SALES_STAT
157,PREV_OWNER_ADDR_CITY,O2_NAME_TITLE,City of Former Owner or operator,Name of second owner,61.8%,OWNER2_NAME
