,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score
40,SE_TOT_VAL,00327,Stockholders' eqty,Stockholders Equity,80.20%
41,DEPR_ACCUM_VAL,00218,"Accumulated depreciation, depletion, and amortization.",Accumulated Depreciation,80.00%
42,DISCONTINUE_DATE,00034,Corporation status - Discontinued date,Discontinued Date,79.70%
43,INV_E_WIP_VAL,00214,"Inventories: work in process, EOY",Inventories,79.40%
44,PROFIT_LOSS_DVAL,00104,profit/loss amount,Income (loss) from Operation,78.90%
45,LIAB_OTH_LLOAN_EX_BND,00317,"Long-term debt - Other long-term loans, excluding bonds and debentures",Long Term Debt - Bonds,78.70%
46,SUBSID_NONCONSOL_NUM,00071,Number of corporations not consolidated in this report,Number of Subsidiary Corporations Consolidated,78.50%
47,INV_E_MAT_VAL,00214,"Inventories: materials, EOY",Inventories,78.50%
48,INDUSTRY_STAT_WRTIN_TXT,00001,Is this your Company's Industry -Yes/No (Write-in for 'No' selection),Is this your company's industry - yes/no,78.40%
49,INV_E_FIN_VAL,00214,"Inventories: finished goods,  EOY",Inventories,78.10%
50,TAX_DOM_SL_VAL,00113,Provision for current and deferred domestic income taxes - State and local,Provision for Income Taxes (STATE),77.70%
51,INV_TOT_END,00214,"Inventories, Total,  End of Year",Inventories,77.30%
52,TAX_DOM_FED_VAL,00112,Provision for current and deferred domestic income taxes - Federal,Provision for Income Taxes (FEDERAL),76.70%
53,INCOM_EXPS_NONOP_VAL,00110,"Nonoperating income and expenses - Include interest income, eqty and dividend income, etc.",Nonoperating expenses and income,76.60%
54,INCOM_EXPS_NOP_DBCRD1_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 1,Nonoperating expenses and income,76.10%
55,RETAIN_EARN_DIR_DBCRD_TXT,00121,Other direct credits (charges) to retained earnings - principal debits and credits that contribute - Description,Other Credits to Retained Earning,75.90%
56,INCOM_EXPS_NOP_DBCRD2_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 2,Nonoperating expenses and income,75.70%
57,INCOM_EXPS_NOP_DBCRD4_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 4,Nonoperating expenses and income,75.70%
58,RETAIN_EARN_VAL,00322,Retained earnings,Retained Earnings at End of Quarter,75.60%
59,INCOM_EXPS_NOP_DBCRD3_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 3,Nonoperating expenses and income,75.40%
60,RETAIN_EARN_DIR_DBCRD_VAL,00121,Other direct credits (charges) to retained earnings - principal debits and credits that contribute - Amount,Other Credits to Retained Earning,75.30%
61,SUBSID_STAT,00041,Owns another company more than 50% - Yes/No,Owned by another company - No/Yes,75.30%
62,INCOM_EXPS_NOP_DBCRD5_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 5,Nonoperating expenses and income,75.00%
63,SE_OTH_VAL,00324,Other stockholders' eqty items,Other Stockholder Equity,74.90%
64,INCOM_EXPS_RECURR_DBCRD_TXT,00107,Other recurring nonoperating income (expenses) - principal debits and credits that contribute - Description,Other Recurring Non-operating Income,73.60%
65,EXPS_CASH_DIV_VAL,00123,Cash dividends charged to retained earnings this quarter,Retained Earnings at End of Quarter,73.60%
66,TAX_DOM_VAL,00114,Provision for current and deferred domestic income taxes,Provision for Income Taxes,72.80%
67,INV_TOT_BGN,00214,"Inventories, Total,  Beginning of Year",Inventories,72.40%
68,INV_E_TOT_DVAL,00214,"Inventories, total, EOY, current year",Inventories,71.90%
69,ASSET_GROSS_PPE_VAL,00216,"Property, plant, and equipment",Plant and Equipment,71.80%
70,PREV_OWNER_EIN,00022,Previous Owner Employer Identifcation Number,Employer Identification Number,71.60%
71,INCOM_EXPS_NOP_DBCRD1_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 1,Nonoperating expenses and income,71.60%
72,INCOM_DIV_VAL,00106,Dividend income - Domestic and foreign,Dividend Income,71.20%
73,INV_E_WIP_VAL,00214,"Inventories: Work-in-process, Current Year",Inventories,71.00%
74,INCOM_EXPS_RCR_DBCRD_VAL,00107,Other recurring nonoperating income (expenses) - principal debits and credits that contribute - Amount,Other Recurring Non-operating Income,71.00%
75,INCOM_EXPS_NOP_DBCRD2_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 2,Nonoperating expenses and income,71.00%
76,INCOM_EXPS_NOP_DBCRD4_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 4,Nonoperating expenses and income,70.90%
77,OPSTAT_MERGED_DATE,00031,Corporation status - Merged date,Corporation Status Active/Discontinued/Merged,70.20%
78,NPATREV_OTHER_NONOP,00107,All other non-operating revenue- Include other non-operating revenue.,Other Recurring Non-operating Income,70.10%
79,INV_E_MAT_VAL,00214,"Inventories: Materials, Current Year",Inventories,70.10%
80,INCOM_EXPS_NOP_DBCRD3_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 3,Nonoperating expenses and income,70.10%
81,ASSET_BGN_VAL,00218,"Gross depreciation assets total, BOY",Accumulated Depreciation,70.00%
82,COST_CONMAT_TOT,00104,Total Operating Expenses paid,Income (loss) from Operation,69.90%
83,INV_MAT_END,00214,"Inventories, Materials, supplies, fuels, etc., End of Year",Inventories,69.80%
84,NET_REV_LSD,00115,net revenue,Net income (loss),69.40%
85,CAPEX_MIN_LAND,00217,"Capital Expenditures, Mineral Land",Land and Mineral Rights,69.30%
86,EXPS_DEPR_VAL,00218,Depreciation and Amortization Charges,Accumulated Depreciation,69.20%
87,INCOM_FOR_NONCONS_DOM_VAL,00109,"Income (loss) of foreign branches and eqty in earnings (losses) of domestic and foreign nonconsolidated subsidiaries and other investments accounted for by the eqty method, net of foreign taxes",Income loss of foreign branches,69.10%
88,SPACE_STORAGE,00214,"The warehouse, stockroom, or other inventory storage space",Inventories,68.90%
89,OPSTAT_DATES,00034,"Ceased, Sold, and Added date",Discontinued Date,68.80%
90,EXPS_OTHER_VAL,00110,All Other Operating Expenses,Nonoperating expenses and income,68.70%
91,OPSTAT_DATE,00031,"Operational Status,  Ceased/Sold Operation Date",Corporation Status Active/Discontinued/Merged,68.60%
92,OPEX,00110,Operating Expenses,Nonoperating expenses and income,68.60%
93,INCOM_EXPS_NOP_DBCRD5_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 5,Nonoperating expenses and income,68.60%
94,INV_CY_GOODS_TOT_DVAL,00214,"Inventories: Total, Current Year",Inventories,68.60%
95,INV_MAT_BGN,00214,"Inventories, Materials, supplies, fuels, etc., Beginning of Year",Inventories,68.40%
96,TRUCK_NUM_TOT_DVAL,00214,"Inventories:_x000D_
Total Trucks",Inventories,68.40%
97,INV_B_MAT_VAL,00214,"Inventories: Materials, Prior Year",Inventories,68.00%
98,EXPS_CON_PCT_OTH,00110,"Expenditures incurred,  Other",Nonoperating expenses and income,68.00%
99,INV_FINISHED_END,00214,"Inventories, Finished Goods,  End of Year",Inventories,67.80%
100,INV_WRKPROC_END,00214,"Inventories, Work-in-process, End of Year",Inventories,67.70%
101,INCOM_AFT_INCOM_TAX_VAL,00117,Income (loss) before extraordinary items and cumulative effect of accounting changes,Cumulative Effect of Accounting Changes,67.50%
102,OPSTAT_ADDR_STATE,00031,"Operational Status,  New owner/operator,  State",Corporation Status Active/Discontinued/Merged,67.30%
103,TRUCKTRAC_NUM_TOT_DVAL,00214,"Inventories:_x000D_
Total Truck-tractors",Inventories,67.20%
104,INV_WRKPROC_BGN,00214,"Inventories, Work-in-process, Beginning of Year",Inventories,66.90%
105,ALPHA,00022,Enterprise Identifier,Employer Identification Number,66.90%
106,EXPS_INTEREST_PAID,00105,Interest paid,Interest Expense,66.70%
107,TAX_DOM_FED_NOPROV_TXT,00112,Please explain briefly why there were no tax provisions for current and deferred domestic federal income taxes,Provision for Income Taxes (FEDERAL),66.70%
108,AFFIL_SPL_OWN_DOM_NO_ARCHIVE,00041,Is the company owned or controlled by another domestic company?,Owned by another company - No/Yes,66.60%
109,EXPS_OTHER_WRTIN_TXT,00110,All Other Operating Expenses -Specify,Nonoperating expenses and income,66.60%
110,RCPT_NONOP_OTH_VAL,00107,Revenue from all other non-operating revenue,Other Recurring Non-operating Income,66.50%
111,INV_E_LIFO_RSV_VAL,00214,"Inventories: LIFO reserve, EOY",Inventories,66.50%
112,INV_E_FIN_VAL,00214,"Inventories: Finished goods, Current Year",Inventories,66.40%
113,CLOSING_DATE_DAY,00021,Annual closing date of this corporation: Day,Closing date,66.30%
114,INV_PREADJ_E_LIFO_VAL,00214,Inventories: Total before LIFO ADJ,Inventories,66.10%
115,DEPR_TOT_MACH,00218,"Depreciation charges, Machinery",Accumulated Depreciation,66.10%
116,INV_FINISHED_BGN,00214,"Inventories, Finished Goods,  Beginning of Year",Inventories,66.00%
117,AFFIL_OWNER_EIN_NUM,00044,Ownership or Controlling Company: EIN,EI of company who owns,66.00%
118,INV_VAL_OTH_WRTIN,00214,"Inventories by Valuation Method, Other non-LIFO valutation methods, Write-in description",Inventories,66.00%
119,DEPR_VAL,00218,"Domestic Depreciable Asset Data:_x000D_
Accumulated depreciation & amortization, ending",Accumulated Depreciation,65.80%
120,INV_VAL_TOT,00214,"Inventories by Valuation Method, Total LIFO and Non-LIFO valuation methods",Inventories,65.80%
121,TRAILER_NUM_TOT_DVAL,00214,"Inventories:_x000D_
Total Trailers",Inventories,65.70%
122,EXPS_TOT_VAL,00104,Total Operating Expenses,Income (loss) from Operation,65.60%
123,RCPT_BILL_OTHOP_DVAL,00107,all other operating revenue,Other Recurring Non-operating Income,65.50%
124,DEPR_TOT,00218,"Depreciation charges, Total Buildings and Machinery",Accumulated Depreciation,65.50%
125,SUBSID_NUM,00061,Total number of domestic and foreign corporations directly or indirectly (all tiers) owned more than 50 percent by this corporation,Number of Subsidiary Corporations,65.40%
126,RCPT_NONOP_INVST_VAL,00107,Non-operating revenue from Investment and property income,Other Recurring Non-operating Income,65.30%
127,INV_PY_GOODS_TOT_DVAL,00214,"Inventories: Total, Prior Year",Inventories,65.10%
128,ASSET_TOT_END_MACH,00218,"Depreciable assets at the end of the year,  Machinery",Accumulated Depreciation,64.90%
129,NPATREV_OTHER_NONOP_WRTIN,00107,All other non-operating revenue write-in description,Other Recurring Non-operating Income,64.80%
130,INCOM_EXPS_EXTRAORD_VAL,00116,"Extraordinary gains (losses), net of taxes",Extraordinary Gains,64.70%
131,ASSET_TOT_END,00218,"Depreciable assets at the end of the year,  Total Buildings and Machinery",Accumulated Depreciation,64.70%
132,ASSET_TOT_END_BUILD,00218,"Depreciable assets at the end of the year,  Buildings",Accumulated Depreciation,64.60%
133,MERCH_EST_NEW_1_PCT,00214,"Merchandise Sales,",Inventories,64.60%
134,ASSET_END_TOT_DVAL,00218,"Derived - Gross depreciation assets total, EOY  ??",Accumulated Depreciation,64.60%
135,RCPT_NONOP_GIFTS_VAL,00110,"Non-operating revenue from contributions, gifts, and grants",Nonoperating expenses and income,64.50%
136,TAX_DOM_NOPROV_TXT,00112,Please explain briefly why there were no tax provisions for current and deferred domestic income taxes,Provision for Income Taxes (FEDERAL),64.50%
137,INV_FOREIN_VAL,00214,Inventories: Out of US Value,Inventories,64.50%
138,RECORD_LINENUM,00022,"The line number listed in the following sequence: Employer Identification Number (EIN), major activity, and geographic location",Employer Identification Number,64.50%
139,INV_RPT_DATE,00214,Inventories: Date reported,Inventories,64.50%
140,INV_VAL_NLIFO_TOT_END,00214,"Inventories by Valuation Method, Total Non-LIFO methods,  End of Year",Inventories,64.10%
141,BUS_TECH_IND_ROB_Y,00001,Yes/No/Do not Know for Business Technology D,Is this your company's industry - yes/no,64.00%
142,INV_VAL_OTH,00214,"Inventories by Valuation Method, Other non-LIFO valutation methods",Inventories,64.00%
143,TAX_DOM_STLOC_NOPROV_TXT,00113,Please explain briefly why there were no tax provisions for current and deferred domestic state and local income taxes,Provision for Income Taxes (STATE),64.00%
144,BUS_TECH_SER_ROB_Y_ARCHIVE,00001,Yes/No/Do not know for Business Technology E,Is this your company's industry - yes/no,63.80%
145,INV_RPT_STAT,00214,Inventories: Date status,Inventories,63.70%
146,NPATREV_INVPROP,00110,"Non-Patient Care Revenue,  Investment and property income - Include interest and dividends. Exclude gains (losses) from assets sold.",Nonoperating expenses and income,63.70%
147,INV_VAL_TOT_END,00214,"Inventories by Valuation Method, Total LIFO and Non-LIFO valuation methods, End of Year",Inventories,63.60%
148,OPSTAT_CEASED_DATE,00034,Operational Status: Ceased operation date,Discontinued Date,63.40%
149,INV_VAL_TOT_BGN,00214,"Inventories by Valuation Method, Total LIFO and Non-LIFO valuation methods, Beginning of Year",Inventories,63.30%
150,INV_CY_LIFO_RSV_VAL,00214,Inventories by Valuation Method: CY LIFO Reserve,Inventories,63.30%
151,JOINT_COMPANY_ADDR_STATE_4,00327,"Investors, State of Company Investor 4",Stockholders Equity,63.30%
152,INV_VAL_NLIFO_TOT_BGN,00214,"Inventories by Valuation Method, Total Non-LIFO methods,  Beginning of Year",Inventories,63.20%
153,INV_VAL_OTH_END,00214,"Inventories by Valuation Method, Other non-LIFO valutation methods, End of Year",Inventories,63.10%
154,INV_YES_ARCHIVE,00214,"Did this establishment own inventories, regardless of where held?",Inventories,63.00%
155,NPATREV_OTHER_OP,00110,All other non-patient care operating  revenue,Nonoperating expenses and income,63.00%
156,BUS_TECH_GUD_VEH_Y_ARCHIVE,00001,Yes/No/Do not know for Business Technology F,Is this your company's industry - yes/no,62.90%
157,ASSET_TOT_BGN,00218,"Depreciable assets at the beginning of the year,  Total Buildings and Machinery",Accumulated Depreciation,62.90%
158,INV_ENROUTE_STAT,00214,Inventories: Out of US Status,Inventories,62.90%
159,MERCH_THIS_EST_PCT,00214,"Merchandise Sales,  Products manufactured or assembled at this establishment",Inventories,62.70%
160,INV_LIFO_RSV_BGN,00214,"Inventories, LIFO reserve,  Beginning of Year",Inventories,62.70%
161,ESTAB_NUM,00061,Total number of establishments,Number of Subsidiary Corporations,62.70%
162,JOINT_COMPANY_ADDR_STATE_1,00327,"Investors, State of Company Investor 1",Stockholders Equity,62.70%
163,INCOM_U_OTHER_OTH_PCT,00303,"Other credit financing, Other",Short Term Loans (Other Short Term Loans),62.60%
164,INV_PY_FINISHED_VAL,00214,"Inventories: Finished goods, Prior Year",Inventories,62.30%
165,JOINT_COMPANY_ADDR_STATE_2,00327,"Investors, State of Company Investor 2",Stockholders Equity,62.30%
166,JOINT_COMPANY_ADDR_STATE_5,00327,"Investors, State of Company Investor 5",Stockholders Equity,62.10%
167,AFFIL_FOR_GE10_STAT,00041,Foreign Ownership or Control: Status,Owned by another company - No/Yes,62.10%
168,CAPEX_USED_BUILD,00221,"Capital Expenditures, Used buildings, structures, machinery and equipment_x000D_
(Include USED automobiles, trucks, etc., major repairs and improvements and software, computers, and peripherals.)",All Other Non-current Assets,62.00%
169,INV_VAL_OTH_BGN,00214,"Inventories by Valuation Method, Other non-LIFO valutation methods, Beginning of Year",Inventories,61.90%
170,INV_VAL_STD,00214,"Inventories by Valuation Method, Standard Cost",Inventories,61.90%
171,ASSET_RETIRED,00218,"Depreciable assets sold, retired, scrapped, destroyed, etc.   Total Buildings and Machinery",Accumulated Depreciation,61.90%
172,OPSTAT_NAME2_TXT,00031,Operational Status: Sold or Leased Name 2,Corporation Status Active/Discontinued/Merged,61.90%
173,INV_LIFO_RSV_END,00214,"Inventories, LIFO reserve,  End of Year",Inventories,61.80%
174,RCPT_NONML_VAL,00110,"Sales, Shipments Receipts, or Revenue - Other non-merchandise",Nonoperating expenses and income,61.80%
175,INCOM_STATEMNT_B_DATE,00119,Statement of Income and Retained Earnings for your 3-MONTH PERIOD: From Date,Retained Earnings at Beginning of Quarter,61.80%
176,TRUCK_WD_NUM,00214,"Inventories:_x000D_
Trucks with drivers",Inventories,61.50%
177,RCPT_C_OWN_STGOV,00217,"Ownership of Construction projects,  State and local governments",Land and Mineral Rights,61.50%
178,ESTAB_NUM,00061,Number of Establishments,Number of Subsidiary Corporations,61.40%
179,AFFIL_OWNER_ADDR_ST,00031,State of the owning or controlling company,Corporation Status Active/Discontinued/Merged,61.40%
180,OPSTAT_NAME1_TXT,00031,Operational Status: Sold or Leased Name 1,Corporation Status Active/Discontinued/Merged,61.30%
181,CAPEX_CO_VAL,00321,Total Capital Expenditures for Company,Capital Stock and Other Capital,61.30%
182,ASSET_TOT_BGN_MACH,00218,"Depreciable assets  at the beginning of the year,  Machinery",Accumulated Depreciation,61.20%
183,INV_VAL_STD_END,00214,"Inventories by Valuation Method, Standard Cost, End of Year",Inventories,61.20%
184,CAPEX_MACH_OTH,00321,"Capital Expenditures, Others",Capital Stock and Other Capital,61.20%
185,EXPS_OP_COST_OTH_VAL,00110,All other operating costs and expenses,Nonoperating expenses and income,61.10%
186,INCOM_U_OTHER_INTER_PCT,00105,"Other credit financing, Interest",Interest Expense,61.10%
187,AFFIL_OWNER_STOCK,00327,What percent of voting stock was held by the owning or controlling company?,Stockholders Equity,60.90%
188,AFFIL_OWNER_GT50_YES_ARCHIVE,00041,Does another domestic company own more than 50% of the voting stock of your company?,Owned by another company - No/Yes,60.90%
189,INV_FOREIGN_VAL_END,00214,"Inventories, Outside of the United States,  End of Year",Inventories,60.90%
190,MERCH_TOT_PCT,00214,"Merchandise Sales,  Total",Inventories,60.90%
191,JOINT_COMPANY_ADDR_STATE_3,00327,"Investors, State of Company Investor 3",Stockholders Equity,60.90%
192,ASSET_TOT_BGN_BUILD,00218,"Depreciable assets at the beginning of the year,  Buildings",Accumulated Depreciation,60.80%
193,CLOSING_DATE_MONTH,00021,Annual closing date of this corporation: Month,Closing date,60.70%
194,COOPERATIVE_YES_ARCHIVE,00041,Is this company a cooperative?,Owned by another company - No/Yes,60.60%
195,INV_LIFO_NET_END,00214,"Inventories, Total Inventories after LIFO adjustment,  End of Year",Inventories,60.60%
196,INCOM_LOAN_FBUS_INT_PCT,00302,"Loan Products Income,  Loans to financial businesses, Interest",Short Term Loans (Commercial Paper),60.60%
197,TRUCKTRAC_WD_NUM,00214,"Inventories:_x000D_
Truck-tractors with drivers",Inventories,60.50%
198,ASSET_CAPEX_VAL,00218,capex for depreciated assets,Accumulated Depreciation,60.40%
199,EXPS_CON_PCT_NORES,00110,"Expenditures incurred,  Nonresidential buildings",Nonoperating expenses and income,60.40%
200,OPSTAT_ADDR_ST_TXT,00031,Operational Status: Sold or Leased State,Corporation Status Active/Discontinued/Merged,60.40%
201,INCOM_STATEMNT_E_DATE,00119,Statement of Income and Retained Earnings for your 3-MONTH PERIOD: To Date,Retained Earnings at Beginning of Quarter,60.30%
202,INV_VAL_AVG,00214,"Inventories by Valuation Method, Average Cost",Inventories,60.20%
203,EXPS_CON_PCT_OTH_WRTIN,00110,"Expenditures incurred,  Other write-in description",Nonoperating expenses and income,60.20%
204,AFFIL_OWNER_STOCK_STAT,00327,Ownership or Control: Percent of Voting Stock Held,Stockholders Equity,60.10%
205,CAPEX_OTH_NEW_VAL,00321,Capital Expenditures: Other new - total,Capital Stock and Other Capital,60.10%
206,JOINT_COMPANY_ADDR_CITY_4,00327,"Investors, City of Company Investor 4",Stockholders Equity,60.00%
207,CAPEX_OTH_NEW_WRTIN_TXT,00321,"Capital Expenditures: Other new - total, specify",Capital Stock and Other Capital,59.90%
208,OPSTAT_NAME,00031,"Operational Status,  New owner/operator,  Name",Corporation Status Active/Discontinued/Merged,59.80%
209,DEPR_TOT_BUILD,00218,"Depreciation charges, Buildings",Accumulated Depreciation,59.80%
210,INCOM_LOAN_VEH_INT_PCT,00302,"Loan Products Income, Consumer vehicle loans, Interest",Short Term Loans (Commercial Paper),59.80%
211,PRCH_AUX_OTHEXPS,00110,"Auxiliary establishment,  all other selected expenses",Nonoperating expenses and income,59.70%
212,ASSET_NET_PPE_VAL,00216,"Net property, plant, and equipment",Plant and Equipment,59.70%
213,INV_VAL_LIFO_BGN,00214,"Inventories by Valuation Method, Last-in, First-Out (LIFO), Beginnng of Year",Inventories,59.70%
214,INCOM_U_LOAN_UNSEC_INT_PCT,00302,"Loan Products Income,  Unsecured loans to consumers, Interest",Short Term Loans (Commercial Paper),59.60%
215,NPATREV_OTHER_OP_WRTIN,00110,"All other non-patient care operating  revenue,  Other write-in description",Nonoperating expenses and income,59.60%
216,INV_VAL_AVG_END,00214,"Inventories by Valuation Method, Average Cost, End of Year",Inventories,59.60%
217,INV_FOREIGN_VAL_BGN,00214,"Inventories, Outside of the United States,  Beginning of Year",Inventories,59.50%
218,PRCH_OTHEXPS,00110,"All other purchased services - (Include legal services, accounting services, other expenses normally considered as overhead or non-job related costs, etc. Exclude purchase of products for resale (cost of goods sold); bad debt; transfers made within the company; capitalized expenses; interest; impairment; income, sales, and excise taxes; and other nonoperating expenses.)",Nonoperating expenses and income,59.40%
219,PRCH_AUX_TOT,00110,"Auxiliary establishment, Total selected expenses",Nonoperating expenses and income,59.30%
220,INV_VAL_FIFO,00214,"Inventories by Valuation Method, First-in, First-Out (FIFO)",Inventories,59.30%
221,RCPT_TOT_PROD,00214,Total value of shipments for products made at this establishment,Inventories,59.30%
222,PROFIT_CHG_WEATHERCORP_CODE,00118,Weather Corporation Net Profit Change,Net Income (loss) for Quarter,59.30%
223,ADD_OPEN_DATE,00021,New Establishment: Open date,Closing date,59.10%
224,INV_PY_LIFO_RSV_VAL,00214,Inventories by Valuation Method: PY LIFO Reserve,Inventories,59.10%
225,NPATREV_HLTHCARE,00110,"Non-Patient Care Revenue,",Nonoperating expenses and income,59.10%
226,OPSTAT_EIN,00022,"Operational Status,  New owner/operator,  Employer Identification Number",Employer Identification Number,59.00%
227,MFG_ESTAB_NUM,00061,Number of manufacturing establishments,Number of Subsidiary Corporations,58.90%
228,TRUCK_WOD_NUM,00214,"Inventories:_x000D_
Trucks without drivers",Inventories,58.90%
229,JOINT_COMPANY_ADDR_CITY_5,00327,"Investors, City of Company Investor 5",Stockholders Equity,58.90%
230,ASSET_RETIRED_BUILD,00218,"Depreciable assets sold, retired, scrapped, destroyed, etc.   Buildings",Accumulated Depreciation,58.80%
231,CAPEX_OTH_USED_VAL,00321,Capital Expenditures: Other used - total,Capital Stock and Other Capital,58.80%
232,JOINT_INVEST_PCT_1,00327,Investors: Percent of Investment of Company Investor 1,Stockholders Equity,58.70%
233,INV_OUTPR_BGN,00214,"Inventories,  Stored or en route, OUTSIDE Puerto Rico,  Beginning of Year",Inventories,58.70%
234,TRUCKTRAC_WOD_NUM,00214,"Inventories:_x000D_
Truck-tractors without drivers",Inventories,58.70%
235,CAPEX_OTH_USED_WRTIN_TXT,00321,"Capital Expenditures: Other used - total, specify",Capital Stock and Other Capital,58.70%
236,INV_OUTPR_END,00214,"Inventories,  Stored or en route, OUTSIDE Puerto Rico,  End of Year",Inventories,58.70%
