,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Cosine Score,Jaccard Score,Actual MDR's Variable
19,CERT_WEBSITE_TXT,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Contact Information: Website,Contact Information: Phone,77.09%,81.87%,50.00%,CERT_PHONE_NUM
20,CAPEX_BUILD_NEW_VAL,B_EXPCOST_BLDG,Capital Expenditures: New buildings,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,76.91%,79.89%,60.00%,CAPEX_RD_OPS_BLDG_VAL
21,CAPEX_BUILD,B_EXPCOST_BLDG,"Capital Expenditures, New and Used Buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,76.85%,81.59%,50.00%,CAPEX_RD_OPS_BLDG_VAL
22,CAPEX_MIN_TOT,TCPEX,"Capital Expenditures, Mineral Total",Total capital expenditures,76.46%,76.72%,75.00%,CAPEX_TOT_VAL
23,CAPEX_TOT,B_EXPCOST_BLDG,"Capital Expenditures, New and Used Buildings and Machinery Total",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,76.35%,83.20%,37.50%,CAPEX_RD_OPS_BLDG_VAL
24,COST_CONMAT_TOT,B_WORLDEXP_TOTAL ,Total Operating Expenses paid,Total worldwide operating expenses,76.09%,78.93%,60.00%,EXPS_WORLD_TOT_VAL
25,ROBOT_VAL,B_EXPCOST_EQUIP,Capital Expenditures for Robotic Equipment,R&D capital expenditures for equipment,75.76%,75.90%,75.00%,CAPEX_RD_OPS_EQUIP_VAL
26,CAPEX_USED_TOT,B_EXPCOST_BLDG,"Capital Expenditures, Used  Buildings and Machinery Total",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,74.77%,80.40%,42.86%,CAPEX_RD_OPS_BLDG_VAL
27,CAPEX_BUILD_VAL,B_EXPCOST_BLDG,Capital Expenditures: New and Used buildings,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,74.56%,78.90%,50.00%,CAPEX_RD_OPS_BLDG_VAL
28,INCOM_U_INSTAL_TOT_PCT,B_CRDAMT,"Installment credit, Total",Total amount of credit that was requested and received ,74.49%,78.81%,50.00%,CREDIT_AMT_RECEIVED_STAT
29,CAPEX_NEW_NONHWY_BUILD,B_EXPCOST_BLDG,"Capital Expenditures, New Non Highway Buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,74.13%,79.64%,42.86%,CAPEX_RD_OPS_BLDG_VAL
30,CAPEX_BUILD_USED_VAL,B_EXPCOST_BLDG,Capital Expenditures: Used buildings,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,74.00%,76.47%,60.00%,CAPEX_RD_OPS_BLDG_VAL
31,CAPEX_OTHMACH_VAL,B_EXPCOST_EQUIP,Capital Expenditures: Machinery - all other,R&D capital expenditures for equipment,74.00%,78.23%,50.00%,CAPEX_RD_OPS_EQUIP_VAL
32,CAPEX_BUILD_TOT_DVAL,B_EXPCOST_BLDG,Capital Expenditures: New & used buildings,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,73.88%,78.10%,50.00%,CAPEX_RD_OPS_BLDG_VAL
33,FUNDS_DEV_TOT,B_RDFUND_TOT,"Source of Research and Development Funds,  Total",Total R&D funds,73.09%,78.93%,40.00%,FUNDS_RD_TOT_DVAL
34,CAPEX_NEW_MACH,B_EXPCOST_EQUIP,"Capital Expenditures, New Machinery",R&D capital expenditures for equipment,72.71%,78.48%,40.00%,CAPEX_RD_OPS_EQUIP_VAL
35,CAPEX_MACH_NEW_VAL,B_EXPCOST_EQUIP,Capital Expenditures: New machinery,R&D capital expenditures for equipment,72.57%,78.32%,40.00%,CAPEX_RD_OPS_EQUIP_VAL
36,ROBOT_WRTIN_TXT,B_EXPCOST_EQUIP,Remarks - Capital Expenditures for Robotic Equipment,R&D capital expenditures for equipment,72.54%,74.75%,60.00%,CAPEX_RD_OPS_EQUIP_VAL
37,CAPEX_SOFTWARE_TOT_VAL,TCPEX,"Capital Expenditures:_x000D_
Computer Software, total",Total capital expenditures,72.47%,76.44%,50.00%,CAPEX_TOT_VAL
38,EXPS_ADMIN_TOT,EXPNS,"Adminstrative Expenses,  Total",Amount of total expenses,72.47%,73.50%,66.67%,EXPS_TOT_VAL
39,CAPEX_MACH_COMP,TCPEX,"Capital Expenditures, Computers",Total capital expenditures,72.39%,76.34%,50.00%,CAPEX_TOT_VAL
40,PREV_OWNER_RECORD_NAME,O1_NAME_TITLE,Name of former Owner or operator,Name of first owner,72.19%,76.11%,50.00%,OWNER1_NAME
41,PREV_OWNER_YEAR,O1_ACQ_BUS_YR,Year acquired from Former Owner or operator,Year that the first owner initially acquired this business,71.89%,75.75%,50.00%,OWNER_ACQ_YEAR
42,OPEX,B_WORLDEXP_TOTAL ,Operating Expenses,Total worldwide operating expenses,71.53%,75.33%,50.00%,EXPS_WORLD_TOT_VAL
43,CAPEX_MACH,TCPEX,"Capital Expenditures, New and Used Machinery",Total capital expenditures,71.43%,78.15%,33.33%,CAPEX_TOT_VAL
44,CAPEX_USED_MACH,TCPEX,"Capital Expenditures, Used Machinery",Total capital expenditures,71.31%,76.83%,40.00%,CAPEX_TOT_VAL
45,CAPEX_COMPTR_VAL,B_EXPCOST_EQUIP,Capital Expenditures: Machinery - computers,R&D capital expenditures for equipment,71.30%,76.82%,40.00%,CAPEX_RD_OPS_EQUIP_VAL
46,CAPEX_NEW_NONHWY_MACH,B_EXPCOST_BLDG,"Capital Expenditures, New buildings, structures, machinery and equipment, and job-site vehicles (Include New construction spending, software, computers, and peripherals.",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,71.14%,80.58%,17.65%,CAPEX_RD_OPS_BLDG_VAL
47,SUBSID_STAT,B_ANYONE_10_PCT,Owns another company more than 50% - Yes/No,Yes/No if one person owns 10% or more of the company,71.09%,74.81%,50.00%,OWNED_10_PCT_STAT
48,CAPEX_MACH_VAL,B_EXPCOST_EQUIP,Capital Expenditures: New and Used machinery,R&D capital expenditures for equipment,70.94%,77.57%,33.33%,CAPEX_RD_OPS_EQUIP_VAL
49,CAPEX_MACH_USED_VAL,B_EXPCOST_EQUIP,Capital Expenditures: Used machinery,R&D capital expenditures for equipment,70.86%,76.31%,40.00%,CAPEX_RD_OPS_EQUIP_VAL
50,NAICS_CODE,RESP_BUS_DESC,Primary Business or Activity: NAICS Code,Primary business activity,70.44%,72.28%,60.00%,NAICS_DESC_TXT
51,CAPEX_MIN_LAND,B_EXPCOST_LAND,"Capital Expenditures, Mineral Land",R&D capital expenditures for land acquisition,70.31%,72.13%,60.00%,CAPEX_RD_OPS_LAND_VAL
52,CAPEX_MACH_TOT_DVAL,B_EXPCOST_EQUIP,Capital Expenditures: New & used machinery,R&D capital expenditures for equipment,70.25%,76.77%,33.33%,CAPEX_RD_OPS_EQUIP_VAL
53,CLASS_HOIND,B_REV ,"Class of Customer,  Were 10 percent or more of your sales to household consumers and individual users in the past 12 months?",Types of customers that accounted for 10% or more of total sales,70.20%,80.38%,12.50%,CUST_TYPE_10_PCT_SALES_CHKBOX
54,CAPEX_MACH_AUTO,TCPEX,"Capital Expenditures, Automobiles",Total capital expenditures,69.85%,73.35%,50.00%,CAPEX_TOT_VAL
55,CAPEX_AUTO_VAL,TCPEX,Capital Expenditures: Machinery - autos,Total capital expenditures,69.83%,75.09%,40.00%,CAPEX_TOT_VAL
56,CAPEX_MACH_OTH_PY,TCPEX,"Capital Expenditures, Others Prior Year",Total capital expenditures,69.46%,74.66%,40.00%,CAPEX_TOT_VAL
57,CAPEX_TOT_PY,TCPEX,"Capital Expenditures, New and Used Buildings and Machinery Total  Prior Year",Total capital expenditures,69.29%,75.63%,33.33%,CAPEX_TOT_VAL
58,CAPEX_USED_BUILD,B_EXPCOST_BLDG,"Capital Expenditures, Used buildings, structures, machinery and equipment_x000D_
(Include USED automobiles, trucks, etc., major repairs and improvements and software, computers, and peripherals.)",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,68.62%,77.61%,17.65%,CAPEX_RD_OPS_BLDG_VAL
59,EXPS_CON_PCT_TOT1,B_EXPCOST_BLDG,"Expenditures incurred,  Total type of buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,68.40%,75.43%,28.57%,CAPEX_RD_OPS_BLDG_VAL
60,EXPS_OP_COST_OTH_VAL,B_WORLDEXP_TOTAL ,All other operating costs and expenses,Total worldwide operating expenses,67.84%,72.75%,40.00%,EXPS_WORLD_TOT_VAL
61,EXPS_CON_PCT_NEW_OTH,B_EXPCOST_BLDG,"Expenditures incurred,  Type of Construction, Other",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,67.60%,77.01%,14.29%,CAPEX_RD_OPS_BLDG_VAL
62,CENSUS_REMARKS,RESP_REMARKS,Explanations in understanding the reported data,Remarks about reported data,67.21%,72.01%,40.00%,REMARKS_WRTIN_TXT
63,CAPEX_MACH_COMP_PY,TCPEX,"Capital Expenditures, Computers Prior Year",Total capital expenditures,67.08%,73.04%,33.33%,CAPEX_TOT_VAL
64,EXPS_OTHER_WRTIN_TXT,B_WORLDEXP_TOTAL ,All Other Operating Expenses -Specify,Total worldwide operating expenses,67.06%,71.83%,40.00%,EXPS_WORLD_TOT_VAL
65,AFFIL_OWNER_STAT,B_ANYONE_10_PCT,Owned by another company more than 50% - Yes/No,Yes/No if one person owns 10% or more of the company,67.06%,73.85%,28.57%,OWNED_10_PCT_STAT
66,CAPEX_SOFTWARE_INTDEV_VAL,CPSFT,"Capital Expenditures:_x000D_
Computer Software, internally-developed",Total capital expenditures for research operations that went towards capitalized software,67.01%,74.02%,27.27%,CAPEX_RSRCH_SOFTWARE_VAL
67,FGINFO_PHONE,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Phone number,Contact Information: Phone,66.90%,74.29%,25.00%,CERT_PHONE_NUM
68,OWN_CONT,O1_NAME_TITLE,Owner contact name.,Name of first owner,66.83%,69.80%,50.00%,OWNER1_NAME
69,RD_VAL,B_RDEXP_FOR ,Company's worldwide expenses for research and development,Amount of international R&D costs,66.54%,78.28%,0.00%,EXPS_RD_FOREIGN_VAL
70,OWNSTAT_ORGN_DNK_ARCHIVE,O1_HISP,"Is the majority ownership of this establishment of Hispanic, Latino, or Spanish origin?","Whether the first owner is Hispanic, Latino, or Spanish",66.46%,71.57%,37.50%,OWNER_ETHNICITY_CODE
71,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,Primary contact phone extension,Contact Information: Extension,66.42%,71.08%,40.00%,CERT_EXTENSION_NUM
72,OPEX_MIN,B_WORLDEXP_TOTAL ,Mining Operating Expenses:  Total,Total worldwide operating expenses,66.31%,67.43%,60.00%,EXPS_WORLD_TOT_VAL
73,CAPEX_MACH_AUTO_PY,TCPEX,"Capital Expenditures, Automobiles Prior Year",Total capital expenditures,66.18%,71.97%,33.33%,CAPEX_TOT_VAL
74,YEAR_END_DATE,FYEND_MONTH,if fiscal or part yr  what is end date,Month that fiscal year ends ,66.06%,74.78%,16.67%,FY_END_DATE
75,CAPEX_SOFTWARE_VEND_VAL,CPSFT,"Capital Expenditures:_x000D_
Computer Software, vendor-customized",Total capital expenditures for research operations that went towards capitalized software,65.88%,72.70%,27.27%,CAPEX_RSRCH_SOFTWARE_VAL
76,ROBOT_CAPEX_PY,CPEQP,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs  Prior Year",Total capital expenditures for research operations that went towards equipment,65.85%,74.36%,17.65%,CAPEX_RSRCH_EQUIP_VAL
77,OWNSTAT_RACE_OTH_WRTIN,O1_RACE,Race of majority ownership -The 'other' race from as indicated on the Race of Majority Ownership,Race of first owner,65.68%,73.74%,20.00%,OWNER_RACE_CODE
78,FGINFO_TITLE,"
RESP_TITLE   ",Title of FG contact person,Contact Information: Title,65.64%,70.16%,40.00%,CERT_TITLE_TXT
79,EXPS_CON_PCT_NEW_SALE,B_EXPCOST_BLDG,"Expenditures incurred, Type of Construction, Sale",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,65.61%,74.98%,12.50%,CAPEX_RD_OPS_BLDG_VAL
80,EXPS_CON_PCT_NEW,B_EXPCOST_BLDG,"Expenditures incurred, New construction",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,65.56%,74.61%,14.29%,CAPEX_RD_OPS_BLDG_VAL
81,EXPS_CON_PCT_TOT2,B_EXPCOST_BLDG,"Expenditures incurred,  Total type of construction",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,65.52%,74.87%,12.50%,CAPEX_RD_OPS_BLDG_VAL
82,EXPS_CON_PCT_NORES,B_EXPCOST_BLDG,"Expenditures incurred,  Nonresidential buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,65.43%,71.10%,33.33%,CAPEX_RD_OPS_BLDG_VAL
83,OWNSTAT_ORGN_YES_OTH_WRTIN,O1_HISP_OTH_WIN,"Yes, another Hispanic, Latino, or Spanish origin - Describe origin, for example, Argentinean, Colombian, Dominican, Nicaraguan, Salvadoran, Spaniard, etc.  Write-in description","Another Hispanic, Latino, or Spanish origin not listed",65.15%,71.94%,26.67%,OWNER_ETHNICITY_WRTIN_TXT
84,EXPS_CON_PCT_NEW_RENT,B_EXPCOST_BLDG,"Expenditures incurred, Type of Construction, Rent or lease",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,65.13%,74.66%,11.11%,CAPEX_RD_OPS_BLDG_VAL
85,CAPEX_MIN_DEV,B_EXPCOST_BLDG,"Capital Expenditures, Mineral Development",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,64.98%,70.56%,33.33%,CAPEX_RD_OPS_BLDG_VAL
86,EXPS_CON_PCT_NEW_TOT,B_EXPCOST_BLDG,"Expenditures incurred,  Type of Construction,  Total",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,64.92%,74.18%,12.50%,CAPEX_RD_OPS_BLDG_VAL
87,OWN_ADD,O1_NAME_TITLE,Owner address,Name of first owner,64.87%,67.49%,50.00%,OWNER1_NAME
88,EXPS_CON_DOL,B_EXPCOST_BLDG,"Expenditures incurred,  construction activity",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,64.85%,73.78%,14.29%,CAPEX_RD_OPS_BLDG_VAL
89,CAPEX_BUILD_PY,CPSTR,"Capital Expenditures, New and Used Buildings  Prior Year",Total capital expenditures for research operations that went towards buildings and land improvement,64.74%,71.35%,27.27%,CAPEX_RSRCH_BUILD_VAL
90,CAPEX_NEWCON_DOL,CPSTR,"Capital Expenditures for new construction, including renovation",Total capital expenditures for research operations that went towards buildings and land improvement,64.46%,72.63%,18.18%,CAPEX_RSRCH_BUILD_VAL
91,PREV_OWNER_ADDR_ST,O1_OTH_BUS_WIN,State of Former Owner or operator,Other status of the previous business Owner 1 started most recently,64.07%,73.18%,12.50%,PREV_BUS_OWN_TXT
92,CAPEX_SOFTWARE_PREPKG_VAL,CPSFT,"Capital Expenditures:_x000D_
Computer Software, prepackaged",Total capital expenditures for research operations that went towards capitalized software,63.99%,69.99%,30.00%,CAPEX_RSRCH_SOFTWARE_VAL
93,EXPS_CON_PCT_RES,B_EXPCOST_BLDG,"Expenditures incurred,  Residential buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,63.88%,69.27%,33.33%,CAPEX_RD_OPS_BLDG_VAL
94,DISCONTINUE_DATE,B_CEASED_DATE_ YEAR ,Corporation status - Discontinued date,Year the business ceased operation,63.87%,75.14%,0.00%,OPSTAT_CEASED_YEAR_DATE
95,INCOM_U_OTHER_TOT_PCT,B_CRDAMT,"Other credit financing, Total",Total amount of credit that was requested and received ,63.65%,66.05%,50.00%,CREDIT_AMT_RECEIVED_STAT
96,ROBOT_CAPEX,B_EXPCOST_EQUIP,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs",R&D capital expenditures for equipment,63.59%,70.40%,25.00%,CAPEX_RD_OPS_EQUIP_VAL
97,OPSTAT_ADDR_STATE,O1_OTH_BUS_WIN,"Operational Status,  New owner/operator,  State",Other status of the previous business Owner 1 started most recently,63.33%,70.98%,20.00%,PREV_BUS_OWN_TXT
98,RD_EXPS_STAT,B_EXPCOST_OTH ,Research and Development Expenses,All other R&D capital expenditures,63.31%,74.48%,0.00%,CAPEX_RD_OPS_OTH_VAL
99,OPSTAT_DATES,B_CEASED_DATE_ YEAR ,"Ceased, Sold, and Added date",Year the business ceased operation,63.16%,71.78%,14.29%,OPSTAT_CEASED_YEAR_DATE
100,EXPS_CON_PCT_NEW_OWN,B_EXPCOST_BLDG,"Expenditures incurred,  Type of Construction, Own use",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,62.82%,71.70%,12.50%,CAPEX_RD_OPS_BLDG_VAL
101,AFFIL_CONTROL_NO,B_ACTIVITYUC_ADMIN ,Does another domestic company have the power to control the management and policies of your company?,Yes/No if domestic unaffiliated companies conducted administrative or management functions for this business,62.69%,70.54%,18.18%,UNAFFIL_US_ADMIN_STAT
102,EXPS_OTHER_VAL,B_EXPCOST_OTH ,All Other Operating Expenses,All other R&D capital expenditures,62.57%,73.61%,0.00%,CAPEX_RD_OPS_OTH_VAL
103,EXPS_CON_PCT_OTH,B_EXPCOST_OTH ,"Expenditures incurred,  Other",All other R&D capital expenditures,62.36%,67.49%,33.33%,CAPEX_RD_OPS_OTH_VAL
104,OPEX_MIN_ROYALTY,B_OPEXPENSE ,Mining Operating Expenses:  Current operating expenses for royalty payments for this domestic reporting unit,Total domestic operating expenses,62.34%,68.05%,30.00%,EXPS_TOT_VAL
105,OPSTAT_NAME,O1_OTH_BUS_WIN,"Operational Status,  New owner/operator,  Name",Other status of the previous business Owner 1 started most recently,62.04%,69.07%,22.22%,PREV_BUS_OWN_TXT
106,NAICS_WRTIN_TXT,RESP_BUS_DESC,Primary Business or Activity: Description write-in,Primary business activity,61.96%,62.31%,60.00%,NAICS_DESC_TXT
107,OPSTAT_CEASED_DATE,B_CEASED_MONTH,Operational Status: Ceased operation date,Month the business ceased operation,61.80%,67.67%,28.57%,OPSTAT_CEASED_MONTH_DATE
108,OPSTAT_ADDR_STREET,O1_OTH_BUS,"Operational Status,  New owner/operator,  Street Address","Status of the previous business, other than this one, that the first owner started",61.75%,69.12%,20.00%,PREV_BUS_OWN_CODE
109,CLASS_BUS_END,B_COOP,"Class of Customer,  Businesses for end use in their own operation, not for resale or production",Companies that are the clients or customers outside the business group,61.50%,72.35%,0.00%,COOP_PARTNER_LOC_CHKBOX
110,PREV_OWN_RECORD_NAME1_TXT,O1_OTH_BUS,New Establishment: Former Ownership Name1,"Status of the previous business, other than this one, that the first owner started",61.40%,72.23%,0.00%,PREV_BUS_OWN_CODE
111,PRCH_AUX_TOT,EXPNS,"Auxiliary establishment, Total selected expenses",Amount of total expenses,61.30%,65.06%,40.00%,EXPS_TOT_VAL
112,MERCH_EST_NEW_3_PCT,B_SALES_PCT_US_TOT,Approximate percentage of the total sales and receipts in $$00 - write-in #3,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",61.13%,68.39%,20.00%,SALES_US_TOT_DPCT
113,EXPS_CON_PCT_NEW_OTH_WRTIN,B_EXPCOST_BLDG,"Expenditures incurred,  Type of Construction, Other write-in description",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,61.07%,69.89%,11.11%,CAPEX_RD_OPS_BLDG_VAL
114,CLASS_RESALE,B_REV ,"Class of Customer,  Were 75% or more of this establishment's sales to retailers/wholesalers/distributors for resale?",Types of customers that accounted for 10% or more of total sales,61.05%,70.56%,7.14%,CUST_TYPE_10_PCT_SALES_CHKBOX
115,FUNDS_DEV_FEDGOV,B_RDFED_DEV,"Source of Research and Development Funds,  Federal government contracts and subcontracts",Federally funded R&D costs for development,60.96%,69.76%,11.11%,FED_RD_DEV_VAL
116,EXPS_CON_PCT_ADD,B_EXPCOST_BLDG,"Expenditures incurred, Additions, alterations, or reconstruction",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,60.92%,69.46%,12.50%,CAPEX_RD_OPS_BLDG_VAL
117,SURVEY_LFO_PROP_ARCHIVE,AFFILWI ,"Legal Form of Organization,  What is the Legal Form of Organization for this establishment?",Details on affiliated organization ,60.72%,67.91%,20.00%,AFFIL_ORG_TXT
118,RD_CHECK_YES,B_RD_CREATE,Did your company perform or fund research and development?,Yes/No if business engaged in research and development,60.50%,67.26%,22.22%,RD_CREATE_STAT
119,MERCH_EST_NEW_2_PCT,B_SALES_PCT_US_TOT,Approximate percentage of the total sales and receipts in current year - write-in #2,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",60.19%,67.61%,18.18%,SALES_US_TOT_DPCT
120,PREV_OWN_STORENUM_TXT,O1_OTH_BUS,New Establishment: Former Ownership Store,"Status of the previous business, other than this one, that the first owner started",60.04%,70.64%,0.00%,PREV_BUS_OWN_CODE
121,HOTEL_OWNNOTMNG_NUM,B_OWNERNUM,Number of Hotel Establishments: Managed by others,Number of owners of the business,59.92%,66.97%,20.00%,OWNER_NUM_STAT
122,RCPT_FOOD_CNTRC_MANUF,B_CONTRACTOUT_TYPE,"Contract Feeding,  Manufacturing and other industrial plants",Type of companies that manufacturing was contracted out to ,59.62%,67.93%,12.50%,MAN_CONTRACTOUT_CHKBOX
123,PREV_OWN_RECORD_NAME2_TXT,O1_OTH_BUS,New Establishment: Former Ownership Name2,"Status of the previous business, other than this one, that the first owner started",59.57%,70.08%,0.00%,PREV_BUS_OWN_CODE
124,CERT_COMPLETED_DATE,"
RESP_TITLE   ",Contact Information: Date completed,Contact Information: Title,59.51%,62.95%,40.00%,CERT_TITLE_TXT
125,EXPS_CON_PCT_MAIN,B_EXPCOST_BLDG,"Expenditures incurred, Maintenance and repair",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,59.36%,67.31%,14.29%,CAPEX_RD_OPS_BLDG_VAL
126,ESTAB_NUM,B_OWNERNUM,Number of Establishments,Number of owners of the business,59.26%,63.83%,33.33%,OWNER_NUM_STAT
127,AGENTEXTN,RESP_PHONE_EXT ,Agent phone extension,Contact Information: Extension,59.21%,66.13%,20.00%,CERT_EXTENSION_NUM
128,RCPT_CUST_BUS_GOV_PCT,B_REV ,"Class of Customer: Total Revenue,Business and Government",Types of customers that accounted for 10% or more of total sales,59.16%,68.00%,9.09%,CUST_TYPE_10_PCT_SALES_CHKBOX
129,RCPT_BUS_PCT,RESP_BUS_DESC,Source of Revenue: Business,Primary business activity,59.01%,65.90%,20.00%,NAICS_DESC_TXT
130,HOTEL_OWN3RD_NUM,B_OWNERNUM,Hotel Management Owned by Others: Number,Number of owners of the business,59.00%,65.88%,20.00%,OWNER_NUM_STAT
131,RCPT_CLIENT_S_STGOV,B_COOP,"Class of Customer,  State and local governments, including public authorities","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",58.98%,67.97%,8.00%,COOP_PARTNER_LOC_CHKBOX
132,CAPEX_NEW_HWY_MACH,B_EXPCOST_BLDG,"Capital Expenditures, New automobiles, trucks, etc. (Intended primarily for highway use.)",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,58.91%,66.09%,18.18%,CAPEX_RD_OPS_BLDG_VAL
133,OPSTAT_DATE,B_CEASED_DATE_ YEAR ,"Operational Status,  Ceased/Sold Operation Date",Year the business ceased operation,58.72%,64.67%,25.00%,OPSTAT_CEASED_YEAR_DATE
134,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Primary contact phone of unit,Contact Information: Phone,58.47%,61.73%,40.00%,CERT_PHONE_NUM
135,RCPT_CLIENT_S_GOV,B_COOP,"Class of Customer, Federal, state, and local governments, including public authorities","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",58.45%,67.41%,7.69%,COOP_PARTNER_LOC_CHKBOX
136,CLASS_BUS,B_COOP,"Class of Customer,  Businesses",Companies that are the clients or customers outside the business group,58.41%,68.72%,0.00%,COOP_PARTNER_LOC_CHKBOX
