,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Cosine Score,Jaccard Score
28,LIAB_CUR_OTH_LLOAN_EX_BND,00311,"Current portion of long-term debt - Other long-term loans, excluding bonds and debentures",Current Portion Long Term Debt-Bonds,79.47%,81.73%,66.67%
29,SUBSID_CONSOL_NUM,00071,Number of corporations consolidated in this report,Number of Subsidiary Corporations Consolidated,79.45%,80.23%,75.00%
30,SE_CAPITAL_STOCK_VAL,00321,Capital stock and other capital - Include additional paid in capital,Capital Stock and Other Capital,79.28%,86.21%,40.00%
31,LIAB_STOCKHOLD_TOT_VAL,00328,TOTAL LIABILITIES AND STOCKHOLDERS' EQTY,Total Laibilities and Stockholders Equity,78.82%,83.91%,50.00%
32,AFFIL_OWNER_EIN,00022,Employer Identification Number of the owning or controlling company,Employer Identification Number,78.68%,83.74%,50.00%
33,LIAB_SHORT_COM_PAPER_VAL,00302,Short-term debt - Commercial paper,Short Term Loans (Commercial Paper),78.51%,80.60%,66.67%
34,SUBSID_NONCONSOL_NUM,00071,Number of corporations not consolidated in this report,Number of Subsidiary Corporations Consolidated,77.95%,78.47%,75.00%
35,ASSET_TRADE_REC_INC_GOV_VAL,00211,Trade accounts and trade receivables including government,Trade Receivables from the U.S. Government,77.79%,80.93%,60.00%
36,EXPS_DIR_CREDITS_VAL,00121,Other direct credits (charges) to retained earnings,Other Credits to Retained Earning,76.62%,83.09%,40.00%
37,EXPS_INTEREST_VAL,00105,Operating Interest Expense,Interest Expense,76.35%,81.00%,50.00%
38,INV_STAT,00214,Inventories: Status,Inventories,75.92%,80.50%,50.00%
39,SE_TOT_VAL,00327,Stockholders' eqty,Stockholders Equity,75.63%,80.15%,50.00%
40,INDUSTRY_STAT_WRTIN_TXT,00001,Is this your Company's Industry -Yes/No (Write-in for 'No' selection),Is this your company's industry - yes/no,75.61%,78.37%,60.00%
41,DEPR_ACCUM_VAL,00218,"Accumulated depreciation, depletion, and amortization.",Accumulated Depreciation,75.49%,79.99%,50.00%
42,LIAB_OTH_LLOAN_EX_BND,00317,"Long-term debt - Other long-term loans, excluding bonds and debentures",Long Term Debt - Bonds,75.48%,78.71%,57.14%
43,DISCONTINUE_DATE,00034,Corporation status - Discontinued date,Discontinued Date,75.23%,79.68%,50.00%
44,ACTCHG_CUM_DBCRD_VAL,00117,"Cumulative effect of accounting changes, net of taxes - principal debits and credits that contribute - Amount",Cumulative Effect of Accounting Changes,74.30%,80.35%,40.00%
45,ACTCHG_CUM_DBCRD_TXT,00117,"Cumulative effect of accounting changes, net of taxes - principal debits and credits that contribute - Description",Cumulative Effect of Accounting Changes,74.28%,80.97%,36.36%
46,TAX_DOM_FED_VAL,00112,Provision for current and deferred domestic income taxes - Federal,Provision for Income Taxes (FEDERAL),73.81%,76.75%,57.14%
47,TAX_DOM_SL_VAL,00113,Provision for current and deferred domestic income taxes - State and local,Provision for Income Taxes (STATE),73.50%,77.65%,50.00%
48,INCOM_EXPS_NONOP_VAL,00110,"Nonoperating income and expenses - Include interest income, eqty and dividend income, etc.",Nonoperating expenses and income,72.65%,76.64%,50.00%
49,RETAIN_EARN_VAL,00123,Retained earnings,Retained Earnings at End of Quarter,71.78%,75.62%,50.00%
50,INV_E_MAT_VAL,00214,"Inventories: materials, EOY",Inventories,71.76%,78.55%,33.33%
51,INV_E_WIP_VAL,00214,"Inventories: work in process, EOY",Inventories,71.28%,79.45%,25.00%
52,ASSET_GROSS_PPE_VAL,00216,"Property, plant, and equipment",Plant and Equipment,71.04%,71.81%,66.67%
53,PROFIT_LOSS_DVAL,00104,profit/loss amount,Income (loss) from Operation,70.82%,78.91%,25.00%
54,INCOM_EXPS_NOP_DBCRD1_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 1,Nonoperating expenses and income,70.35%,76.15%,37.50%
55,INV_E_FIN_VAL,00214,"Inventories: finished goods,  EOY",Inventories,70.14%,78.10%,25.00%
56,SUBSID_STAT,00041,Owns another company more than 50% - Yes/No,Owned by another company - No/Yes,70.03%,75.33%,40.00%
57,INCOM_EXPS_NOP_DBCRD4_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 4,Nonoperating expenses and income,69.94%,75.67%,37.50%
58,INCOM_EXPS_NOP_DBCRD2_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 2,Nonoperating expenses and income,69.93%,75.65%,37.50%
59,INCOM_EXPS_NOP_DBCRD3_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 3,Nonoperating expenses and income,69.69%,75.37%,37.50%
60,INV_TOT_END,00214,"Inventories, Total,  End of Year",Inventories,69.42%,77.26%,25.00%
61,INCOM_EXPS_NOP_DBCRD5_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 5,Nonoperating expenses and income,69.41%,75.04%,37.50%
62,TAX_DOM_VAL,00114,Provision for current and deferred domestic income taxes,Provision for Income Taxes,69.35%,72.77%,50.00%
63,EXPS_CASH_DIV_VAL,00123,Cash dividends charged to retained earnings this quarter,Retained Earnings at End of Quarter,68.99%,73.60%,42.86%
64,INCOM_DIV_VAL,00106,Dividend income - Domestic and foreign,Dividend Income,68.00%,71.17%,50.00%
65,RETAIN_EARN_DIR_DBCRD_TXT,00121,Other direct credits (charges) to retained earnings - principal debits and credits that contribute - Description,Other Credits to Retained Earning,67.87%,75.92%,22.22%
66,RETAIN_EARN_DIR_DBCRD_VAL,00121,Other direct credits (charges) to retained earnings - principal debits and credits that contribute - Amount,Other Credits to Retained Earning,67.74%,75.29%,25.00%
67,INCOM_EXPS_NOP_DBCRD1_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 1,Nonoperating expenses and income,67.33%,71.64%,42.86%
68,OPSTAT_MERGED_DATE,00031,Corporation status - Merged date,Corporation Status Active/Discontinued/Merged,67.13%,70.15%,50.00%
69,INCOM_EXPS_NOP_DBCRD2_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 2,Nonoperating expenses and income,66.80%,71.03%,42.86%
70,INCOM_EXPS_NOP_DBCRD4_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 4,Nonoperating expenses and income,66.66%,70.86%,42.86%
71,INCOM_EXPS_NOP_DBCRD3_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 3,Nonoperating expenses and income,66.03%,70.12%,42.86%
72,PREV_OWNER_EIN,00022,Previous Owner Employer Identifcation Number,Employer Identification Number,65.88%,71.62%,33.33%
73,INCOM_EXPS_RECURR_DBCRD_TXT,00107,Other recurring nonoperating income (expenses) - principal debits and credits that contribute - Description,Other Recurring Non-operating Income,65.31%,73.62%,18.18%
74,INV_TOT_BGN,00214,"Inventories, Total,  Beginning of Year",Inventories,65.28%,72.39%,25.00%
75,CAPEX_MIN_LAND,00217,"Capital Expenditures, Mineral Land",Land and Mineral Rights,64.89%,69.28%,40.00%
76,INCOM_AFT_INCOM_TAX_VAL,00117,Income (loss) before extraordinary items and cumulative effect of accounting changes,Cumulative Effect of Accounting Changes,64.87%,67.49%,50.00%
77,INCOM_EXPS_NOP_DBCRD5_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 5,Nonoperating expenses and income,64.77%,68.63%,42.86%
78,NPATREV_OTHER_NONOP,00107,All other non-operating revenue- Include other non-operating revenue.,Other Recurring Non-operating Income,64.57%,70.08%,33.33%
79,INV_E_TOT_DVAL,00214,"Inventories, total, EOY, current year",Inventories,64.11%,71.89%,20.00%
80,SE_OTH_VAL,00324,Other stockholders' eqty items,Other Stockholder Equity,63.66%,74.89%,0.00%
81,INCOM_EXPS_RCR_DBCRD_VAL,00107,Other recurring nonoperating income (expenses) - principal debits and credits that contribute - Amount,Other Recurring Non-operating Income,63.39%,71.05%,20.00%
82,INV_CY_WRKPROC_VAL,00214,"Inventories: Work-in-process, Current Year",Inventories,63.33%,70.97%,20.00%
83,INV_CY_MAT_VAL,00214,"Inventories: Materials, Current Year",Inventories,63.32%,70.09%,25.00%
84,INCOM_FOR_NONCONS_DOM_VAL,00109,"Income (loss) of foreign branches and eqty in earnings (losses) of domestic and foreign nonconsolidated subsidiaries and other investments accounted for by the eqty method, net of foreign taxes",Income loss of foreign branches,62.77%,69.15%,26.67%
85,NET_REV_LSD,00115,net revenue,Net income (loss),62.75%,69.41%,25.00%
86,AFFIL_SPL_OWN_DOM_YES_ARCHIVE,00041,Is the company owned or controlled by another domestic company?,Owned by another company - No/Yes,62.62%,66.61%,40.00%
87,EXPS_DEPR_VAL,00218,Depreciation and Amortization Charges,Accumulated Depreciation,62.58%,69.21%,25.00%
88,RCPT_NONOP_OTH_NONOP_TE_VAL,00107,Revenue from all other non-operating revenue,Other Recurring Non-operating Income,62.57%,66.55%,40.00%
89,CLOSING_DATE_DAY,00021,Annual closing date of this corporation: Day,Closing date,62.36%,66.31%,40.00%
90,INV_FOREIGN_VAL,00214,Inventories: Out of US Value,Inventories,62.33%,64.50%,50.00%
91,EXPS_OTHER_VAL,00110,All Other Operating Expenses,Nonoperating expenses and income,62.13%,68.68%,25.00%
92,INV_CY_GOODS_TOT_DVAL,00214,"Inventories: Total, Current Year",Inventories,62.05%,68.58%,25.00%
93,OPEX,00110,Operating Expenses,Nonoperating expenses and income,62.05%,68.58%,25.00%
94,ASSET_BGN_VAL,00218,"Gross depreciation assets total, BOY",Accumulated Depreciation,61.96%,69.95%,16.67%
95,RCPT_NONOP_INVST_VAL,00107,Non-operating revenue from Investment and property income,Other Recurring Non-operating Income,61.91%,65.27%,42.86%
96,TRUCK_NUM_TOT_DVAL,00214,"Inventories:_x000D_
Total Trucks",Inventories,61.85%,68.36%,25.00%
97,INV_MAT_END,00214,"Inventories, Materials, supplies, fuels, etc., End of Year",Inventories,61.83%,69.80%,16.67%
98,INV_PY_MAT_VAL,00214,"Inventories: Materials, Prior Year",Inventories,61.56%,68.01%,25.00%
99,OPSTAT_DATES,00034,"Ceased, Sold, and Added date",Discontinued Date,61.46%,68.78%,20.00%
100,INCOM_EXPS_EXTRAORD_VAL,00116,"Extraordinary gains (losses), net of taxes",Extraordinary Gains,61.00%,64.71%,40.00%
101,INV_ENROUTE_STAT,00214,Inventories: Out of US Status,Inventories,60.93%,62.85%,50.00%
102,TAX_DOM_FED_NOPROV_TXT,00112,Please explain briefly why there were no tax provisions for current and deferred domestic federal income taxes,Provision for Income Taxes (FEDERAL),60.82%,66.74%,27.27%
103,INV_FINISHED_END,00214,"Inventories, Finished Goods,  End of Year",Inventories,60.66%,67.83%,20.00%
104,INV_MAT_BGN,00214,"Inventories, Materials, supplies, fuels, etc., Beginning of Year",Inventories,60.64%,68.40%,16.67%
105,INV_WRKPROC_END,00214,"Inventories, Work-in-process, End of Year",Inventories,60.54%,67.70%,20.00%
106,INV_E_LIFO_RSV_VAL,00214,"Inventories: LIFO reserve, EOY",Inventories,60.30%,66.53%,25.00%
107,TRUCKTRAC_NUM_TOT_DVAL,00214,"Inventories:_x000D_
Total Truck-tractors",Inventories,60.09%,67.16%,20.00%
108,INV_PREADJ_B_LIFO_VAL,00214,Inventories: Total before LIFO ADJ,Inventories,59.94%,66.10%,25.00%
109,DEPR_TOT_MACH,00218,"Depreciation charges, Machinery",Accumulated Depreciation,59.94%,66.10%,25.00%
110,INV_WRKPROC_BGN,00214,"Inventories, Work-in-process, Beginning of Year",Inventories,59.90%,66.94%,20.00%
111,INV_RPT_DATE,00214,Inventories: Date reported,Inventories,59.85%,64.53%,33.33%
112,OPSTAT_DATE,00031,"Operational Status,  Ceased/Sold Operation Date",Corporation Status Active/Discontinued/Merged,59.78%,68.56%,10.00%
113,TRAILER_NUM_TOT_DVAL,00214,"Inventories:_x000D_
Total Trailers",Inventories,59.59%,65.69%,25.00%
114,EXPS_OTHER_WRTIN_TXT,00110,All Other Operating Expenses -Specify,Nonoperating expenses and income,59.57%,66.56%,20.00%
115,INV_E_FIN_VAL,00214,"Inventories: Finished goods, Current Year",Inventories,59.48%,66.45%,20.00%
116,COST_CONMAT_TOT,00104,Total Operating Expenses paid,Income (loss) from Operation,59.40%,69.88%,0.00%
117,NPATREV_OTHER_NONOP_WRTIN,00107,All other non-operating revenue write-in description,Other Recurring Non-operating Income,59.38%,64.82%,28.57%
118,DEPR_VAL,00218,"Domestic Depreciable Asset Data:_x000D_
Accumulated depreciation & amortization, ending",Accumulated Depreciation,59.29%,65.83%,22.22%
119,INV_RPT_STAT,00214,Inventories: Date status,Inventories,59.15%,63.70%,33.33%
120,AFFIL_OWNER_EIN_NUM,00044,Ownership or Controlling Company: EIN,EI of company who owns,59.12%,66.03%,20.00%
121,INV_PY_GOODS_TOT_DVAL,00214,"Inventories: Total, Prior Year",Inventories,59.08%,65.10%,25.00%
122,INV_FINISHED_BGN,00214,"Inventories, Finished Goods,  Beginning of Year",Inventories,59.07%,65.97%,20.00%
123,OPSTAT_ADDR_STATE,00031,"Operational Status,  New owner/operator,  State",Corporation Status Active/Discontinued/Merged,58.69%,67.28%,10.00%
124,RCPT_BILL_OTHOP_DVAL,00107,all other operating revenue,Other Recurring Non-operating Income,58.64%,65.46%,20.00%
125,RECORD_LINENUM,00022,"The line number listed in the following sequence: Employer Identification Number (EIN), major activity, and geographic location",Employer Identification Number,58.60%,64.53%,25.00%
126,SPACE_STORAGE,00214,"The warehouse, stockroom, or other inventory storage space",Inventories,58.56%,68.90%,0.00%
127,ASSET_NET_PPE_VAL,00216,"Net property, plant, and equipment",Plant and Equipment,58.26%,59.72%,50.00%
128,DEPR_TOT,00218,"Depreciation charges, Total Buildings and Machinery",Accumulated Depreciation,58.18%,65.51%,16.67%
129,TAX_DOM_STLOC_NOPROV_TXT,00113,Please explain briefly why there were no tax provisions for current and deferred domestic state and local income taxes,Provision for Income Taxes (STATE),58.12%,63.97%,25.00%
130,SUBSID_NUM,00061,Total number of domestic and foreign corporations directly or indirectly (all tiers) owned more than 50 percent by this corporation,Number of Subsidiary Corporations,58.10%,65.41%,16.67%
131,INV_VAL_TOT,00214,"Inventories by Valuation Method, Total LIFO and Non-LIFO valuation methods",Inventories,58.05%,65.77%,14.29%
132,EXPS_CON_PCT_OTH,00110,"Expenditures incurred,  Other",Nonoperating expenses and income,57.80%,68.00%,0.00%
133,INV_VAL_OTH_WRTIN,00214,"Inventories by Valuation Method, Other non-LIFO valutation methods, Write-in description",Inventories,57.74%,65.97%,11.11%
134,CLOSING_DATE_MONTH,00021,Annual closing date of this corporation: Month,Closing date,57.62%,60.73%,40.00%
135,TAX_DOM_NOPROV_TXT,00112,Please explain briefly why there were no tax provisions for current and deferred domestic income taxes,Provision for Income Taxes (FEDERAL),57.57%,64.52%,18.18%
136,ESTAB_NUM,00061,Number of Establishments,Number of Subsidiary Corporations,57.16%,61.36%,33.33%
137,CAPEX_MACH_OTH,00321,"Capital Expenditures, Others",Capital Stock and Other Capital,57.04%,61.23%,33.33%
138,ASSET_END_TOT_DVAL,00218,"Derived - Gross depreciation assets total, EOY  ??",Accumulated Depreciation,57.04%,64.59%,14.29%
139,ESTAB_NUM,00061,Total number of establishments,Number of Subsidiary Corporations,57.02%,62.67%,25.00%
140,BUS_TECH_IND_ROB_Y_ARCHIVE,00001,Yes/No/Do not Know for Business Technology D,Is this your company's industry - yes/no,56.93%,64.03%,16.67%
141,ALPHA,00022,Enterprise Identifier,Employer Identification Number,56.89%,66.93%,0.00%
142,BUS_TECH_SER_ROB_Y_ARCHIVE,00001,Yes/No/Do not know for Business Technology E,Is this your company's industry - yes/no,56.72%,63.79%,16.67%
143,EXPS_INTEREST_PAID,00105,Interest paid,Interest Expense,56.68%,66.68%,0.00%
144,INV_NO_ARCHIVE,00214,"Did this establishment own inventories, regardless of where held?",Inventories,56.56%,63.01%,20.00%
145,INV_VAL_OTH,00214,"Inventories by Valuation Method, Other non-LIFO valutation methods",Inventories,56.51%,63.96%,14.29%
146,OPSTAT_CEASED_DATE,00034,Operational Status: Ceased operation date,Discontinued Date,56.38%,63.39%,16.67%
147,INV_E_LIFO_RSV_VAL,00214,Inventories by Valuation Method: CY LIFO Reserve,Inventories,56.32%,63.32%,16.67%
148,INV_LIFO_RSV_BGN,00214,"Inventories, LIFO reserve,  Beginning of Year",Inventories,56.31%,62.72%,20.00%
149,INV_VAL_NLIFO_TOT_END,00214,"Inventories by Valuation Method, Total Non-LIFO methods,  End of Year",Inventories,56.17%,64.12%,11.11%
150,TRUCK_WD_NUM,00214,"Inventories:_x000D_
Trucks with drivers",Inventories,56.02%,61.50%,25.00%
151,BUS_TECH_GUD_VEH_Y,00001,Yes/No/Do not know for Business Technology F,Is this your company's industry - yes/no,55.93%,62.86%,16.67%
152,INV_PY_FINISHED_VAL,00214,"Inventories: Finished goods, Prior Year",Inventories,55.91%,62.25%,20.00%
153,INCOM_STATEMNT_B_DATE,00119,Statement of Income and Retained Earnings for your 3-MONTH PERIOD: From Date,Retained Earnings at Beginning of Quarter,55.91%,61.85%,22.22%
154,EXPS_TOT_VAL,00104,Total Operating Expenses,Income (loss) from Operation,55.78%,65.62%,0.00%
155,OPSTAT_EIN,00022,"Operational Status,  New owner/operator,  Employer Identification Number",Employer Identification Number,55.74%,58.96%,37.50%
156,INV_VAL_TOT_END,00214,"Inventories by Valuation Method, Total LIFO and Non-LIFO valuation methods, End of Year",Inventories,55.74%,63.62%,11.11%
157,INV_VAL_STD,00214,"Inventories by Valuation Method, Standard Cost",Inventories,55.58%,61.86%,20.00%
158,INV_LIFO_RSV_END,00214,"Inventories, LIFO reserve,  End of Year",Inventories,55.56%,61.83%,20.00%
159,INV_VAL_TOT_BGN,00214,"Inventories by Valuation Method, Total LIFO and Non-LIFO valuation methods, Beginning of Year",Inventories,55.51%,63.35%,11.11%
160,INV_VAL_NLIFO_TOT_BGN,00214,"Inventories by Valuation Method, Total Non-LIFO methods,  Beginning of Year",Inventories,55.41%,63.23%,11.11%
161,INV_VAL_OTH_END,00214,"Inventories by Valuation Method, Other non-LIFO valutation methods, End of Year",Inventories,55.30%,63.09%,11.11%
162,COOPERATIVE_NO_ARCHIVE,00041,Is this company a cooperative?,Owned by another company - No/Yes,55.26%,60.60%,25.00%
163,ASSET_TOT_END_MACH,00218,"Depreciable assets at the end of the year,  Machinery",Accumulated Depreciation,55.20%,64.94%,0.00%
164,CAPEX_CO_VAL,00321,Total Capital Expenditures for Company,Capital Stock and Other Capital,55.11%,61.31%,20.00%
165,NPATREV_INVPROP,00110,"Non-Patient Care Revenue,  Investment and property income - Include interest and dividends. Exclude gains (losses) from assets sold.",Nonoperating expenses and income,55.11%,63.74%,6.25%
166,ASSET_TOT_END,00218,"Depreciable assets at the end of the year,  Total Buildings and Machinery",Accumulated Depreciation,55.00%,64.71%,0.00%
167,EXPS_OP_COST_OTH_VAL,00110,All other operating costs and expenses,Nonoperating expenses and income,54.97%,61.14%,20.00%
168,ASSET_TOT_END_BUILD,00218,"Depreciable assets at the end of the year,  Buildings",Accumulated Depreciation,54.91%,64.60%,0.00%
169,MERCH_EST_NEW_1_PCT,00214,"Merchandise Sales,",Inventories,54.88%,64.56%,0.00%
170,RCPT_NONOP_GIFTS_VAL,00110,"Non-operating revenue from contributions, gifts, and grants",Nonoperating expenses and income,54.86%,64.54%,0.00%
171,INCOM_STATEMNT_E_DATE,00119,Statement of Income and Retained Earnings for your 3-MONTH PERIOD: To Date,Retained Earnings at Beginning of Quarter,54.62%,60.34%,22.22%
172,DEPR_TOT_BUILD,00218,"Depreciation charges, Buildings",Accumulated Depreciation,54.56%,59.78%,25.00%
173,OPSTAT_NAME2_TXT,00031,Operational Status: Sold or Leased Name 2,Corporation Status Active/Discontinued/Merged,54.45%,61.85%,12.50%
174,TRUCKTRAC_WD_NUM,00214,"Inventories:_x000D_
Truck-tractors with drivers",Inventories,54.41%,60.49%,20.00%
175,INV_FOREIGN_VAL_END,00214,"Inventories, Outside of the United States,  End of Year",Inventories,54.29%,60.93%,16.67%
176,INV_VAL_OTH_BGN,00214,"Inventories by Valuation Method, Other non-LIFO valutation methods, Beginning of Year",Inventories,54.27%,61.88%,11.11%
177,INV_VAL_AVG,00214,"Inventories by Valuation Method, Average Cost",Inventories,54.16%,60.19%,20.00%
178,INV_VAL_STD_END,00214,"Inventories by Valuation Method, Standard Cost, End of Year",Inventories,54.13%,61.16%,14.29%
179,INV_VAL_FIFO,00214,"Inventories by Valuation Method, First-in, First-Out (FIFO)",Inventories,54.11%,59.25%,25.00%
180,CAPEX_OTH_NEW_VAL,00321,Capital Expenditures: Other new - total,Capital Stock and Other Capital,54.10%,60.12%,20.00%
181,INV_LIFO_NET_END,00214,"Inventories, Total Inventories after LIFO adjustment,  End of Year",Inventories,54.01%,60.60%,16.67%
182,OPSTAT_NAME1_TXT,00031,Operational Status: Sold or Leased Name 1,Corporation Status Active/Discontinued/Merged,53.98%,61.30%,12.50%
183,RCPT_NONOP_PROGSRVC_VAL,00107,Non-operating revenue from program service,Other Recurring Non-operating Income,53.85%,58.32%,28.57%
184,CAPEX_CL_VAL,00321,Capital Leases,Capital Stock and Other Capital,53.84%,57.46%,33.33%
185,CAPEX_CL_VAL,00321,capital leases,Capital Stock and Other Capital,53.84%,57.46%,33.33%
186,JOINT_COMPANY_ADDR_STATE_4,00327,"Investors, State of Company Investor 4",Stockholders Equity,53.80%,63.29%,0.00%
187,TRUCK_WOD_NUM,00214,"Inventories:_x000D_
Trucks without drivers",Inventories,53.79%,58.87%,25.00%
188,MFG_ESTAB_NUM,00061,Number of manufacturing establishments,Number of Subsidiary Corporations,53.77%,58.85%,25.00%
189,AFFIL_OWNER_GT50,00041,Does another domestic company own more than 50% of the voting stock of your company?,Owned by another company - No/Yes,53.64%,60.90%,12.50%
190,EMP_MAR12,00223,Total Employment,Total Assets,53.59%,57.16%,33.33%
191,NPATREV_OTHER_OP,00110,All other non-patient care operating  revenue,Nonoperating expenses and income,53.58%,63.03%,0.00%
192,ASSET_TOT_BGN,00218,"Depreciable assets at the beginning of the year,  Total Buildings and Machinery",Accumulated Depreciation,53.43%,62.86%,0.00%
193,CAPEX_OTH_NEW_WRTIN_TXT,00321,"Capital Expenditures: Other new - total, specify",Capital Stock and Other Capital,53.38%,59.86%,16.67%
194,JOINT_COMPANY_ADDR_STATE_1,00327,"Investors, State of Company Investor 1",Stockholders Equity,53.33%,62.74%,0.00%
195,MERCH_THIS_EST_PCT,00214,"Merchandise Sales,  Products manufactured or assembled at this establishment",Inventories,53.33%,62.75%,0.00%
196,INV_VAL_LIFO_BGN,00214,"Inventories by Valuation Method, Last-in, First-Out (LIFO), Beginnng of Year",Inventories,53.25%,59.70%,16.67%
197,PRCH_AUX_OTHEXPS,00110,"Auxiliary establishment,  all other selected expenses",Nonoperating expenses and income,53.20%,59.65%,16.67%
198,ADD_OPEN_DATE,00021,New Establishment: Open date,Closing date,53.20%,59.06%,20.00%
199,INCOM_U_OTHER_OTH_PCT,00303,"Other credit financing, Other",Short Term Loans (Other Short Term Loans),53.17%,62.56%,0.00%
200,INV_FOREIGN_VAL_BGN,00214,"Inventories, Outside of the United States,  Beginning of Year",Inventories,53.08%,59.51%,16.67%
201,INCOM_LOAN_FBUS_INT_PCT,00302,"Loan Products Income,  Loans to financial businesses, Interest",Short Term Loans (Commercial Paper),53.03%,60.63%,10.00%
202,CAPEX_OTH_USED_VAL,00321,Capital Expenditures: Other used - total,Capital Stock and Other Capital,53.02%,58.84%,20.00%
203,OPSTAT_ADDR_ST_TXT,00031,Operational Status: Sold or Leased State,Corporation Status Active/Discontinued/Merged,53.02%,60.42%,11.11%
204,JOINT_COMPANY_ADDR_STATE_2,00327,"Investors, State of Company Investor 2",Stockholders Equity,52.98%,62.33%,0.00%
205,EXPS_COMPTR_OTHEQ_VAL,00216,Computer Hardware and Other Equipment,Plant and Equipment,52.92%,57.85%,25.00%
