Variable Source,Variable - MDR,Similarity Score (result/cosineSimilarity.csv),Actual Result,VariableNameB (result/cosineJaccardSimilarity.csv),Similarity Score (result/cosineJaccardSimilarity.csv),Actual Result (result/cosineJaccardSimilarity.csv),VariableNameB (result/cosineSimilarityMultiple.csv),Similarity Score (result/cosineSimilarityMultiple.csv),Actual Result (result/cosineSimilarityMultiple.csv),Match (result/cosineSimilarity.csv),Match (result/cosineJaccardSimilarity.csv),Match (result/cosineSimilarityMultiple.csv)
B_CAPEXP_TOTAL,CAPEX_BUILD_USED_VAL,75.20%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,71.43%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,75.20%,CAPEX_TOT_VAL,0,0,0
EXPNS,EXPS_ADMIN_TOT,74.70%,EXPS_TOT_VAL,EXPNS,73.47%,EXPS_TOT_VAL,EXPNS,74.70%,EXPS_TOT_VAL,0,0,0
B_EXPCOST_TECH,CAPEX_SOFTWARE_VEND_VAL,74.70%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,69.89%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,74.70%,CAPEX_RD_OPS_TECH_VAL,0,0,0
B_EXPCOST_TECH,CAPEX_SOFTWARE_PREPKG_VAL,74.60%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,70.91%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,74.60%,CAPEX_RD_OPS_TECH_VAL,0,0,0
B_CAPEXP_TOTAL,CAPEX_MACH_TOT_DVAL,74.50%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,69.35%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,74.50%,CAPEX_TOT_VAL,0,0,0
B_CAPEXP_TOTAL,CAPEX_USED_MACH,74.00%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,70.39%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,74.00%,CAPEX_TOT_VAL,0,0,0
CPSTR,CAPEX_NEWCON_DOL,73.70%,CAPEX_RSRCH_BUILD_VAL,CPSTR,65.38%,CAPEX_RSRCH_BUILD_VAL,CPSTR,73.70%,CAPEX_RSRCH_BUILD_VAL,0,0,0
TCPEX,CAPEX_NEW_TOT,73.50%,CAPEX_TOT_VAL,TCPEX,69.97%,CAPEX_TOT_VAL,TCPEX,73.50%,CAPEX_TOT_VAL,0,0,0
,CLASS_HOIND_YES_ARCHIVE,,,,,,,,,0,0,0
"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",FGINFO_PHONE,73.30%,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",66.09%,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",73.30%,CERT_PHONE_NUM,0,0,0
TCPEX,CAPEX_MACH_AUTO,73.20%,CAPEX_TOT_VAL,TCPEX,69.68%,CAPEX_TOT_VAL,TCPEX,73.20%,CAPEX_TOT_VAL,0,0,0
B_WORLDEXP_TOTAL ,EXPS_OP_COST_OTH_VAL,73.00%,EXPS_WORLD_TOT_VAL,B_WORLDEXP_TOTAL ,68.01%,EXPS_WORLD_TOT_VAL,B_WORLDEXP_TOTAL ,73.00%,EXPS_WORLD_TOT_VAL,0,0,0
B_CAPEXP_TOTAL,CAPEX_BUILD_VAL,73.00%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,68.05%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,73.00%,CAPEX_TOT_VAL,0,0,0
B_CAPEXP_TOTAL,CAPEX_BUILD_TOT_DVAL,72.80%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,67.88%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,72.80%,CAPEX_TOT_VAL,0,0,0
O1_NAME_TITLE,OWN_NAME,72.70%,OWNER1_NAME,O1_NAME_TITLE,76.77%,OWNER1_NAME,O1_NAME_TITLE,72.70%,OWNER1_NAME,0,0,0
B_CRDAMT,INCOM_U_INSTAL_TOT_PCT,72.60%,CREDIT_AMT_RECEIVED_STAT,B_CRDAMT,69.21%,CREDIT_AMT_RECEIVED_STAT,B_CRDAMT,72.60%,CREDIT_AMT_RECEIVED_STAT,0,0,0
B_EXPCOST_EQUIP,ROBOT_VAL,72.60%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,72.98%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,72.60%,CAPEX_RD_OPS_EQUIP_VAL,0,0,0
B_CAPEXP_TOTAL,CAPEX_MACH,72.50%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,67.60%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,72.50%,CAPEX_TOT_VAL,0,0,0
B_WORLDEXP_TOTAL ,OPEX_MIN,72.50%,EXPS_WORLD_TOT_VAL,B_WORLDEXP_TOTAL ,70.67%,EXPS_WORLD_TOT_VAL,B_WORLDEXP_TOTAL ,72.50%,EXPS_WORLD_TOT_VAL,0,0,0
B_CAPEXP_TOTAL,CAPEX_BUILD_NEW_VAL,72.50%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,69.15%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,72.50%,CAPEX_TOT_VAL,0,0,0
B_CAPEXP_TOTAL,CAPEX_BUILD,72.50%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,67.60%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,72.50%,CAPEX_TOT_VAL,0,0,0
B_OPEXPENSE ,COST_OTHER_OPEX,72.40%,EXPS_TOT_VAL,B_OPEXPENSE ,63.31%,EXPS_TOT_VAL,B_OPEXPENSE ,72.40%,EXPS_TOT_VAL,0,0,0
O2_NAME_TITLE,PREV_OWNER_RECORD_NAME,72.30%,OWNER2_NAME,O2_NAME_TITLE,66.45%,OWNER2_NAME,O2_NAME_TITLE,72.30%,OWNER2_NAME,0,0,0
B_CAPEXP_TOTAL,CAPEX_NEW_BUILD,72.20%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,68.83%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,72.20%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_MACH_COMP_PY,72.00%,CAPEX_TOT_VAL,TCPEX,66.18%,CAPEX_TOT_VAL,TCPEX,72.00%,CAPEX_TOT_VAL,0,0,0
TCPEX,EXPS_CON_PCT_OTH,71.70%,CAPEX_TOT_VAL,TCPEX,64.67%,CAPEX_TOT_VAL,TCPEX,71.70%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_TOT_DVAL_SUM,71.50%,CAPEX_TOT_VAL,TCPEX,64.56%,CAPEX_TOT_VAL,TCPEX,71.50%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_NEW_MACH,71.50%,CAPEX_TOT_VAL,TCPEX,66.78%,CAPEX_TOT_VAL,TCPEX,71.50%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_COMPTR_VAL,71.40%,CAPEX_TOT_VAL,TCPEX,66.67%,CAPEX_TOT_VAL,TCPEX,71.40%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_TOT_PY,71.00%,CAPEX_TOT_VAL,TCPEX,65.34%,CAPEX_TOT_VAL,TCPEX,71.00%,CAPEX_TOT_VAL,0,0,0
,CAPEX_NEW_TOT_SUM,,,,,,,,,0,0,0
B_EXPCOST_EQUIP,ROBOT_WRTIN_TXT,70.50%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,68.96%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,70.50%,CAPEX_RD_OPS_EQUIP_VAL,0,0,0
O1_RACE_OTH_PAC_WIN,OWNSTAT_RACE_OTH_WRTIN,70.30%,OWNER_RACE_CODE,O1_RACE_OTH_PAC_WIN,62.75%,OWNER_RACE_CODE,O1_RACE_WHITE_WIN,70.30%,OWNER_RACE_CODE,0,0,0
NPRDSOURCEWI,FUNDS_DEV_NONFED,70.10%,EXPS_RSRCH_OTH_TXT,NPRDSOURCEWI,62.23%,EXPS_RSRCH_OTH_TXT,NPRDSOURCEWI,70.10%,EXPS_RSRCH_OTH_TXT,0,0,0
TCPEX,CAPEX_AUTO_VAL,69.50%,CAPEX_TOT_VAL,TCPEX,65.12%,CAPEX_TOT_VAL,TCPEX,69.50%,CAPEX_TOT_VAL,0,0,0
O2_NAME_TITLE,PREV_OWN_RECORD_NAME2_TXT,69.50%,OWNER2_NAME,O2_NAME_TITLE,59.09%,OWNER2_NAME,O2_NAME_TITLE,69.50%,OWNER2_NAME,0,0,0
CAPEX,RD_EXPS_STAT,69.40%,CAPEX_RSRCH_VAL,CAPEX,61.12%,CAPEX_RSRCH_VAL,CAPEX,69.40%,CAPEX_RSRCH_VAL,0,0,0
B_RD_CREATE,BUS_TECH_ADD_MFG_N_ARCHIVE,69.20%,RD_CREATE_STAT,B_RD_CREATE,62.59%,RD_CREATE_STAT,B_RD_CREATE,69.20%,RD_CREATE_STAT,0,0,0
RESP_BUS_DESC,NAICS_NUM,69.20%,NAICS_DESC_TXT,RESP_BUS_DESC,67.84%,NAICS_DESC_TXT,RESP_BUS_DESC,69.20%,NAICS_DESC_TXT,0,0,0
,RD_VAL,,,,,,,,,0,0,0
B_CONTRACTIN_TYPE ,MERCH_CONTR_FOR_PCT,69.10%,MAN_CONTRACTIN_CHKBOX,B_CONTRACTIN_TYPE ,59.73%,MAN_CONTRACTIN_CHKBOX,B_CONTRACTIN_TYPE ,69.10%,MAN_CONTRACTIN_CHKBOX,0,0,0
B_OPEXPENSE ,OPEX_MIN_ROYALTY,68.90%,EXPS_TOT_VAL,B_OPEXPENSE ,63.09%,EXPS_TOT_VAL,B_OPEXPENSE ,68.90%,EXPS_TOT_VAL,0,0,0
TCPEX,EXPS_CON_PCT_TOT1,68.80%,CAPEX_TOT_VAL,TCPEX,63.44%,CAPEX_TOT_VAL,TCPEX,68.80%,CAPEX_TOT_VAL,0,0,0
O1_NAME_TITLE,OWN_ADD,68.40%,OWNER1_NAME,O1_NAME_TITLE,65.63%,OWNER1_NAME,O1_NAME_TITLE,68.40%,OWNER1_NAME,0,0,0
RESP_PHONE_EXT ,FGINFO_EXTN,68.20%,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,60.98%,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,68.20%,CERT_EXTENSION_NUM,0,0,0
CPSTR,CAPEX_BUILD_PY,68.10%,CAPEX_RSRCH_BUILD_VAL,CPSTR,61.99%,CAPEX_RSRCH_BUILD_VAL,CPSTR,68.10%,CAPEX_RSRCH_BUILD_VAL,0,0,0
,BUS_TECH_IND_ROB_N,,,,,,,,,0,0,0
TCPEX,CAPEX_MACH_AUTO_PY,68.00%,CAPEX_TOT_VAL,TCPEX,62.76%,CAPEX_TOT_VAL,TCPEX,68.00%,CAPEX_TOT_VAL,0,0,0
O1_HISP_OTH_WIN,OWNSTAT_ORGN_YES_OTH_WRTIN,68.00%,OWNER_ETHNICITY_WRTIN_TXT,O1_HISP_OTH_WIN,61.77%,OWNER_ETHNICITY_WRTIN_TXT,O1_HISP_OTH_WIN,68.00%,OWNER_ETHNICITY_WRTIN_TXT,0,0,0
B_CEASED_DATE_ YEAR ,OPSTAT_DATE,67.90%,OPSTAT_CEASED_YEAR_DATE,B_CEASED_DATE_ YEAR ,61.49%,OPSTAT_CEASED_YEAR_DATE,B_CEASED_DATE_ YEAR ,67.90%,OPSTAT_CEASED_YEAR_DATE,0,0,0
"
RESP_TITLE   ",CERT_COMPLETED_DATE,67.80%,CERT_TITLE_TXT,"
RESP_TITLE   ",63.60%,CERT_TITLE_TXT,"
RESP_TITLE   ",67.80%,CERT_TITLE_TXT,0,0,0
B_CRDAMT,INCOM_U_OTHER_TOT_PCT,67.80%,CREDIT_AMT_RECEIVED_STAT,B_CRDAMT,65.13%,CREDIT_AMT_RECEIVED_STAT,B_CRDAMT,67.80%,CREDIT_AMT_RECEIVED_STAT,0,0,0
,AFFIL_OWNER_GT50,,,,,,,,,0,0,0
B_SALES_PCT_GOODS,RCPT_ECOMM_TOT_PCT,67.60%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,59.48%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,67.60%,SALES_GOODS_PCT,0,0,0
B_CEASED_DATE_ YEAR ,DISCONTINUE_DATE,67.40%,OPSTAT_CEASED_YEAR_DATE,B_CEASED_DATE_ YEAR ,57.29%,OPSTAT_CEASED_YEAR_DATE,B_CEASED_DATE_ YEAR ,67.40%,OPSTAT_CEASED_YEAR_DATE,0,0,0
COPYFEDRD,FUNDS_DEV_FEDGOV,67.30%,EXPS_RSRCH_FED_TOT_VAL,COPYFEDRD,63.85%,EXPS_RSRCH_FED_TOT_VAL,COPYFEDRD,67.30%,EXPS_RSRCH_FED_TOT_VAL,0,0,0
RESP_BUS_DESC,MAJOR_ACT_CODE_WRTIN_TXT,67.20%,NAICS_DESC_TXT,RESP_BUS_DESC,61.38%,NAICS_DESC_TXT,RESP_BUS_DESC,67.20%,NAICS_DESC_TXT,0,0,0
O1_NAME_TITLE,PREV_OWN_RECORD_NAME1_TXT,67.00%,OWNER1_NAME,O1_NAME_TITLE,56.93%,OWNER1_NAME,O1_NAME_TITLE,67.00%,OWNER1_NAME,0,0,0
B_EXPCOST_EQUIP,ROBOT_CAPEX_PY,66.90%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,60.08%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,66.90%,CAPEX_RD_OPS_EQUIP_VAL,0,0,0
B_EXPCOST_BLDG,CAPEX_USED_BUILD,66.90%,CAPEX_RD_OPS_BLDG_VAL,B_EXPCOST_BLDG,59.53%,CAPEX_RD_OPS_BLDG_VAL,B_EXPCOST_BLDG,66.90%,CAPEX_RD_OPS_BLDG_VAL,0,0,0
B_SALES_TOT_US,RCPT_TOT,66.90%,SALES_US_TOT_VAL,B_SALES_TOT_US,60.60%,SALES_US_TOT_VAL,B_SALES_TOT_US,66.90%,SALES_US_TOT_VAL,0,0,0
TCPEX,EXPS_CON_PCT_OTH_WRTIN,66.80%,CAPEX_TOT_VAL,TCPEX,59.30%,CAPEX_TOT_VAL,TCPEX,66.80%,CAPEX_TOT_VAL,0,0,0
B_OPEXPENSE ,EXPS_INTEREST_VAL,66.70%,EXPS_TOT_VAL,B_OPEXPENSE ,59.66%,EXPS_TOT_VAL,B_OPEXPENSE ,66.70%,EXPS_TOT_VAL,0,0,0
B_EXPCOST_EQUIP,ROBOT_CAPEX,66.40%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,60.22%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,66.40%,CAPEX_RD_OPS_EQUIP_VAL,0,0,0
,AFFIL_FOR_GE10,,,,,,,,,0,0,0
B_EXPCOST_BLDG,EXPS_CON_PCT_RES,66.40%,CAPEX_RD_OPS_BLDG_VAL,B_EXPCOST_BLDG,61.45%,CAPEX_RD_OPS_BLDG_VAL,B_EXPCOST_BLDG,66.40%,CAPEX_RD_OPS_BLDG_VAL,0,0,0
B_SALES_PCT_GOODS,RCPT_ECOMM_TOT_PCT_PY,66.30%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,58.16%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,66.30%,SALES_GOODS_PCT,0,0,0
B_RDEXP_DOM_DEPR,DEPR_TOT,66.10%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,57.85%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,66.10%,EXPS_RD_DOM_DEPR_VAL,0,0,0
WZRCD,FUNDS_DEV_TRANSFER,66.00%,EXPS_RSRCH_BUS_TOT_VAL,WZRCD,58.58%,EXPS_RSRCH_BUS_TOT_VAL,WZRCD,66.00%,EXPS_RSRCH_BUS_TOT_VAL,0,0,0
"
RESP_TITLE   ",OWN_CONT,66.00%,CERT_TITLE_TXT,"
RESP_TITLE   ",59.83%,CERT_TITLE_TXT,"
RESP_TITLE   ",66.00%,CERT_TITLE_TXT,0,0,0
TCPEX,CAPEX_MACH_TOT_SUM,65.80%,CAPEX_TOT_VAL,TCPEX,59.27%,CAPEX_TOT_VAL,TCPEX,65.80%,CAPEX_TOT_VAL,0,0,0
B_CONTRACTIN_TYPE ,MFG_ESTAB_NUM,65.80%,MAN_CONTRACTIN_CHKBOX,B_CONTRACTIN_TYPE ,58.08%,MAN_CONTRACTIN_CHKBOX,B_CONTRACTIN_TYPE ,65.80%,MAN_CONTRACTIN_CHKBOX,0,0,0
O2_NAME_TITLE,AFFIL_OWNER_NAME_TXT,65.70%,OWNER2_NAME,O2_NAME_TITLE,55.84%,OWNER2_NAME,O2_NAME_TITLE,65.70%,OWNER2_NAME,0,0,0
B_CAPEXP_TOTAL,CAPEX_MIN_DEV,65.70%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,63.34%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,65.70%,CAPEX_TOT_VAL,0,0,0
,BUS_TECH_SER_ROB_N_ARCHIVE,,,,,,,,,0,0,0
,BUS_TECH_GUD_VEH_Y_ARCHIVE,,,,,,,,,0,0,0
B_SALES_TOT_US,RCPT_CUST_BUS_DVAL,65.20%,SALES_US_TOT_VAL,B_SALES_TOT_US,57.59%,SALES_US_TOT_VAL,B_SALES_TOT_US,65.20%,SALES_US_TOT_VAL,0,0,0
B_CEASED_MONTH,OPSTAT_CEASED_DATE,65.20%,OPSTAT_CEASED_MONTH_DATE,B_CEASED_MONTH,59.68%,OPSTAT_CEASED_MONTH_DATE,B_CEASED_MONTH,65.20%,OPSTAT_CEASED_MONTH_DATE,0,0,0
B_OWNERNUM,AFFIL_OWNER_EIN,65.10%,OWNER_NUM_STAT,B_OWNERNUM,57.47%,OWNER_NUM_STAT,B_OWNERNUM,65.10%,OWNER_NUM_STAT,0,0,0
B_EXPCOST_BLDG,CAPEX_NEW_NONHWY_BUILD,65.10%,CAPEX_RD_OPS_BLDG_VAL,B_EXPCOST_BLDG,61.75%,CAPEX_RD_OPS_BLDG_VAL,B_EXPCOST_BLDG,65.10%,CAPEX_RD_OPS_BLDG_VAL,0,0,0
"
RESP_TITLE   ",FGINFO_TITLE,65.00%,CERT_TITLE_TXT,"
RESP_TITLE   ",61.29%,CERT_TITLE_TXT,"
RESP_TITLE   ",65.00%,CERT_TITLE_TXT,0,0,0
