,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score,Cosine Score,Jaccard Score,result
13,CAPEX_OTH_NEW_WRTIN_TXT,TCPEX,"Capital Expenditures: Other new - total, specify",Total capital expenditures,83.63%,87.80%,60.00%,CAPEX_TOT_VAL
14,CAPEX_OTH_TOT_DVAL,TCPEX,Capital Expenditures: Other new & used - total,Total capital expenditures,83.16%,87.24%,60.00%,CAPEX_TOT_VAL
15,COST_CONMAT_TOT,B_OPEXPENSE ,Total Operating Expenses paid,Total domestic operating expenses,79.53%,82.98%,60.00%,EXPS_TOT_VAL
16,CERT_WEBSITE_TXT,RESP_CONTACT_NAME ,Contact Information: Website,Contact Information: Name,77.98%,79.98%,66.67%,CERT_NAME_TXT
17,CAPEX_TOT_DVAL,TCPEX,Capital Expenditures: All capex - total,Total capital expenditures,77.66%,78.13%,75.00%,CAPEX_TOT_VAL
18,OWN_NAME,O1_NAME_TITLE,Owner name.,Name of first owner,76.77%,72.67%,100.00%,OWNER1_NAME
19,CAPEX_MIN_TOT,TCPEX,"Capital Expenditures, Mineral Total",Total capital expenditures,76.47%,76.73%,75.00%,CAPEX_TOT_VAL
20,SUBSID_STAT,B_PARENTCO_DOMESTIC,Owns another company more than 50% - Yes/No,Yes/No if business is more than 50% owned by another U.S. company,76.41%,81.07%,50.00%,OWNED_DOMESTIC_STAT
21,CAPEX_MACH_OTH_PY,TCPEX,"Capital Expenditures, Others Prior Year",Total capital expenditures,76.09%,82.46%,40.00%,CAPEX_TOT_VAL
22,OPEX,B_OPEXPENSE ,Operating Expenses,Total domestic operating expenses,74.93%,79.32%,50.00%,EXPS_TOT_VAL
23,NAICS_WRTIN_TXT,RESP_BUS_DESC,Primary Business or Activity: Description write-in,Primary business activity,74.66%,77.25%,60.00%,NAICS_DESC_TXT
24,EXPS_OTHER_VAL,B_OPEXPENSE ,All Other Operating Expenses,Total domestic operating expenses,74.13%,78.39%,50.00%,EXPS_TOT_VAL
25,EXPS_ADMIN_TOT,EXPNS,"Adminstrative Expenses,  Total",Amount of total expenses,73.47%,74.68%,66.67%,EXPS_TOT_VAL
26,CAPEX_SOFTWARE_TOT_VAL,TCPEX,"Capital Expenditures:_x000D_
Computer Software, total",Total capital expenditures,73.25%,77.36%,50.00%,CAPEX_TOT_VAL
27,CAPEX_USED_TOT,TCPEX,"Capital Expenditures, Used  Buildings and Machinery Total",Total capital expenditures,73.10%,77.18%,50.00%,CAPEX_TOT_VAL
28,CAPEX_OTHMACH_VAL,TCPEX,Capital Expenditures: Machinery - all other,Total capital expenditures,73.02%,77.08%,50.00%,CAPEX_TOT_VAL
29,ROBOT_VAL,B_EXPCOST_EQUIP,Capital Expenditures for Robotic Equipment,R&D capital expenditures for equipment,72.98%,72.63%,75.00%,CAPEX_RD_OPS_EQUIP_VAL
30,CAPEX_SOFTWARE_INTDEV_VAL,B_EXPCOST_TECH,"Capital Expenditures:_x000D_
Computer Software, internally-developed",R&D capital expenditures for software,72.69%,77.96%,42.86%,CAPEX_RD_OPS_TECH_VAL
31,CAPEX_MACH_NEW_VAL,B_CAPEXP_TOTAL,Capital Expenditures: New machinery,Amount of capital expenditures,72.58%,76.56%,50.00%,CAPEX_TOT_VAL
32,CAPEX_MACH_USED_VAL,B_CAPEXP_TOTAL,Capital Expenditures: Used machinery,Amount of capital expenditures,71.91%,75.78%,50.00%,CAPEX_TOT_VAL
33,CAPEX_MACH_COMP,TCPEX,"Capital Expenditures, Computers",Total capital expenditures,71.88%,75.74%,50.00%,CAPEX_TOT_VAL
34,CENSUS_REMARKS,RESP_REMARKS,Explanations in understanding the reported data,Remarks about reported data,71.86%,77.48%,40.00%,REMARKS_WRTIN_TXT
35,AFFIL_OWNER_STAT,B_ANYONE_10_PCT,Owned by another company more than 50% - Yes/No,Yes/No if one person owns 10% or more of the company,71.79%,79.42%,28.57%,OWNED_10_PCT_STAT
36,EXPS_OTHER_WRTIN_TXT,B_OPEXPENSE ,All Other Operating Expenses -Specify,Total domestic operating expenses,71.74%,77.34%,40.00%,EXPS_TOT_VAL
37,CAPEX_BUILD_USED_VAL,B_CAPEXP_TOTAL,Capital Expenditures: Used buildings,Amount of capital expenditures,71.43%,75.21%,50.00%,CAPEX_TOT_VAL
38,CAPEX_MACH_VAL,B_CAPEXP_TOTAL,Capital Expenditures: New and Used machinery,Amount of capital expenditures,71.09%,76.58%,40.00%,CAPEX_TOT_VAL
39,CAPEX_SOFTWARE_PREPKG_VAL,B_EXPCOST_TECH,"Capital Expenditures:_x000D_
Computer Software, prepackaged",R&D capital expenditures for software,70.91%,74.60%,50.00%,CAPEX_RD_OPS_TECH_VAL
40,OPEX_MIN,B_WORLDEXP_TOTAL ,Mining Operating Expenses:  Total,Total worldwide operating expenses,70.67%,72.55%,60.00%,EXPS_WORLD_TOT_VAL
41,CAPEX_TOT,TCPEX,"Capital Expenditures, New and Used Buildings and Machinery Total",Total capital expenditures,70.65%,75.55%,42.86%,CAPEX_TOT_VAL
42,CAPEX_USED_MACH,B_CAPEXP_TOTAL,"Capital Expenditures, Used Machinery",Amount of capital expenditures,70.39%,73.99%,50.00%,CAPEX_TOT_VAL
43,CAPEX_NEW_TOT,TCPEX,"Capital Expenditures, New Buildings and Machinery Total",Total capital expenditures,69.97%,73.50%,50.00%,CAPEX_TOT_VAL
44,CAPEX_SOFTWARE_VEND_VAL,B_EXPCOST_TECH,"Capital Expenditures:_x000D_
Computer Software, vendor-customized",R&D capital expenditures for software,69.89%,74.66%,42.86%,CAPEX_RD_OPS_TECH_VAL
45,CAPEX_MACH_AUTO,TCPEX,"Capital Expenditures, Automobiles",Total capital expenditures,69.68%,73.15%,50.00%,CAPEX_TOT_VAL
46,OWNSTAT_ORGN_YES_MEX_ARCHIVE,O1_HISP,"Is the majority ownership of this establishment of Hispanic, Latino, or Spanish origin?","Whether the first owner is Hispanic, Latino, or Spanish",69.51%,75.16%,37.50%,OWNER_ETHNICITY_CODE
47,CAPEX_MACH_TOT_DVAL,B_CAPEXP_TOTAL,Capital Expenditures: New & used machinery,Amount of capital expenditures,69.35%,74.53%,40.00%,CAPEX_TOT_VAL
48,INCOM_U_INSTAL_TOT_PCT,B_CRDAMT,"Installment credit, Total",Total amount of credit that was requested and received ,69.21%,72.60%,50.00%,CREDIT_AMT_RECEIVED_STAT
49,CAPEX_BUILD_NEW_VAL,B_CAPEXP_TOTAL,Capital Expenditures: New buildings,Amount of capital expenditures,69.15%,72.54%,50.00%,CAPEX_TOT_VAL
50,ROBOT_WRTIN_TXT,B_EXPCOST_EQUIP,Remarks - Capital Expenditures for Robotic Equipment,R&D capital expenditures for equipment,68.96%,70.54%,60.00%,CAPEX_RD_OPS_EQUIP_VAL
51,CAPEX_NEW_BUILD,B_CAPEXP_TOTAL,"Capital Expenditures, New Buildings",Amount of capital expenditures,68.83%,72.16%,50.00%,CAPEX_TOT_VAL
52,FUNDS_DEV_TOT,NPRDSOURCEWI,"Source of Research and Development Funds,  Total",Details on the amount of internal research funds that came from other sources,68.67%,75.74%,28.57%,EXPS_RSRCH_OTH_TXT
53,CAPEX_BUILD_VAL,B_CAPEXP_TOTAL,Capital Expenditures: New and Used buildings,Amount of capital expenditures,68.05%,73.01%,40.00%,CAPEX_TOT_VAL
54,EXPS_OP_COST_OTH_VAL,B_WORLDEXP_TOTAL ,All other operating costs and expenses,Total worldwide operating expenses,68.01%,72.96%,40.00%,EXPS_WORLD_TOT_VAL
55,CAPEX_BUILD_TOT_DVAL,B_CAPEXP_TOTAL,Capital Expenditures: New & used buildings,Amount of capital expenditures,67.88%,72.80%,40.00%,CAPEX_TOT_VAL
56,NAICS_NUM,RESP_BUS_DESC,Primary Business or Activity: NAICS Code,Primary business activity,67.84%,69.22%,60.00%,NAICS_DESC_TXT
57,CAPEX_MACH,B_CAPEXP_TOTAL,"Capital Expenditures, New and Used Machinery",Amount of capital expenditures,67.60%,72.47%,40.00%,CAPEX_TOT_VAL
58,CAPEX_BUILD,B_CAPEXP_TOTAL,"Capital Expenditures, New and Used Buildings",Amount of capital expenditures,67.60%,72.47%,40.00%,CAPEX_TOT_VAL
59,YEAR_END_DATE,FYEND_MONTH,if fiscal or part yr  what is end date,Month that fiscal year ends ,67.13%,76.03%,16.67%,FY_END_DATE
60,CAPEX_NEW_MACH,TCPEX,"Capital Expenditures, New Machinery",Total capital expenditures,66.78%,71.51%,40.00%,CAPEX_TOT_VAL
61,CAPEX_COMPTR_VAL,TCPEX,Capital Expenditures: Machinery - computers,Total capital expenditures,66.67%,71.38%,40.00%,CAPEX_TOT_VAL
62,PREV_OWNER_RECORD_NAME,O2_NAME_TITLE,Name of former Owner or operator,Name of second owner,66.45%,72.30%,33.33%,OWNER2_NAME
63,CAPEX_MACH_COMP_PY,TCPEX,"Capital Expenditures, Computers Prior Year",Total capital expenditures,66.18%,71.98%,33.33%,CAPEX_TOT_VAL
64,FGINFO_PHONE,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Phone number,Contact Information: Phone,66.09%,73.34%,25.00%,CERT_PHONE_NUM
65,OWN_ADD,O1_NAME_TITLE,Owner address,Name of first owner,65.63%,68.39%,50.00%,OWNER1_NAME
66,CAPEX_NEWCON_DOL,CPSTR,"Capital Expenditures for new construction, including renovation",Total capital expenditures for research operations that went towards buildings and land improvement,65.38%,73.71%,18.18%,CAPEX_RSRCH_BUILD_VAL
67,CAPEX_TOT_PY,TCPEX,"Capital Expenditures, New and Used Buildings and Machinery Total  Prior Year",Total capital expenditures,65.34%,70.99%,33.33%,CAPEX_TOT_VAL
68,INCOM_U_OTHER_TOT_PCT,B_CRDAMT,"Other credit financing, Total",Total amount of credit that was requested and received ,65.13%,67.79%,50.00%,CREDIT_AMT_RECEIVED_STAT
69,CAPEX_AUTO_VAL,TCPEX,Capital Expenditures: Machinery - autos,Total capital expenditures,65.12%,69.55%,40.00%,CAPEX_TOT_VAL
70,EXPS_CON_PCT_OTH,TCPEX,"Expenditures incurred,  Other",Total capital expenditures,64.67%,71.67%,25.00%,CAPEX_TOT_VAL
71,CAPEX_TOT_DVAL_SUM,TCPEX,"Sum estab capital expenditures to KAU _x000D_
Sum KAU capital expenditures to Company",Total capital expenditures,64.56%,71.54%,25.00%,CAPEX_TOT_VAL
72,CLASS_HOIND_NO_ARCHIVE,B_REV ,"Class of Customer,  Were 10 percent or more of your sales to household consumers and individual users in the past 12 months?",Types of customers that accounted for 10% or more of total sales,64.36%,73.51%,12.50%,CUST_TYPE_10_PCT_SALES_CHKBOX
73,FUNDS_DEV_FEDGOV,COPYFEDRD,"Source of Research and Development Funds,  Federal government contracts and subcontracts",Total amount of research funds that came from the federal government,63.85%,67.28%,44.44%,EXPS_RSRCH_FED_TOT_VAL
74,CERT_COMPLETED_DATE,"
RESP_TITLE   ",Contact Information: Date completed,Contact Information: Title,63.60%,67.77%,40.00%,CERT_TITLE_TXT
75,CAPEX_BUILD_TOT_SUM,TCPEX,"Sum estab new capital expenditures to KAU_x000D_
Sum KAU new capital expenditures to company",Total capital expenditures,63.55%,70.84%,22.22%,CAPEX_TOT_VAL
76,EXPS_CON_PCT_TOT1,TCPEX,"Expenditures incurred,  Total type of buildings",Total capital expenditures,63.44%,68.75%,33.33%,CAPEX_TOT_VAL
77,CAPEX_MIN_DEV,B_CAPEXP_TOTAL,"Capital Expenditures, Mineral Development",Amount of capital expenditures,63.34%,65.69%,50.00%,CAPEX_TOT_VAL
78,COST_OTHER_OPEX,B_OPEXPENSE ,"All other operating expenses  (Include payroll, benefits, utilities, depreciation, etc. Exclude cost of goods sold, interest, capital expenditures, and bad debt.)",Total domestic operating expenses,63.31%,72.41%,11.76%,EXPS_TOT_VAL
79,RD_VAL_LT3MIL_ARCHIVE,B_WORLDEXP_TOTAL ,Company's worldwide expenses for research and development,Total worldwide operating expenses,63.12%,69.22%,28.57%,EXPS_WORLD_TOT_VAL
80,OPEX_MIN_ROYALTY,B_OPEXPENSE ,Mining Operating Expenses:  Current operating expenses for royalty payments for this domestic reporting unit,Total domestic operating expenses,63.09%,68.93%,30.00%,EXPS_TOT_VAL
81,CAPEX_MACH_AUTO_PY,TCPEX,"Capital Expenditures, Automobiles Prior Year",Total capital expenditures,62.76%,67.96%,33.33%,CAPEX_TOT_VAL
82,OWNSTAT_RACE_OTH_WRTIN,O1_RACE_OTH_PAC_WIN,Race of majority ownership -The 'other' race from as indicated on the Race of Majority Ownership,Race of first owner,62.75%,70.30%,20.00%,OWNER_RACE_CODE
83,BUS_TECH_ADD_MFG_N_ARCHIVE,B_RD_CREATE,Yes/No/Don't Know for Business Technology B,Yes/No if business engaged in research and development,62.59%,69.22%,25.00%,RD_CREATE_STAT
84,FUNDS_DEV_NONFED,NPRDSOURCEWI,"Source of Research and Development Funds,  Non-federal sources outside your enterprise_x000D_
(Include receipts from other enterprises, state and local governments, and other organizations.)",Details on the amount of internal research funds that came from other sources,62.23%,70.09%,17.65%,EXPS_RSRCH_OTH_TXT
85,BUS_TECH_IND_ROB_Y,B_RD_CREATE,Yes/No/Do not Know for Business Technology D,Yes/No if business engaged in research and development,62.12%,68.04%,28.57%,RD_CREATE_STAT
86,CAPEX_BUILD_PY,CPSTR,"Capital Expenditures, New and Used Buildings  Prior Year",Total capital expenditures for research operations that went towards buildings and land improvement,61.99%,68.12%,27.27%,CAPEX_RSRCH_BUILD_VAL
87,OWNSTAT_ORGN_YES_OTH_WRTIN,O1_HISP_OTH_WIN,"Yes, another Hispanic, Latino, or Spanish origin - Describe origin, for example, Argentinean, Colombian, Dominican, Nicaraguan, Salvadoran, Spaniard, etc.  Write-in description","Another Hispanic, Latino, or Spanish origin not listed",61.77%,67.96%,26.67%,OWNER_ETHNICITY_WRTIN_TXT
88,CAPEX_NEW_NONHWY_BUILD,B_EXPCOST_BLDG,"Capital Expenditures, New Non Highway Buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,61.75%,65.08%,42.86%,CAPEX_RD_OPS_BLDG_VAL
89,CAPEX_MIN_LAND,B_CAPEXP_TOTAL,"Capital Expenditures, Mineral Land",Amount of capital expenditures,61.53%,63.56%,50.00%,CAPEX_TOT_VAL
90,OPSTAT_DATE,B_CEASED_DATE_ YEAR ,"Operational Status,  Ceased/Sold Operation Date",Year the business ceased operation,61.49%,67.93%,25.00%,OPSTAT_CEASED_YEAR_DATE
91,EXPS_CON_PCT_RES,B_EXPCOST_BLDG,"Expenditures incurred,  Residential buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,61.45%,66.42%,33.33%,CAPEX_RD_OPS_BLDG_VAL
92,PREV_OWNER_YEAR,O1_ACQ_BUS_YR,Year acquired from Former Owner or operator,Year that the first owner initially acquired this business,61.44%,63.46%,50.00%,OWNER_ACQ_YEAR
93,MAJOR_ACT_CODE_WRTIN_TXT,RESP_BUS_DESC,Major Activity Code: Primary products or services,Primary business activity,61.38%,67.17%,28.57%,NAICS_DESC_TXT
94,FGINFO_TITLE,"
RESP_TITLE   ",Title of FG contact person,Contact Information: Title,61.29%,65.04%,40.00%,CERT_TITLE_TXT
95,RD_EXPS_STAT,CAPEX,Research and Development Expenses,Total capital expenditures for research operations,61.12%,69.38%,14.29%,CAPEX_RSRCH_VAL
96,FGINFO_EXTN,RESP_PHONE_EXT ,Phone number extension,Contact Information: Extension,60.98%,68.22%,20.00%,CERT_EXTENSION_NUM
97,RCPT_TOT,B_SALES_TOT_US,"Total Sales, Shipments, Receipts or Revenue","Amount of sales, revenue, and grants from domestic operations",60.60%,66.89%,25.00%,SALES_US_TOT_VAL
98,ROBOT_CAPEX,B_EXPCOST_EQUIP,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs",R&D capital expenditures for equipment,60.22%,66.43%,25.00%,CAPEX_RD_OPS_EQUIP_VAL
99,ROBOT_CAPEX_PY,B_EXPCOST_EQUIP,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs  Prior Year",R&D capital expenditures for equipment,60.08%,66.89%,21.43%,CAPEX_RD_OPS_EQUIP_VAL
100,OWN_CONT,"
RESP_TITLE   ",Owner contact name.,Contact Information: Title,59.83%,65.98%,25.00%,CERT_TITLE_TXT
101,BUS_TECH_SER_ROB_DNK,B_RD_CREATE,Yes/No/Do not know for Business Technology E,Yes/No if business engaged in research and development,59.82%,65.33%,28.57%,RD_CREATE_STAT
102,RCPT_EXEMPT_REV,EXPNS,Total revenue and expenses of a tax-exempt establishment,Amount of total expenses,59.81%,64.48%,33.33%,EXPS_TOT_VAL
103,MERCH_CONTR_FOR_PCT,B_CONTRACTIN_TYPE ,"Merchandise Sales,  Products manufactured for this establishment by other companies on a contract basis OR manufactured by your company's foreign plants",Types of companies that this business performed manufacturing for,59.73%,69.10%,6.67%,MAN_CONTRACTIN_CHKBOX
104,EXPS_CON_PCT_NORES,B_EXPCOST_BLDG,"Expenditures incurred,  Nonresidential buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,59.73%,64.39%,33.33%,CAPEX_RD_OPS_BLDG_VAL
105,BUS_TECH_GUD_VEH_DNK_ARCHIVE,B_RD_CREATE,Yes/No/Do not know for Business Technology F,Yes/No if business engaged in research and development,59.72%,65.22%,28.57%,RD_CREATE_STAT
106,OPSTAT_CEASED_DATE,B_CEASED_MONTH,Operational Status: Ceased operation date,Month the business ceased operation,59.68%,65.17%,28.57%,OPSTAT_CEASED_MONTH_DATE
107,EXPS_INTEREST_VAL,B_OPEXPENSE ,Operating Interest Expense,Total domestic operating expenses,59.66%,66.66%,20.00%,EXPS_TOT_VAL
108,CAPEX_USED_BUILD,B_EXPCOST_BLDG,"Capital Expenditures, Used buildings, structures, machinery and equipment_x000D_
(Include USED automobiles, trucks, etc., major repairs and improvements and software, computers, and peripherals.)",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,59.53%,66.92%,17.65%,CAPEX_RD_OPS_BLDG_VAL
109,RCPT_ECOMM_TOT_PCT,B_SALES_PCT_GOODS,"Percent of total sales, shipments, receipts, or revenue that were a result of e-commerce transactions","Percent of domestic sales, revenues, and grants coming from selling goods to customers",59.48%,67.62%,13.33%,SALES_GOODS_PCT
110,OWN_PO,O3_NAME_TITLE,Owner city.,Name of third owner,59.41%,61.06%,50.00%,OWNER3_NAME
111,EXPS_CON_PCT_OTH_WRTIN,TCPEX,"Expenditures incurred,  Other write-in description",Total capital expenditures,59.30%,66.82%,16.67%,CAPEX_TOT_VAL
112,CAPEX_MACH_TOT_SUM,TCPEX,"Sum estab machinery capital expenditures to KAU _x000D_
Sum KAU machinery capital expenditures to Company",Total capital expenditures,59.27%,65.80%,22.22%,CAPEX_TOT_VAL
113,CERT_TITLE,"
RESP_TITLE   ","Certification,  Title of person to contact",Contact Information: Title,59.23%,62.62%,40.00%,CERT_TITLE_TXT
114,BUS_TECH_RFID_Y_ARCHIVE,B_RD_CREATE,Yes/No/Do Not Know for Business Technology C,Yes/No if business engaged in research and development,59.16%,64.56%,28.57%,RD_CREATE_STAT
115,PREV_OWN_RECORD_NAME2_TXT,O2_NAME_TITLE,New Establishment: Former Ownership Name2,Name of second owner,59.09%,69.52%,0.00%,OWNER2_NAME
116,AFFIL_OWNER_GT50_NO_ARCHIVE,B_ANYONE_10_PCT,Does another domestic company own more than 50% of the voting stock of your company?,Yes/No if one person owns 10% or more of the company,59.04%,67.70%,10.00%,OWNED_10_PCT_STAT
117,RCPT_TOT_VAL,B_SALES_TOT_US,"Sales, Shipments, Receipts, or Revenue","Amount of sales, revenue, and grants from domestic operations",58.73%,64.06%,28.57%,SALES_US_TOT_VAL
118,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,Primary contact phone extension,Contact Information: Extension,58.68%,61.98%,40.00%,CERT_EXTENSION_NUM
119,FUNDS_DEV_TRANSFER,WZRCD,"Source of Research and Development Funds,  Transfers or other payments from other establishments of your enterprise",Total amount of domestic and foreign research funds that came from businesses,58.58%,65.97%,16.67%,EXPS_RSRCH_BUS_TOT_VAL
120,PREV_OWNER_ADDR_ST,O2_NAME_TITLE,State of Former Owner or operator,Name of second owner,58.45%,64.35%,25.00%,OWNER2_NAME
121,PRCH_AUX_TOT,EXPNS,"Auxiliary establishment, Total selected expenses",Amount of total expenses,58.35%,61.59%,40.00%,EXPS_TOT_VAL
122,RCPT_ECOMM_TOT_PCT_PY,B_SALES_PCT_GOODS,"Percent of total sales, shipments, receipts, or revenue that were a result of e-commerce transactions  Prior Year","Percent of domestic sales, revenues, and grants coming from selling goods to customers",58.16%,66.35%,11.76%,SALES_GOODS_PCT
123,AFFIL_FOR_GE10_YES,B_PARENTCO_FOREIGN,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other eqty rights of your company?",Yes/No if business is a majority-owned subsidiary of a foreign company,58.11%,66.40%,11.11%,OWNED_FOREIGN_STAT
124,MFG_ESTAB_NUM,B_CONTRACTIN_TYPE ,Number of manufacturing establishments,Types of companies that this business performed manufacturing for,58.08%,65.81%,14.29%,MAN_CONTRACTIN_CHKBOX
125,OWN_ST,O1_NAME_TITLE,Owner state,Name of first owner,57.87%,59.26%,50.00%,OWNER1_NAME
126,DEPR_TOT,B_RDEXP_DOM_DEPR,"Depreciation charges, Total Buildings and Machinery",Amount of domestic R&D costs going to depreciation on property and equipment,57.85%,66.10%,11.11%,EXPS_RD_DOM_DEPR_VAL
127,COST_MAT_TOT,B_RDEXP_DOM_MATERIALS,"Cost of Materials,  Total",Amount of domestic R&D costs going to materials and supplies,57.67%,64.91%,16.67%,EXPS_RD_DOM_MAT_VAL
128,RCPT_CUST_BUS_DVAL,B_SALES_TOT_US,Revenue by Gov & Business,"Amount of sales, revenue, and grants from domestic operations",57.59%,65.23%,14.29%,SALES_US_TOT_VAL
129,AFFIL_OWNER_EIN,B_OWNERNUM,Employer Identification Number of the owning or controlling company,Number of owners of the business,57.47%,65.09%,14.29%,OWNER_NUM_STAT
130,EXPS_CON_PCT_NEW_TOT,TCPEX,"Expenditures incurred,  Type of Construction,  Total",Total capital expenditures,57.47%,61.74%,33.33%,CAPEX_TOT_VAL
131,CAPEX_NEW_HWY_MACH,B_EXPCOST_OTH ,"Capital Expenditures, New automobiles, trucks, etc. (Intended primarily for highway use.)",All other R&D capital expenditures,57.45%,63.67%,22.22%,CAPEX_RD_OPS_OTH_VAL
132,EXPS_CON_PCT_TOT2,TCPEX,"Expenditures incurred,  Total type of construction",Total capital expenditures,57.37%,61.61%,33.33%,CAPEX_TOT_VAL
133,RCPT_TOT_PY,B_SALES_TOT_US,"Total Sales, Shipments, Receipts or Revenue  Prior Year","Amount of sales, revenue, and grants from domestic operations",57.30%,63.88%,20.00%,SALES_US_TOT_VAL
134,DISCONTINUE_DATE,B_CEASED_DATE_ YEAR ,Corporation status - Discontinued date,Year the business ceased operation,57.29%,67.40%,0.00%,OPSTAT_CEASED_YEAR_DATE
135,OPSTAT_DATES,B_CEASED_MONTH,"Ceased, Sold, and Added date",Month the business ceased operation,57.26%,64.84%,14.29%,OPSTAT_CEASED_MONTH_DATE
136,SERVICES_EXPORTED_N_ARCHIVE,B_ACTIVITYUFC_SALE ,"Did this establishment provide services to foreign businesses in $$00 (that is, exported services)?",Yes/No if foreign affiliated companies conducted marketing or sales services for this business,57.17%,64.74%,14.29%,AFFIL_NONUS_SALES_STAT
137,CAPEX_NEWCON_PCT,CPSTR,"Capital Expenditures percentage for new construction, including renovation, for work done by your own employees",Total capital expenditures for research operations that went towards buildings and land improvement,57.16%,64.72%,14.29%,CAPEX_RSRCH_BUILD_VAL
138,EXPS_CON_PCT_SUB,B_CAPEXP_TOTAL,"Expenditures incurred,  Subdividing and/or developing lots",Amount of capital expenditures,57.07%,64.20%,16.67%,CAPEX_TOT_VAL
139,PREV_OWN_RECORD_NAME1_TXT,O1_NAME_TITLE,New Establishment: Former Ownership Name1,Name of first owner,56.93%,66.98%,0.00%,OWNER1_NAME
140,AFFIL_CONTROL_YES,B_ACTIVITYUC_ADMIN ,Does another domestic company have the power to control the management and policies of your company?,Yes/No if domestic unaffiliated companies conducted administrative or management functions for this business,56.88%,63.71%,18.18%,UNAFFIL_US_ADMIN_STAT
141,CAPEX_NEW_NONHWY_MACH,B_EXPCOST_BLDG,"Capital Expenditures, New buildings, structures, machinery and equipment, and job-site vehicles (Include New construction spending, software, computers, and peripherals.",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,56.77%,63.67%,17.65%,CAPEX_RD_OPS_BLDG_VAL
142,ESTAB_NUM,B_OWNERNUM,Number of Establishments,Number of owners of the business,56.71%,60.84%,33.33%,OWNER_NUM_STAT
143,RCPT_OTH,RESP_BUS_DESC,Receipts for all other business activities done by this establishment,Primary business activity,56.62%,63.67%,16.67%,NAICS_DESC_TXT
144,FUNDS_DEV_YES_ARCHIVE,ZINT,Did this establishment receive funds for research and development?,Amount of domestic internal research funds that came from the organization itself,56.55%,62.60%,22.22%,EXPS_RSRCH_INTRNL_VAL
145,RCPT_SYSOFT_OTH_DVAL,B_EXPCOST_TECH,Other System Software revenue,R&D capital expenditures for software,56.53%,62.09%,25.00%,CAPEX_RD_OPS_TECH_VAL
146,MERCH_EST_NEW_2_PCT,B_SALES_PCT_US_TOT,Approximate percentage of the total sales and receipts in current year - write-in #2,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",56.49%,63.24%,18.18%,SALES_US_TOT_DPCT
