,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score
103,NPATREV_OTHER_NONOP,00101,All other non-operating revenue- Include other non-operating revenue.,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",67.60%
104,PAY_QTR1_OTHWRK_M,PPAY,"First Quarter Payroll,Other Manufacturing Employees",Prior quarter payroll from br nan nan,67.60%
105,PAY_QTR1_PRDWRK_PY,P2PAY,Prior Year First Quater Production Worker Payroll,Prior Prior quarter payroll from BR nan nan,67.40%
106,RCPT_BILL_OTHOP_DVAL,00101,all other operating revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",67.20%
107,TRUCK_NUM_TOT_DVAL,00214,"Inventories:_x000D_
Total Trucks",Inventories                          214 Inventories Inventories,67.20%
108,INV_TOT_END,00214,"Inventories, Total,  End of Year",Inventories                          214 Inventories Inventories,67.20%
109,LIAB_SHORT_COM_PAPER_VAL,00302,Short-term debt - Commercial paper,Short Term Loans (Commercial Paper)  302 Short Term Loans (Commercial Paper) Short Term Loans (Commercial Paper),67.20%
110,TAX_DOM_SL_VAL,00114,Provision for current and deferred domestic income taxes - State and local,Provision for income taxes           114 Provision for Income Taxes Provision for domestic income taxes,67.00%
111,PAY_ANN_OTHWRK_M_PY,P2PAY,Annual Payroll for Other Manufacturing Employees  prior Year,Prior Prior quarter payroll from BR nan nan,66.90%
112,INCOM_EXPS_NOP_DBCRD2_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 2,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,66.70%
113,LIAB_STOCKHOLD_TOT_VAL,00328,TOTAL LIABILITIES AND STOCKHOLDERS' EQTY,Liabilities & Stockholders Equity    328 Total Laibilities and Stockholders Equity Total Liabilities and Stockholders Equity,66.70%
114,EXPS_TOT_VAL,00103,Total Operating Expenses,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,66.60%
115,RCPT_JWLRY_VAL,00101,"Sales, Shipments Receipts, or Revenue - Jewelry","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",66.60%
116,PAY_ANN_PRDWRK_PY,P2PAY,Annual Payroll for Production Workers Prior Year,Prior Prior quarter payroll from BR nan nan,66.60%
117,TRUCKTRAC_NUM_TOT_DVAL,00214,"Inventories:_x000D_
Total Truck-tractors",Inventories                          214 Inventories Inventories,66.40%
118,INCOM_EXPS_NOP_DBCRD1_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 1,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,66.30%
119,TRAILER_NUM_TOT_DVAL,00214,"Inventories:_x000D_
Total Trailers",Inventories                          214 Inventories Inventories,66.30%
120,PAY_QTR1_NONPRDWRK_VAL,PPAY,First Quarter Payroll - Nonproduction Workers,Prior quarter payroll from br nan nan,66.10%
121,PAY_QTR1_PRDWRK_VAL,PPAY,First Quarter Payroll - Production Workers,Prior quarter payroll from br nan nan,66.10%
122,OPEX,00103,Operating Expenses,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,65.80%
123,SE_TOT_VAL,00324,Stockholders' eqty,Other Stockholders Equity            324 Other Stockholder Equity Other Stockholders Equity,65.80%
124,INCOM_AFT_INCOM_TAX_VAL,00117,Income (loss) before extraordinary items and cumulative effect of accounting changes,Cumulative Effect of Accting Changes-117 Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes,65.60%
125,EMP_MAR12_OTHWRK_M_PY,P2PAY,"First  Quarter Employment,  Other Manufacturing Employees  Prior Year",Prior Prior quarter payroll from BR nan nan,65.40%
126,EXPS_CON_PCT_OTH,00110,"Expenditures incurred,  Other",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,65.40%
127,INV_E_MAT_VAL,00214,"Inventories: materials, EOY",Inventories                          214 Inventories Inventories,65.40%
128,INCOM_EXPS_NONRECURR_VAL,00108,Nonrecurring items,Non-recurring items                  108 non-Recurring Non-recurring,65.40%
129,ASSET_TOT_END,00102,"Depreciable assets at the end of the year,  Total Buildings and Machinery","Depreciation,Depletion, Amortization-102 nan Depreciation, Depletion and Amortization",64.80%
130,EXPS_INTEREST_VAL,00105,Operating Interest Expense,Interest Expense                     105 Interest Expense Interest expense,64.80%
131,RCPT_AUDVID_VAL,00101,"Sales, Shipments Receipts, or Revenue - Audio & video recordings","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",64.60%
132,ASSET_GROSS_PPE_VAL,00219,"Property, plant, and equipment",Net Property Plant and Equipment     219 NET PPE Net PPE,64.60%
133,SE_OTH_VAL,00324,Other stockholders' eqty items,Other Stockholders Equity            324 Other Stockholder Equity Other Stockholders Equity,64.50%
134,MERCH_EST_NEW_2_PCT,00101,Approximate percentage of the total sales and receipts in current year - write-in #2,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",64.40%
135,ASSET_BGN_VAL,00218,"Gross depreciation assets total, BOY",Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation,64.00%
136,MERCH_EST_NEW_3_PCT,00101,Approximate percentage of the total sales and receipts in $$00 - write-in #3,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",63.90%
137,INV_E_FIN_VAL,00214,"Inventories: finished goods,  EOY",Inventories                          214 Inventories Inventories,63.80%
138,END_DATE,RPTE,Reporting Period End Date,End of Report Period nan nan,63.70%
139,NPATREV_OTHER_NONOP_WRTIN,00101,All other non-operating revenue write-in description,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",63.60%
140,MERCH_TOT_PCT,00101,"Merchandise Sales,  Total","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",63.60%
141,RCPT_USEDGT75_YES,00101,Did the sale of used or secondhand merchandise account for more than 75% of the total sales and receipts reported?,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",63.30%
142,CAPEX_USED_TOT,00219,"Capital Expenditures, Used  Buildings and Machinery Total",Net Property Plant and Equipment     219 NET PPE Net PPE,63.30%
143,EMP_MAR12_PRDWRK_PY,PPAY,"First  Quarter Employment,  Production Workers  Prior Year",Prior quarter payroll from br nan nan,63.20%
144,INV_E_TOT_DVAL,00214,"Inventories, total, EOY, current year",Inventories                          214 Inventories Inventories,63.10%
145,ASSET_OTHACQ_WRTIN_TXT,00102,"Domestic Depreciable Asset Data:_x000D_
Specified additions and acquisitions","Depreciation,Depletion, Amortization-102 nan Depreciation, Depletion and Amortization",63.10%
146,MSC_RESALE_TOT,00101,What were the total receipts for resales?,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",63.00%
147,EXPS_CASH_DIV_VAL,00123,Cash dividends charged to retained earnings this quarter,Retained Earnings at End of Quarter  123 Retained Earnings at End of Quarter Retained Earning at End of quarter,63.00%
148,INV_TOT_BGN,00214,"Inventories, Total,  Beginning of Year",Inventories                          214 Inventories Inventories,63.00%
149,OPSTAT_DATE,00031,"Operational Status,  Ceased/Sold Operation Date",Corp status active/discontinued/merged Corporation Status Active/Discontinued/Merged Corporation Status Active/Discontinued/Merged,62.90%
150,ASSET_RETIRED,00102,"Depreciable assets sold, retired, scrapped, destroyed, etc.   Total Buildings and Machinery","Depreciation,Depletion, Amortization-102 nan Depreciation, Depletion and Amortization",62.70%
151,BENEFIT_PY,P2PAY,"Fringe Benefits, Total  Prior Year",Prior Prior quarter payroll from BR nan nan,62.70%
152,NET_REV_LSD,00101,net revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",62.60%
153,EXPS_MAT_V1_VAL,00216,"Materials, Parts, and Supplies V1",Plant and Equipment                  216 Plant and Equipment Plant and Equipment,62.60%
154,EMP_JUN12_PRDWRK_PY,PPAY,"Second Quarter Employment,  Production Workers  Prior Year",Prior quarter payroll from br nan nan,62.60%
155,BUS_TECH_IND_ROB_DNK_ARCHIVE,00001,Yes/No/Do not Know for Business Technology D,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no,62.50%
156,EMP_DEC12_PRDWRK_PY,P2PAY,"Fourth Quarter Employment,  Production Workers  Prior Year",Prior Prior quarter payroll from BR nan nan,62.30%
157,CLOSING_DATE_DAY,00021,Annual closing date of this corporation: Day,Closing date Closing date Closing date,62.20%
158,LIAB_SHORT_BANK_LOAN_VAL,00301,Short-term debt - Loans from banks,Short Term Loans (Loans from Banks)  301 Short Term Loans (Loan from Banks) Short Term Loans (Loan from Banks),62.10%
159,JOINT_COMPANY_ADDR_STATE_5,00207,"Investors, State of Company Investor 5",St and Local Government Securities   207 State and Local Government Securities State and Local Government Securities,62.00%
160,CAPEX_TOT,00219,"Capital Expenditures, New and Used Buildings and Machinery Total",Net Property Plant and Equipment     219 NET PPE Net PPE,61.90%
161,CAPEX_OTH_USED_VAL,00103,Capital Expenditures: Other used - total,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,61.90%
162,AFFIL_FORSTOCK_GE10,00041,"Does this company alone, or with its domestic affiliates, own 10 percent or more of the voting stock of an incorporated foreign business enterprise, or an equivalent interest in an unincorporated business enterprise, including ownership of real estate?",Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes,61.90%
163,ASSET_TOT_BGN,00102,"Depreciable assets at the beginning of the year,  Total Buildings and Machinery","Depreciation,Depletion, Amortization-102 nan Depreciation, Depletion and Amortization",61.90%
164,NPATREV_INVPROP,00104,"Non-Patient Care Revenue,  Investment and property income - Include interest and dividends. Exclude gains (losses) from assets sold.",Income (loss) from operations        104 Income (loss) from Operation Income (loss) from operations,61.90%
