,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score
35,ASSET_TOT_BGN,ASSET_DA_PPE_VAL,"Depreciable assets at the beginning of the year,  Total Buildings and Machinery","Depreciation: property, plant, and equipment",77.00%
36,END_DATE,REFPER_CAL_YEAR_STAT,Reporting Period End Date,Reporting period,76.90%
37,CAPEX_NEW_MACH,CAPEX_WW_PPE_VAL,"Capital Expenditures, New Machinery","Expenditures: property, plant, and equipment",76.80%
38,CAPEX_NEW_NONHWY_MACH,CAPEX_WW_PPE_VAL,"Capital Expenditures, New buildings, structures, machinery and equipment, and job-site vehicles (Include New construction spending, software, computers, and peripherals.","Expenditures: property, plant, and equipment",76.30%
39,EXPS_CON_PCT_NORES,CAPEX_WW_PPE_VAL,"Expenditures incurred,  Nonresidential buildings","Expenditures: property, plant, and equipment",76.30%
40,START_DATE,REFPER_CAL_YEAR_STAT,Reporting Period Start Date,Reporting period,76.20%
41,CAPEX_MACH_VAL,CAPEX_DOM_PPE_VAL,Capital Expenditures: New and Used machinery,"Domestic capital expenditures: property, plant, and equipment",76.10%
42,CAPEX_TOT_DVAL,CAPEX_WW_TOT_VAL,Capital Expenditures: All capex - total,Worldwide capital expenditures: total,75.70%
43,CAPEX_OTH_NEW_WRTIN_TXT,CAPEX_WW_TOT_VAL,"Capital Expenditures: Other new - total, specify",Worldwide capital expenditures: total,75.60%
44,SURVEY_HRS_NUM,,Survey Completion Time,Hours needed to complete survey,75.40%
45,NET_REV_LSD,RCPT_TOT_VAL,net revenue,Worldwide net sales and operating revenues,75.40%
46,EXPS_CON_PCT_RES,CAPEX_WW_PPE_VAL,"Expenditures incurred,  Residential buildings","Expenditures: property, plant, and equipment",75.30%
47,ASSET_RETIRED_MACH,ASSET_DA_PPE_VAL,"Depreciable assets sold, retired, scrapped, destroyed, etc.   Machinery","Depreciation: property, plant, and equipment",75.30%
48,CAPEX_AUTO_VAL,CAPEX_DOM_PPE_VAL,Capital Expenditures: Machinery - autos,"Domestic capital expenditures: property, plant, and equipment",75.30%
49,CAPEX_MACH_USED_VAL,CAPEX_WW_PPE_VAL,Capital Expenditures: Used machinery,"Expenditures: property, plant, and equipment",75.10%
50,EMP_MAR12_RD_TECH,EMP_DOM_RD_TECH_NUM,"Employment By Occupation, Research and Development, Technicians or technologists",R&D employees by occupation: R&D technicians - domestic,74.80%
51,CAPEX_BUILD_VAL,CAPEX_DOM_PPE_VAL,Capital Expenditures: New and Used buildings,"Domestic capital expenditures: property, plant, and equipment",74.80%
52,ASSET_BGN_VAL,ASSET_DA_TOT_VAL,"Gross depreciation assets total, BOY",Depreciation: total,74.80%
53,ASSET_RETIRED_BUILD,ASSET_DA_PPE_VAL,"Depreciable assets sold, retired, scrapped, destroyed, etc.   Buildings","Depreciation: property, plant, and equipment",74.70%
54,EXPS_CON_PCT_NEW_OTH_WRTIN,CAPEX_WW_PPE_VAL,"Expenditures incurred,  Type of Construction, Other write-in description","Expenditures: property, plant, and equipment",74.70%
55,CAPEX_MACH_AUTO,CAPEX_DOM_PPE_VAL,"Capital Expenditures, Automobiles","Domestic capital expenditures: property, plant, and equipment",74.50%
56,CAPEX_BUILD_TOT_DVAL,CAPEX_DOM_PPE_VAL,Capital Expenditures: New & used buildings,"Domestic capital expenditures: property, plant, and equipment",74.30%
57,CAPEX_MIN_TOT,CAPEX_WW_PPE_VAL,"Capital Expenditures, Mineral Total","Worldwide capital expenditures: property, plant, and equipment",74.30%
58,CAPEX_NEW_BUILD,CAPEX_WW_PPE_VAL,"Capital Expenditures, New Buildings","Expenditures: property, plant, and equipment",74.20%
59,CAPEX_OTH_NEW_VAL,CAPEX_FOR_TOT_VAL,Capital Expenditures: Other new - total,Foreign capital expenditures: total,74.10%
60,CAPEX_MACH_TOT_DVAL,CAPEX_DOM_PPE_VAL,Capital Expenditures: New & used machinery,"Domestic capital expenditures: property, plant, and equipment",74.10%
61,CAPEX_NEW_NONHWY_BUILD,CAPEX_DOM_PPE_VAL,"Capital Expenditures, New Non Highway Buildings","Domestic capital expenditures: property, plant, and equipment",74.00%
62,FUNDS_DEV_FEDGOV,EXPS_DOM_RD_RMB_INT_DEV_FED_VAL,"Source of Research and Development Funds,  Federal government contracts and subcontracts",Federally funded R&D performed in US - Total Development,74.00%
63,EXPS_CON_PCT_OTH_WRTIN,CAPEX_WW_TOT_VAL,"Expenditures incurred,  Other write-in description",Expenditures: total,74.00%
64,ASSET_NET_PPE_VAL,ASSET_NET_WW_PPE_VAL,"Net property, plant, and equipment","Assets: property, plant, and equipment",73.90%
65,RD_EXPS_STAT,EXPS_DOM_RD_CORE_VAL,Research and Development Expenses,R&D costs incurred - Domestic,73.80%
66,CAPEX_OTH_TOT_DVAL,CAPEX_WW_TOT_VAL,Capital Expenditures: Other new & used - total,Worldwide capital expenditures: total,73.70%
67,CAPEX_OTH_USED_WRTIN_TXT,CAPEX_FOR_TOT_VAL,"Capital Expenditures: Other used - total, specify",Foreign capital expenditures: total,73.60%
68,CAPEX_TOT_PY,CAPEX_DOM_PPE_VAL,"Capital Expenditures, New and Used Buildings and Machinery Total  Prior Year","Domestic capital expenditures: property, plant, and equipment",73.50%
69,EXPS_OTHER_VAL,CAPEX_WW_PPE_VAL,All Other Operating Expenses,"Expenditures: property, plant, and equipment",73.20%
70,CAPEX_COMPTR_VAL,CAPEX_WW_PPE_VAL,Capital Expenditures: Machinery - computers,"Expenditures: property, plant, and equipment",73.10%
71,CAPEX_BUILD_USED_VAL,CAPEX_DOM_PPE_VAL,Capital Expenditures: Used buildings,"Domestic capital expenditures: property, plant, and equipment",73.00%
72,ASSET_TOT_END_MACH,ASSET_DA_PPE_VAL,"Depreciable assets at the end of the year,  Machinery","Depreciation: property, plant, and equipment",73.00%
73,DEPR_ACCUM_VAL,ASSET_DA_PPE_VAL,"Accumulated depreciation, depletion, and amortization.","Depreciation: property, plant, and equipment",73.00%
74,EXPS_OTHER_WRTIN_TXT,CAPEX_WW_PPE_VAL,All Other Operating Expenses -Specify,"Expenditures: property, plant, and equipment",72.70%
75,CAPEX_OTH_USED_VAL,CAPEX_FOR_TOT_VAL,Capital Expenditures: Other used - total,Foreign capital expenditures: total,72.70%
76,EMP_MAR12_RD_SCI,EMP_WW_RD_RES_NUM,"Employment By Occupation, Research and Development, Scientists or engineers",R&D employees by occupation: Researchers - worldwide,72.50%
77,CAPEX_MIN_LAND,CAPEX_WW_PPE_VAL,"Capital Expenditures, Mineral Land","Worldwide capital expenditures: property, plant, and equipment",72.40%
78,EXPS_ADMIN_OTHLIFE,CAPEX_WW_PPE_VAL,"Adminstrative Expenses, All other activities (i.e., property and casualty, including reinsurance, etc.)","Expenditures: property, plant, and equipment",72.10%
79,ASSET_TOT_END_BUILD,ASSET_DA_PPE_VAL,"Depreciable assets at the end of the year,  Buildings","Depreciation: property, plant, and equipment",72.00%
80,FUNDS_DEV_TOT,EXPS_DOM_RD_RMB_INT_DEV_FED_VAL,"Source of Research and Development Funds,  Total",Federally funded R&D performed in US - Total Development,71.10%
81,RCPT_CONTRACT_FOOD,EXPS_PRI_RD_INT_VAL,"Contract Work done by customer in Puerto Rico, Hotels, restaurants, food services, and drinking places",Research and development paid for and performed by your company in Puerto Rico,71.10%
82,CAPEX_NEW_HWY_MACH,CAPEX_WW_PPE_VAL,"Capital Expenditures, New automobiles, trucks, etc. (Intended primarily for highway use.)","Expenditures: property, plant, and equipment",70.90%
83,FUNDS_DEV_NONFED,EXPS_DOM_RD_RMB_INT_FEDGOV,"Source of Research and Development Funds,  Non-federal sources outside your enterprise_x000D_
(Include receipts from other enterprises, state and local governments, and other organizations.)","Domestic R&D performed by your company that was paid for by others, by Source of Funds: US federal government agencies and labs",70.80%
84,CAPEX_BUILD_NEW_VAL,CAPEX_DOM_RD_STR_VAL,Capital Expenditures: New buildings,"Domestic capital expenditures for R&D, by type of asset: Buildings and land improvements",70.80%
85,EXPS_ADMIN_TOT,CAPEX_WW_TOT_VAL,"Adminstrative Expenses,  Total",Expenditures: total,70.70%
86,CAPEX_MIN_DEV,CAPEX_WW_PPE_VAL,"Capital Expenditures, Mineral Development","Worldwide capital expenditures: property, plant, and equipment",70.70%
87,EXPS_CON_PCT_SUB,CAPEX_WW_PPE_VAL,"Expenditures incurred,  Subdividing and/or developing lots","Expenditures: property, plant, and equipment",70.70%
88,RD_CHECK_NO,,Did your company perform or fund research and development?,"R&D paid for and performed by your company, by country where performed",70.50%
89,CAPEX_SOFTWARE_TOT_VAL,CAPEX_WW_TOT_VAL,"Capital Expenditures:_x000D_
Computer Software, total",Worldwide capital expenditures: total,70.40%
90,OPSTAT_DATES,OPSTAT_CEASED_DATE,"Ceased, Sold, and Added date",Date your company ceased operations,70.30%
91,EXPS_OP_COST_OTH_VAL,CAPEX_WW_PPE_VAL,All other operating costs and expenses,"Expenditures: property, plant, and equipment",70.20%
92,PREV_OWN_STAT,ASSET_BK_MA_PPE_VAL,New Establishment Acquisition,"Acquisitions: property, plant, and equipment",70.20%
93,AFFIL_OWNER_NAME,PARENTCO_HOLDING_STAT,Name of the owning or controlling company,Is the parent company a holding company?,70.10%
94,PREV_OWNER_YEAR,PARENTCO_ACQ_DATE,Year acquired from Former Owner or operator,Date of parent company purchased,70.00%
95,SURVEY_LFO_FOREIGN,AFFIL_OWNER_FOR_STAT,"Legal Form of Organization,  Foreign Control,   Was this establishment a Controlled Foreign Corporation?",Was company owned by a foreign company?,69.70%
96,CAPEX_MACH_NEW_VAL,CAPEX_WW_PPE_VAL,Capital Expenditures: New machinery,"Expenditures: property, plant, and equipment",69.70%
97,ASSET_OTHACQ_WRTIN_TXT,ASSET_DA_PPE_VAL,"Domestic Depreciable Asset Data:_x000D_
Specified additions and acquisitions","Depreciation: property, plant, and equipment",69.60%
98,DEPR_TOT_BUILD,ASSET_DA_PPE_VAL,"Depreciation charges, Buildings","Depreciation: property, plant, and equipment",69.40%
99,EMP_MAR12,EMP_WW_NONRD_NUM,Total Employment,All other Employees  - Total Worldwide,69.30%
100,ASSET_END_TOT_DVAL,ASSET_DA_PPE_VAL,"Domestic Depreciable Asset Data:_x000D_
Gross value of structures & equipment, ending","Depreciation: property, plant, and equipment",69.20%
101,ASSET_END_TOT_DVAL,ASSET_DA_TOT_VAL,"Derived - Gross depreciation assets total, EOY  ??",Depreciation: total,69.10%
102,EXPS_CON_PCT_OWN_EMP,CAPEX_WW_PPE_VAL,"Expenditures incurred,  Percent of the total expenditures that represents work done by your own employees as opposed to work done by contractors or other hired labor","Expenditures: property, plant, and equipment",69.00%
103,ASSET_BGN_VAL,ASSET_DA_PPE_VAL,"Domestic Depreciable Asset Data:_x000D_
Gross value of structures & equipment, beginning","Depreciation: property, plant, and equipment",69.00%
104,RCPT_CONTRACT_GOV,EXPS_PRI_RD_INT_VAL,"Contract Work done by customer in Puerto Rico,  Commonwealth or Territorial government",Research and development paid for and performed by your company in Puerto Rico,69.00%
105,CAPEX_MACH_COMP,CAPEX_WW_PPE_VAL,"Capital Expenditures, Computers","Expenditures: property, plant, and equipment",68.90%
106,EXPS_DEPR_VAL,ASSET_DA_TOT_VAL,Depreciation and Amortization Charges,Depreciation: total,68.90%
107,ASSET_CAPEX_VAL,CAPEX_DOM_IIA_VAL,"Domestic Depreciable Asset Data:_x000D_
Total capex",Domestic capital expenditures: identifiable intangible assets,68.80%
108,PRCH_TEMPSTAF,EXPS_DOM_RD_CORE_TEMP_VAL,Purchased services for temporary staff and leased employees  (Professional Employer Organizations and staffing agencies for personnel),Type of R&D Costs: Leased employees and temporary staffing  (Domestic),68.40%
109,CAPEX_SOFTWARE_INTDEV_VAL,CAPEX_DOM_RD_SFT_VAL,"Capital Expenditures:_x000D_
Computer Software, internally-developed","Domestic capital expenditures for R&D, by type of asset: Capitalized software",68.40%
110,CAPEX_BUILD_PY,CAPEX_DOM_PPE_VAL,"Capital Expenditures, New and Used Buildings  Prior Year","Domestic capital expenditures: property, plant, and equipment",68.40%
111,OPSTAT_DATE,OPSTAT_CEASED_DATE,"Operational Status,  Ceased/Sold Operation Date",Date your company ceased operations,68.30%
112,RCPT_CONTRACT_C,EXPS_PRI_RD_INT_VAL,"Contract Work done by customer in Puerto Rico,  Construction companies",Research and development paid for and performed by your company in Puerto Rico,68.30%
113,TOURIST_LAW,EXPS_PRI_RD_INT_VAL,Establishment operates under the Puerto Rico Tourist Incentive Act,Research and development paid for and performed by your company in Puerto Rico,68.10%
114,SURV_YEAR_STAT,REFPER_CAL_YEAR_STAT,time period for data reported,Reporting period,68.10%
115,COST_OTHER_OPEX,CAPEX_WW_PPE_VAL,"All other operating expenses  (Include payroll, benefits, utilities, depreciation, etc. Exclude cost of goods sold, interest, capital expenditures, and bad debt.)","Expenditures: property, plant, and equipment",68.10%
116,EXPS_REPAIR_DOL,CAPEX_WW_PPE_VAL,Expenses for maintenance and repairs,"Expenditures: property, plant, and equipment",68.10%
117,EXPS_ADMIN_OTHPRPCAS,CAPEX_WW_PPE_VAL,"Adminstrative Expenses, All other activities (i.e., life, accident and health, and hospital and medical service plans, including reinsurance)","Expenditures: property, plant, and equipment",67.90%
118,ASSET_TOT_BGN_MACH,ASSET_DA_PPE_VAL,"Depreciable assets  at the beginning of the year,  Machinery","Depreciation: property, plant, and equipment",67.60%
119,ROBOT_WRTIN_TXT,CAPEX_DOM_RD_EQP_VAL,Remarks - Capital Expenditures for Robotic Equipment,"Domestic capital expenditures for R&D, by type of asset: Equipment",67.60%
120,ROBOT_VAL,CAPEX_DOM_RD_EQP_VAL,Capital Expenditures for Robotic Equipment,"Domestic capital expenditures for R&D, by type of asset: Equipment",67.60%
121,OPEX,CAPEX_WW_PPE_VAL,Operating Expenses,"Expenditures: property, plant, and equipment",67.60%
122,ASSET_OTHACQ_VAL,CAPEX_DOM_IIA_VAL,"Domestic Depreciable Asset Data:_x000D_
Gross value of other additions and acquisitions",Domestic capital expenditures: identifiable intangible assets,67.50%
123,RCPT_CONTRACT_M,EXPS_PRI_RD_INT_VAL,"Contract Work done by customer in Puerto Rico,  Other manufacturing establishments",Research and development paid for and performed by your company in Puerto Rico,67.30%
124,OPSTAT_CEASED_DATE,OPSTAT_CEASED_DATE,Operational Status: Ceased operation date,Date your company ceased operations,67.10%
125,PRCH_ENT_TAX,CAPEX_WW_PPE_VAL,"Enterprise payments for other establishments,  Governmental taxes and license fees (Exclude sales, excise, and income taxes.)","Expenditures: property, plant, and equipment",67.00%
126,ASSET_TOT_BGN_BUILD,ASSET_DA_PPE_VAL,"Depreciable assets at the beginning of the year,  Buildings","Depreciation: property, plant, and equipment",66.90%
127,RCPT_NONOP_OTH_NONOP_TE_VAL,RCPT_TOT_VAL,Revenue from all other non-operating revenue,Worldwide net sales and operating revenues,66.80%
128,CAPEX_MACH_AUTO_PY,CAPEX_DOM_PPE_VAL,"Capital Expenditures, Automobiles Prior Year","Domestic capital expenditures: property, plant, and equipment",66.60%
129,ASSET_SOLD_VAL,ASSET_DA_PPE_VAL,"Domestic Depreciable Asset Data:_x000D_
Gross value of sold, retired, etc.","Depreciation: property, plant, and equipment",66.50%
130,CAPEX_SOFTWARE_VEND_VAL,CAPEX_DOM_RD_SFT_VAL,"Capital Expenditures:_x000D_
Computer Software, vendor-customized","Domestic capital expenditures for R&D, by type of asset: Capitalized software",66.50%
131,FUNDS_DEV_TRANSFER,EXPS_DOM_RD_INT_RES_BAS_VAL,"Source of Research and Development Funds,  Transfers or other payments from other establishments of your enterprise",Domestic R&D paid for and performed by your company - Total Basic research,66.30%
132,PRCH_TRANS_COST_TOT,CAPEX_WW_TOT_VAL,"Purchased Transportation,  Total",Expenditures: total,66.30%
133,PRCH_TRANS_TOT,CAPEX_WW_TOT_VAL,"Purchased Transportation,   Total",Expenditures: total,66.30%
134,RCPT_CONTRACT_FED,EXPS_PRI_RD_INT_VAL,"Contract Work done by customer in Puerto Rico,  Federal government",Research and development paid for and performed by your company in Puerto Rico,66.20%
135,CLOSING_DATE_MONTH,OPSTAT_CEASED_DATE,Annual closing date of this corporation: Month,Date your company ceased operations,66.20%
136,DEFNS_SHIPM_RCPT,EXPS_WORLD_RD_RMB_DEFGOV_VAL,"Sales, shipments, receipts, or revenue generated where the Department of Defense (DOD) was the ultimate customer.",Defense R&D services provided to the government and/or government contractors,65.70%
137,RCPT_C_ST_WY,EMP_WY_TOT_NUM,"Construction Work by State,  Wyoming",Total employees in Wyoming,65.70%
138,COST_CONMAT_TOT,CAPEX_WW_TOT_VAL,Total Operating Expenses paid,Expenditures: total,65.60%
139,PRCH_AUX_TOT,CAPEX_WW_TOT_VAL,"Auxiliary establishment, Total selected expenses",Expenditures: total,65.60%
140,RCPT_C_ST_VT,EMP_VT_TOT_NUM,"Construction Work by State,  Vermont",Total employees in Vermont,65.50%
141,ROBOT_CAPEX_PY,CAPEX_DOM_RD_EQP_VAL,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs  Prior Year","Domestic capital expenditures for R&D, by type of asset: Equipment",65.50%
142,RCPT_C_ST_NE,EMP_NE_TOT_NUM,"Construction Work by State,  Nebraska",Total employees in Nebraska,65.50%
143,RCPT_CONTRACT_GOVLOCAL,EXPS_PRI_RD_INT_VAL,"Contract Work done by customer in Puerto Rico, Local government",Research and development paid for and performed by your company in Puerto Rico,65.40%
144,RCPT_BILL_OTHOP_DVAL,RCPT_TOT_VAL,all other operating revenue,Worldwide net sales and operating revenues,65.40%
145,PRCH_ENT_REPAIR_TRANS,CAPEX_WW_PPE_VAL,"Enterprise payments for other establishments,  purchased repairs and maintenance to transportation equipment","Expenditures: property, plant, and equipment",65.40%
146,DEPR_VAL,ASSET_DA_PPE_VAL,"Domestic Depreciable Asset Data:_x000D_
Accumulated depreciation & amortization, ending","Depreciation: property, plant, and equipment",65.20%
147,RCPT_C_ST_WV,EMP_WV_TOT_NUM,"Construction Work by State,  West Virginia",Total employees in West Virginia,65.20%
148,CAPEX_MACH_OTH_PY,CAPEX_DOM_PPE_VAL,"Capital Expenditures, Others Prior Year","Domestic capital expenditures: property, plant, and equipment",65.20%
149,EXPS_GRANTS_VAL,GIFT_USUNI_STAT,"Contributions, Gifts, and Grants Paid",Monetary gifts to U.S. universities that included support for R&D,65.20%
150,EXPS_TOT_VAL,CAPEX_WW_TOT_VAL,Total Operating Expenses,Expenditures: total,65.10%
151,MERCH_TOT_PCT,RCPT_TOT_VAL,"Merchandise Sales,  Total",Worldwide net sales and operating revenues,65.10%
152,PREV_OWN_ACQ_DATE,PARENTCO_ACQ_DATE,New Establishment: Acquisition Date,Date of parent company purchased,65.00%
153,RENT_PAY_ENT_BUILD,CAPEX_WW_PPE_VAL,"Enterprise payments for other establishments,  Lease and rental payments for land, buildings, structures, store spaces, and offices","Expenditures: property, plant, and equipment",64.90%
154,RCPT_CONTRACT_PR,EXPS_PRI_RD_INT_VAL,"Contract Work done by customer location, Puerto Rico",Research and development paid for and performed by your company in Puerto Rico,64.80%
155,RENT_PAY_ENT_MACH,CAPEX_WW_PPE_VAL,"Enterprise payments for other establishments,  Lease and rental payments for machinery, equipment, and other tangible items","Expenditures: property, plant, and equipment",64.60%
156,RCPT_C_ST_SD,EMP_SD_TOT_NUM,"Construction Work by State,  South Dakota",Total employees in South Dakota,64.60%
157,OPEX_MIN_ROYALTY,,Mining Operating Expenses:  Current operating expenses for royalty payments for this domestic reporting unit,Sales and operating revenues from domestic operations: Business Code,64.50%
158,MERCH_CONTR_FOR_PCT,EXPS_DOM_RD_INT_PBF_VAL,"Merchandise Sales,  Products manufactured for this establishment by other companies on a contract basis OR manufactured by your company's foreign plants","R&D paid for and performed by your company, paid for by foreign operations or subsidiaries",64.30%
159,RCPT_C_ST_NH,EMP_NH_TOT_NUM,"Construction Work by State,  New Hampshire",Total employees in New Hampshire,64.30%
160,ASSET_CAPEX_VAL,ASSET_DA_PPE_VAL,capex for depreciated assets,"Depreciation: property, plant, and equipment",64.30%
161,CAPEX_SOFTWARE_PREPKG_VAL,CAPEX_WW_PPE_VAL,"Capital Expenditures:_x000D_
Computer Software, prepackaged","Worldwide capital expenditures: property, plant, and equipment",64.20%
162,RCPT_C_ST_NM,EMP_NM_TOT_NUM,"Construction Work by State,  New Mexico",Total employees in New Mexico,64.20%
163,LEASED_AUX_TEMP,EXPS_DOM_RD_CORE_TEMP_VAL,"Auxiliary establishment, Temporary staff and leased employee expense ",Type of R&D Costs: Leased employees and temporary staffing  (Domestic),64.10%
164,PRCH_OTHEXPS,EXPS_DOM_RD_CORE_SRV_VAL,"All other purchased services - (Include legal services, accounting services, other expenses normally considered as overhead or non-job related costs, etc. Exclude purchase of products for resale (cost of goods sold); bad debt; transfers made within the company; capitalized expenses; interest; impairment; income, sales, and excise taxes; and other nonoperating expenses.)",Type of R&D Costs:  Other purchased services (Domestic),64.00%
165,RCPT_CONTRACT_OTH,EXPS_PRI_RD_RMB_INT_VAL,"Contract Work done by customer in Puerto Rico,  Other customers",Research and development performed by your company and paid for by others in Puerto Rico,64.00%
166,RCPT_C_ST_SC,EMP_SC_TOT_NUM,"Construction Work by State,  South Carolina",Total employees in South Carolina,64.00%
167,CLOSING_DATE_DAY,OPSTAT_CEASED_DATE,Annual closing date of this corporation: Day,Date your company ceased operations,63.90%
168,RCPT_CONTRACT_R,EXPS_PRI_RD_INT_VAL,"Contract Work done by customer in Puerto Rico,  Retailers",Research and development paid for and performed by your company in Puerto Rico,63.90%
169,RCPT_C_ST_MS,EMP_MS_TOT_NUM,"Construction Work by State,  Mississippi",Total employees in Mississippi,63.90%
170,EMP_MAR12_LSD_ADMIN,EMP_DOM_RD_TEMP_SS_NUM,Q1 LEASED EMPLOYMENT FROM ADMIN AND SUPPORT SERVICES CLIENTS,Temporary and leased R&D employees by occupation: R&D Support Staff,63.90%
171,PRCH_ENT_REPAIR_BUILD,CAPEX_WW_PPE_VAL,"Enterprise payments for other establishments,  purchased repairs and maintenance to buildings, structures, and offices","Expenditures: property, plant, and equipment",63.80%
172,RCPT_C_ST_ND,EMP_ND_TOT_NUM,"Construction Work by State,  North Dakota",Total employees in North Dakota,63.70%
173,ROBOT_CAPEX,CAPEX_DOM_RD_EQP_VAL,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs","Domestic capital expenditures for R&D, by type of asset: Equipment",63.60%
