,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Actual MDR's Variable
38,CAPEX_USED_BUILD,B_EXPCOST_BLDG,"Capital Expenditures, Used buildings, structures, machinery and equipment_x000D_
(Include USED automobiles, trucks, etc., major repairs and improvements and software, computers, and peripherals.)",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,77.60%,CAPEX_RD_OPS_BLDG_VAL
39,EXPS_CON_PCT_NEW_OTH,B_EXPCOST_BLDG,"Expenditures incurred,  Type of Construction, Other",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,77.00%,CAPEX_RD_OPS_BLDG_VAL
40,CAPEX_MACH_TOT_DVAL,B_EXPCOST_EQUIP,Capital Expenditures: New & used machinery,R&D capital expenditures for equipment,76.80%,CAPEX_RD_OPS_EQUIP_VAL
41,CAPEX_COMPTR_VAL,B_EXPCOST_EQUIP,Capital Expenditures: Machinery - computers,R&D capital expenditures for equipment,76.80%,CAPEX_RD_OPS_EQUIP_VAL
42,CAPEX_USED_MACH,TCPEX,"Capital Expenditures, Used Machinery",Total capital expenditures,76.80%,CAPEX_TOT_VAL
43,CAPEX_MIN_TOT,TCPEX,"Capital Expenditures, Mineral Total",Total capital expenditures,76.70%,CAPEX_TOT_VAL
44,CAPEX_BUILD_USED_VAL,B_EXPCOST_BLDG,Capital Expenditures: Used buildings,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,76.50%,CAPEX_RD_OPS_BLDG_VAL
45,CAPEX_SOFTWARE_TOT_DVAL,TCPEX,"Capital Expenditures:_x000D_
Computer Software, total",Total capital expenditures,76.40%,CAPEX_TOT_VAL
46,CAPEX_MACH_COMP,TCPEX,"Capital Expenditures, Computers",Total capital expenditures,76.30%,CAPEX_TOT_VAL
47,CAPEX_MACH_USED_VAL,B_EXPCOST_EQUIP,Capital Expenditures: Used machinery,R&D capital expenditures for equipment,76.30%,CAPEX_RD_OPS_EQUIP_VAL
48,PREV_OWNER_RECORD_NAME,O1_NAME_TITLE,Name of former Owner or operator,Name of first owner,76.10%,OWNER1_NAME
49,ROBOT_VAL,B_EXPCOST_EQUIP,Capital Expenditures for Robotic Equipment,R&D capital expenditures for equipment,75.90%,CAPEX_RD_OPS_EQUIP_VAL
50,PREV_OWNER_YEAR,O1_ACQ_BUS_YR,Year acquired from Former Owner or operator,Year that the first owner initially acquired this business,75.70%,OWNER_ACQ_YEAR
51,CAPEX_TOT_PY,TCPEX,"Capital Expenditures, New and Used Buildings and Machinery Total  Prior Year",Total capital expenditures,75.60%,CAPEX_TOT_VAL
52,EXPS_CON_PCT_TOT1,B_EXPCOST_BLDG,"Expenditures incurred,  Total type of buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,75.40%,CAPEX_RD_OPS_BLDG_VAL
53,OPEX,B_WORLDEXP_TOTAL ,Operating Expenses,Total worldwide operating expenses,75.30%,EXPS_WORLD_TOT_VAL
54,CAPEX_AUTO_VAL,TCPEX,Capital Expenditures: Machinery - autos,Total capital expenditures,75.10%,CAPEX_TOT_VAL
55,DISCONTINUE_DATE,B_CEASED_DATE_ YEAR ,Corporation status - Discontinued date,Year the business ceased operation,75.10%,OPSTAT_CEASED_YEAR_DATE
56,EXPS_CON_PCT_NEW_SALE,B_EXPCOST_BLDG,"Expenditures incurred, Type of Construction, Sale",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,75.00%,CAPEX_RD_OPS_BLDG_VAL
57,EXPS_CON_PCT_TOT2,B_EXPCOST_BLDG,"Expenditures incurred,  Total type of construction",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,74.90%,CAPEX_RD_OPS_BLDG_VAL
58,ROBOT_WRTIN_TXT,B_EXPCOST_EQUIP,Remarks - Capital Expenditures for Robotic Equipment,R&D capital expenditures for equipment,74.80%,CAPEX_RD_OPS_EQUIP_VAL
59,YEAR_END_DATE,FYEND_MONTH,if fiscal or part yr  what is end date,Month that fiscal year ends ,74.80%,FY_END_DATE
60,SUBSID_STAT,B_ANYONE_10_PCT,Owns another company more than 50% - Yes/No,Yes/No if one person owns 10% or more of the company,74.80%,OWNED_10_PCT_STAT
61,CAPEX_MACH_OTH_PY,TCPEX,"Capital Expenditures, Others Prior Year",Total capital expenditures,74.70%,CAPEX_TOT_VAL
62,EXPS_CON_PCT_NEW_RENT,B_EXPCOST_BLDG,"Expenditures incurred, Type of Construction, Rent or lease",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,74.70%,CAPEX_RD_OPS_BLDG_VAL
63,EXPS_CON_PCT_NEW,B_EXPCOST_BLDG,"Expenditures incurred, New construction",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,74.60%,CAPEX_RD_OPS_BLDG_VAL
64,RD_EXPS_STAT,B_EXPCOST_OTH ,Research and Development Expenses,All other R&D capital expenditures,74.50%,CAPEX_RD_OPS_OTH_VAL
65,ROBOT_CAPEX_PY,CPEQP,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs  Prior Year",Total capital expenditures for research operations that went towards equipment,74.40%,CAPEX_RSRCH_EQUIP_VAL
66,FGINFO_PHONE,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Phone number,Contact Information: Phone,74.30%,CERT_PHONE_NUM
67,EXPS_CON_PCT_NEW_TOT,B_EXPCOST_BLDG,"Expenditures incurred,  Type of Construction,  Total",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,74.20%,CAPEX_RD_OPS_BLDG_VAL
68,CAPEX_SOFTWARE_INTDEV_VAL,CPSFT,"Capital Expenditures:_x000D_
Computer Software, internally-developed",Total capital expenditures for research operations that went towards capitalized software,74.00%,CAPEX_RSRCH_SOFTWARE_VAL
69,AFFIL_OWNER_STAT,B_ANYONE_10_PCT,Owned by another company more than 50% - Yes/No,Yes/No if one person owns 10% or more of the company,73.90%,OWNED_10_PCT_STAT
70,EXPS_CON_DOL,B_EXPCOST_BLDG,"Expenditures incurred,  construction activity",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,73.80%,CAPEX_RD_OPS_BLDG_VAL
71,OWNSTAT_RACE_OTH_WRTIN,O1_RACE,Race of majority ownership -The 'other' race from as indicated on the Race of Majority Ownership,Race of first owner,73.70%,OWNER_RACE_CODE
72,EXPS_OTHER_VAL,B_EXPCOST_OTH ,All Other Operating Expenses,All other R&D capital expenditures,73.60%,CAPEX_RD_OPS_OTH_VAL
73,EXPS_ADMIN_TOT,EXPNS,"Adminstrative Expenses,  Total",Amount of total expenses,73.50%,EXPS_TOT_VAL
74,CAPEX_MACH_AUTO,TCPEX,"Capital Expenditures, Automobiles",Total capital expenditures,73.40%,CAPEX_TOT_VAL
75,PREV_OWNER_ADDR_ST,O1_OTH_BUS_WIN,State of Former Owner or operator,Other status of the previous business Owner 1 started most recently,73.20%,PREV_BUS_OWN_TXT
76,CAPEX_MACH_COMP_PY,TCPEX,"Capital Expenditures, Computers Prior Year",Total capital expenditures,73.00%,CAPEX_TOT_VAL
77,EXPS_OP_COST_OTH_VAL,B_WORLDEXP_TOTAL ,All other operating costs and expenses,Total worldwide operating expenses,72.80%,EXPS_WORLD_TOT_VAL
78,CAPEX_SOFTWARE_VEND_VAL,CPSFT,"Capital Expenditures:_x000D_
Computer Software, vendor-customized",Total capital expenditures for research operations that went towards capitalized software,72.70%,CAPEX_RSRCH_SOFTWARE_VAL
79,CAPEX_NEWCON_DOL,CPSTR,"Capital Expenditures for new construction, including renovation",Total capital expenditures for research operations that went towards buildings and land improvement,72.60%,CAPEX_RSRCH_BUILD_VAL
80,CLASS_BUS_END,B_COOP,"Class of Customer,  Businesses for end use in their own operation, not for resale or production",Companies that are the clients or customers outside the business group,72.30%,COOP_PARTNER_LOC_CHKBOX
81,NAICS_CODE,RESP_BUS_DESC,Primary Business or Activity: NAICS Code,Primary business activity,72.30%,NAICS_DESC_TXT
82,PREV_OWN_RECORD_NAME1_TXT,O1_OTH_BUS,New Establishment: Former Ownership Name1,"Status of the previous business, other than this one, that the first owner started",72.20%,PREV_BUS_OWN_CODE
83,CAPEX_MIN_LAND,B_EXPCOST_LAND,"Capital Expenditures, Mineral Land",R&D capital expenditures for land acquisition,72.10%,CAPEX_RD_OPS_LAND_VAL
84,CAPEX_MACH_AUTO_PY,TCPEX,"Capital Expenditures, Automobiles Prior Year",Total capital expenditures,72.00%,CAPEX_TOT_VAL
85,CENSUS_REMARKS,RESP_REMARKS,Explanations in understanding the reported data,Remarks about reported data,72.00%,REMARKS_WRTIN_TXT
86,OWNSTAT_ORGN_YES_OTH_WRTIN,O1_HISP_OTH_WIN,"Yes, another Hispanic, Latino, or Spanish origin - Describe origin, for example, Argentinean, Colombian, Dominican, Nicaraguan, Salvadoran, Spaniard, etc.  Write-in description","Another Hispanic, Latino, or Spanish origin not listed",71.90%,OWNER_ETHNICITY_WRTIN_TXT
87,OPSTAT_DATES,B_CEASED_DATE_ YEAR ,"Ceased, Sold, and Added date",Year the business ceased operation,71.80%,OPSTAT_CEASED_YEAR_DATE
88,EXPS_OTHER_WRTIN_TXT,B_WORLDEXP_TOTAL ,All Other Operating Expenses -Specify,Total worldwide operating expenses,71.80%,EXPS_WORLD_TOT_VAL
89,EXPS_CON_PCT_NEW_OWN,B_EXPCOST_BLDG,"Expenditures incurred,  Type of Construction, Own use",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,71.70%,CAPEX_RD_OPS_BLDG_VAL
90,OWNSTAT_ORGN_YES_OTH_ARCHIVE,O1_HISP,"Is the majority ownership of this establishment of Hispanic, Latino, or Spanish origin?","Whether the first owner is Hispanic, Latino, or Spanish",71.60%,OWNER_ETHNICITY_CODE
91,CAPEX_BUILD_PY,CPSTR,"Capital Expenditures, New and Used Buildings  Prior Year",Total capital expenditures for research operations that went towards buildings and land improvement,71.40%,CAPEX_RSRCH_BUILD_VAL
92,EXPS_CON_PCT_NORES,B_EXPCOST_BLDG,"Expenditures incurred,  Nonresidential buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,71.10%,CAPEX_RD_OPS_BLDG_VAL
93,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,Primary contact phone extension,Contact Information: Extension,71.10%,CERT_EXTENSION_NUM
94,OPSTAT_ADDR_STATE,O1_OTH_BUS_WIN,"Operational Status,  New owner/operator,  State",Other status of the previous business Owner 1 started most recently,71.00%,PREV_BUS_OWN_TXT
95,CLASS_RESALE,B_REV ,"Class of Customer,  Were 75% or more of this establishment's sales to retailers/wholesalers/distributors for resale?",Types of customers that accounted for 10% or more of total sales,70.60%,CUST_TYPE_10_PCT_SALES_CHKBOX
96,PREV_OWN_STORENUM_TXT,O1_OTH_BUS,New Establishment: Former Ownership Store,"Status of the previous business, other than this one, that the first owner started",70.60%,PREV_BUS_OWN_CODE
97,CAPEX_MIN_DEV,B_EXPCOST_BLDG,"Capital Expenditures, Mineral Development",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,70.60%,CAPEX_RD_OPS_BLDG_VAL
98,AFFIL_CONTROL,B_ACTIVITYUC_ADMIN ,Does another domestic company have the power to control the management and policies of your company?,Yes/No if domestic unaffiliated companies conducted administrative or management functions for this business,70.50%,UNAFFIL_US_ADMIN_STAT
99,ROBOT_CAPEX,B_EXPCOST_EQUIP,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs",R&D capital expenditures for equipment,70.40%,CAPEX_RD_OPS_EQUIP_VAL
100,FGINFO_TITLE,"
RESP_TITLE   ",Title of FG contact person,Contact Information: Title,70.20%,CERT_TITLE_TXT
101,PREV_OWN_RECORD_NAME2_TXT,O1_OTH_BUS,New Establishment: Former Ownership Name2,"Status of the previous business, other than this one, that the first owner started",70.10%,PREV_BUS_OWN_CODE
102,CAPEX_SOFTWARE_PREPKG_VAL,CPSFT,"Capital Expenditures:_x000D_
Computer Software, prepackaged",Total capital expenditures for research operations that went towards capitalized software,70.00%,CAPEX_RSRCH_SOFTWARE_VAL
103,EXPS_CON_PCT_NEW_OTH_WRTIN,B_EXPCOST_BLDG,"Expenditures incurred,  Type of Construction, Other write-in description",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,69.90%,CAPEX_RD_OPS_BLDG_VAL
104,OWN_CONT,O1_NAME_TITLE,Owner contact name.,Name of first owner,69.80%,OWNER1_NAME
105,FUNDS_DEV_FEDGOV,B_RDFED_DEV,"Source of Research and Development Funds,  Federal government contracts and subcontracts",Federally funded R&D costs for development,69.80%,FED_RD_DEV_VAL
106,EXPS_CON_PCT_ADD,B_EXPCOST_BLDG,"Expenditures incurred, Additions, alterations, or reconstruction",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,69.50%,CAPEX_RD_OPS_BLDG_VAL
107,EXPS_CON_PCT_RES,B_EXPCOST_BLDG,"Expenditures incurred,  Residential buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,69.30%,CAPEX_RD_OPS_BLDG_VAL
108,OPSTAT_NAME,O1_OTH_BUS_WIN,"Operational Status,  New owner/operator,  Name",Other status of the previous business Owner 1 started most recently,69.10%,PREV_BUS_OWN_TXT
109,OPSTAT_ADDR_STREET,O1_OTH_BUS,"Operational Status,  New owner/operator,  Street Address","Status of the previous business, other than this one, that the first owner started",69.10%,PREV_BUS_OWN_CODE
110,CLASS_BUS,B_COOP,"Class of Customer,  Businesses",Companies that are the clients or customers outside the business group,68.70%,COOP_PARTNER_LOC_CHKBOX
111,MERCH_EST_NEW_3_PCT,B_SALES_PCT_US_TOT,Approximate percentage of the total sales and receipts in $$00 - write-in #3,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",68.40%,SALES_US_TOT_DPCT
112,RCPT_CLIENT_S_STGOV,B_COOP,"Class of Customer,  State and local governments, including public authorities","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",68.00%,COOP_PARTNER_LOC_CHKBOX
113,RCPT_CUST_BUS_GOV_PCT,B_REV ,"Class of Customer: Total Revenue,Business and Government",Types of customers that accounted for 10% or more of total sales,68.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
114,OPEX_MIN_ROYALTY,B_OPEXPENSE ,Mining Operating Expenses:  Current operating expenses for royalty payments for this domestic reporting unit,Total domestic operating expenses,68.00%,EXPS_TOT_VAL
115,SURVEY_LFO_COOP_ARCHIVE,AFFILWI ,"Legal Form of Organization,  What is the Legal Form of Organization for this establishment?",Details on affiliated organization ,67.90%,AFFIL_ORG_TXT
116,RCPT_FOOD_CNTRC_MANUF,B_CONTRACTOUT_TYPE,"Contract Feeding,  Manufacturing and other industrial plants",Type of companies that manufacturing was contracted out to ,67.90%,MAN_CONTRACTOUT_CHKBOX
117,OPSTAT_CEASED_DATE,B_CEASED_MONTH,Operational Status: Ceased operation date,Month the business ceased operation,67.70%,OPSTAT_CEASED_MONTH_DATE
118,MERCH_EST_NEW_2_PCT,B_SALES_PCT_US_TOT,Approximate percentage of the total sales and receipts in current year - write-in #2,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",67.60%,SALES_US_TOT_DPCT
119,OWN_ADD,O1_NAME_TITLE,Owner address,Name of first owner,67.50%,OWNER1_NAME
120,EXPS_CON_PCT_OTH,B_EXPCOST_OTH ,"Expenditures incurred,  Other",All other R&D capital expenditures,67.50%,CAPEX_RD_OPS_OTH_VAL
121,OPEX_MIN,B_WORLDEXP_TOTAL ,Mining Operating Expenses:  Total,Total worldwide operating expenses,67.40%,EXPS_WORLD_TOT_VAL
122,RCPT_CLIENT_S_GOV,B_COOP,"Class of Customer, Federal, state, and local governments, including public authorities","Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",67.40%,COOP_PARTNER_LOC_CHKBOX
123,RD_CHECK_YES_ARCHIVE,B_RD_CREATE,Did your company perform or fund research and development?,Yes/No if business engaged in research and development,67.30%,RD_CREATE_STAT
124,EXPS_CON_PCT_MAIN,B_EXPCOST_BLDG,"Expenditures incurred, Maintenance and repair",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,67.30%,CAPEX_RD_OPS_BLDG_VAL
125,HOTEL_OWNNOTMNG_NUM,B_OWNERNUM,Number of Hotel Establishments: Managed by others,Number of owners of the business,67.00%,OWNER_NUM_STAT
126,AFFIL_OWNER_GT50_YES,B_PARENTCO_FOREIGN,Does another domestic company own more than 50% of the voting stock of your company?,Yes/No if business is a majority-owned subsidiary of a foreign company,66.90%,OWNED_FOREIGN_STAT
127,COST_VALUE_LAND,CPLND,Purchased cost of land or estimated value of raw land for reported construction projects,Total capital expenditures for research operations that went towards land acquisition,66.70%,CAPEX_RSRCH_LAND_VAL
128,EXPS_CON_PCT_SUB,B_EXPCOST_BLDG,"Expenditures incurred,  Subdividing and/or developing lots",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,66.30%,CAPEX_RD_OPS_BLDG_VAL
129,AGENTEXTN,RESP_PHONE_EXT ,Agent phone extension,Contact Information: Extension,66.10%,CERT_EXTENSION_NUM
130,AFFIL_FORSTOCK_GE10_STAT,B_ACTIVITYUFC_SALE ,Foreign Affiliates Status,Yes/No if foreign affiliated companies conducted marketing or sales services for this business,66.10%,AFFIL_NONUS_SALES_STAT
131,INCOM_U_OTHER_TOT_PCT,B_CRDAMT,"Other credit financing, Total",Total amount of credit that was requested and received ,66.10%,CREDIT_AMT_RECEIVED_STAT
132,CAPEX_NEW_HWY_MACH,B_EXPCOST_BLDG,"Capital Expenditures, New automobiles, trucks, etc. (Intended primarily for highway use.)",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,66.10%,CAPEX_RD_OPS_BLDG_VAL
133,ASSET_RETIRED,B_EXPCOST_BLDG,"Depreciable assets sold, retired, scrapped, destroyed, etc.   Total Buildings and Machinery",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,66.00%,CAPEX_RD_OPS_BLDG_VAL
134,AFFIL_FOR_GE10,B_PARENTCO_FOREIGN,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other eqty rights of your company?",Yes/No if business is a majority-owned subsidiary of a foreign company,65.90%,OWNED_FOREIGN_STAT
135,HOTEL_OWN3RD_NUM,B_OWNERNUM,Hotel Management Owned by Others: Number,Number of owners of the business,65.90%,OWNER_NUM_STAT
136,RCPT_BUS_PCT,RESP_BUS_DESC,Source of Revenue: Business,Primary business activity,65.90%,NAICS_DESC_TXT
137,RCPT_CLIENT_S_RET,B_REV ,"Class of Customer, Retailers",Types of customers that accounted for 10% or more of total sales,65.70%,CUST_TYPE_10_PCT_SALES_CHKBOX
138,RCPT_CLIENT_S_OTHBUS,B_COOP,"Class of Customer,  All other business firms and farms",Companies that are the clients or customers outside the business group,65.70%,COOP_PARTNER_LOC_CHKBOX
139,RCPT_ECOMM_TOT_PCT,B_SALES_PCT_GOODS,"Percent of total sales, shipments, receipts, or revenue that were a result of e-commerce transactions","Percent of domestic sales, revenues, and grants coming from selling goods to customers",65.70%,SALES_GOODS_PCT
140,OPSTAT_EIN,O1_OTH_BUS_WIN,"Operational Status,  New owner/operator,  Employer Identification Number",Other status of the previous business Owner 1 started most recently,65.40%,PREV_BUS_OWN_TXT
141,AFFIL_OWNER_STOCK_STAT,O1_PCT_OWNED ,Ownership or Control: Percent of Voting Stock Held,Percent owned by first owner,65.20%,OWNER1_PCT
142,PRCH_AUX_TOT,EXPNS,"Auxiliary establishment, Total selected expenses",Amount of total expenses,65.10%,EXPS_TOT_VAL
143,ASSET_CAPEX_VAL,WZDEPR,capex for depreciated assets,Amount of internal research funds allocated to depreciation and amortization of assets,65.10%,EXPS_RSRCH_DEPR_VAL
144,ASSET_CAPEX_VAL,B_RDEXP_DOM_DEPR,"Domestic Depreciable Asset Data:_x000D_
Total capex",Amount of domestic R&D costs going to depreciation on property and equipment,65.10%,EXPS_RD_DOM_DEPR_VAL
145,RCPT_TRANSFER,B_RDFUND_US_THISBUS,Value of products shipped to other domestic plants of your company for further processing,Domestic R&D costs paid by this business,64.80%,FUNDS_RD_US_OWN_VAL
146,PREV_OWN_ADDR_ST_TXT,O1_OTH_BUS,New Establishment: Former Ownership ST,"Status of the previous business, other than this one, that the first owner started",64.80%,PREV_BUS_OWN_CODE
147,RCPT_EXPT_ENERGY,B_SALES_PCT_GOODS,Percentage of revenue from exports to customers in Canada and Mexico,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",64.70%,SALES_GOODS_PCT
148,CLOSING_DATE_MONTH,B_CEASED_MONTH,Annual closing date of this corporation: Month,Month the business ceased operation,64.70%,OPSTAT_CEASED_MONTH_DATE
149,OPSTAT_DATE,B_CEASED_DATE_ YEAR ,"Operational Status,  Ceased/Sold Operation Date",Year the business ceased operation,64.70%,OPSTAT_CEASED_YEAR_DATE
