VariableNameA,VariableNameB (result/cosineSimilarity.csv),Similarity Score (result/cosineSimilarity.csv),Actual Result (result/cosineSimilarity.csv),VariableNameB (result/cosineJaccardSimilarity.csv),Similarity Score (result/cosineJaccardSimilarity.csv),Actual Result (result/cosineJaccardSimilarity.csv),VariableNameB (result/cosineSimilarityMultiple.csv),Similarity Score (result/cosineSimilarityMultiple.csv),Actual Result (result/cosineSimilarityMultiple.csv),Match (result/cosineSimilarity.csv),Match (result/cosineJaccardSimilarity.csv),Match (result/cosineSimilarityMultiple.csv)
CAPEX_OTH_NEW_WRTIN_TXT,TCPEX,87.80%,CAPEX_TOT_VAL,TCPEX,83.63%,CAPEX_TOT_VAL,TCPEX,87.80%,CAPEX_TOT_VAL,0,0,0
CAPEX_OTH_TOT_DVAL,TCPEX,87.20%,CAPEX_TOT_VAL,TCPEX,83.16%,CAPEX_TOT_VAL,TCPEX,87.20%,CAPEX_TOT_VAL,0,0,0
EXPS_TOT_VAL,B_OPEXPENSE ,87.10%,EXPS_TOT_VAL,B_OPEXPENSE ,85.26%,EXPS_TOT_VAL,B_OPEXPENSE ,87.10%,EXPS_TOT_VAL,1,1,1
COST_CONMAT_TOT,B_OPEXPENSE ,83.00%,EXPS_TOT_VAL,B_OPEXPENSE ,79.53%,EXPS_TOT_VAL,B_OPEXPENSE ,83.00%,EXPS_TOT_VAL,0,0,0
CAPEX_MACH_OTH_PY,TCPEX,82.50%,CAPEX_TOT_VAL,TCPEX,76.09%,CAPEX_TOT_VAL,TCPEX,82.50%,CAPEX_TOT_VAL,0,0,0
SUBSID_STAT,B_PARENTCO_DOMESTIC,81.10%,OWNED_DOMESTIC_STAT,B_PARENTCO_DOMESTIC,76.41%,OWNED_DOMESTIC_STAT,B_PARENTCO_DOMESTIC,81.10%,OWNED_DOMESTIC_STAT,0,0,0
CERT_WEBSITE_TXT,RESP_CONTACT_NAME ,80.00%,CERT_NAME_TXT,RESP_CONTACT_NAME ,77.98%,CERT_NAME_TXT,RESP_CONTACT_NAME ,80.00%,CERT_NAME_TXT,0,0,0
AFFIL_OWNER_STAT,B_ANYONE_10_PCT,79.40%,OWNED_10_PCT_STAT,B_ANYONE_10_PCT,71.79%,OWNED_10_PCT_STAT,B_ANYONE_10_PCT,79.40%,OWNED_10_PCT_STAT,0,0,0
OPEX,B_OPEXPENSE ,79.30%,EXPS_TOT_VAL,B_OPEXPENSE ,74.93%,EXPS_TOT_VAL,B_OPEXPENSE ,79.30%,EXPS_TOT_VAL,0,0,0
EXPS_OTHER_VAL,B_OPEXPENSE ,78.40%,EXPS_TOT_VAL,B_OPEXPENSE ,74.13%,EXPS_TOT_VAL,B_OPEXPENSE ,78.40%,EXPS_TOT_VAL,0,0,0
CAPEX_TOT_DVAL,TCPEX,78.10%,CAPEX_TOT_VAL,TCPEX,77.66%,CAPEX_TOT_VAL,TCPEX,78.10%,CAPEX_TOT_VAL,0,0,0
CAPEX_SOFTWARE_INTDEV_VAL,B_EXPCOST_TECH,78.00%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,72.69%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,78.00%,CAPEX_RD_OPS_TECH_VAL,0,0,0
CENSUS_REMARKS,RESP_REMARKS,77.50%,REMARKS_WRTIN_TXT,RESP_REMARKS,71.86%,REMARKS_WRTIN_TXT,RESP_REMARKS,77.50%,REMARKS_WRTIN_TXT,0,0,0
CAPEX_SOFTWARE_TOT_VAL,TCPEX,77.40%,CAPEX_TOT_VAL,TCPEX,73.25%,CAPEX_TOT_VAL,TCPEX,77.40%,CAPEX_TOT_VAL,0,0,0
EXPS_OTHER_WRTIN_TXT,B_OPEXPENSE ,77.30%,EXPS_TOT_VAL,B_OPEXPENSE ,71.74%,EXPS_TOT_VAL,B_OPEXPENSE ,77.30%,EXPS_TOT_VAL,0,0,0
NAICS_WRTIN_TXT,RESP_BUS_DESC,77.20%,NAICS_DESC_TXT,RESP_BUS_DESC,74.66%,NAICS_DESC_TXT,RESP_BUS_DESC,77.20%,NAICS_DESC_TXT,0,0,0
CAPEX_USED_TOT,TCPEX,77.20%,CAPEX_TOT_VAL,TCPEX,73.10%,CAPEX_TOT_VAL,TCPEX,77.20%,CAPEX_TOT_VAL,0,0,0
CAPEX_OTHMACH_VAL,TCPEX,77.10%,CAPEX_TOT_VAL,TCPEX,73.02%,CAPEX_TOT_VAL,TCPEX,77.10%,CAPEX_TOT_VAL,0,0,0
CAPEX_MIN_TOT,TCPEX,76.70%,CAPEX_TOT_VAL,TCPEX,76.47%,CAPEX_TOT_VAL,TCPEX,76.70%,CAPEX_TOT_VAL,0,0,0
CAPEX_MACH_VAL,B_CAPEXP_TOTAL,76.60%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,71.09%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,76.60%,CAPEX_TOT_VAL,0,0,0
CAPEX_MACH_NEW_VAL,B_CAPEXP_TOTAL,76.60%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,72.58%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,76.60%,CAPEX_TOT_VAL,0,0,0
YEAR_END_DATE,FYEND_MONTH,76.00%,FY_END_DATE,FYEND_MONTH,67.13%,FY_END_DATE,FYEND_MONTH,76.00%,FY_END_DATE,0,0,0
CAPEX_MACH_USED_VAL,B_CAPEXP_TOTAL,75.80%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,71.91%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,75.80%,CAPEX_TOT_VAL,0,0,0
CAPEX_MACH_COMP,TCPEX,75.70%,CAPEX_TOT_VAL,TCPEX,71.88%,CAPEX_TOT_VAL,TCPEX,75.70%,CAPEX_TOT_VAL,0,0,0
FUNDS_DEV_TOT,NPRDSOURCEWI,75.70%,EXPS_RSRCH_OTH_TXT,NPRDSOURCEWI,68.67%,EXPS_RSRCH_OTH_TXT,NPRDSOURCEWI,75.70%,EXPS_RSRCH_OTH_TXT,0,0,0
CAPEX_TOT,TCPEX,75.60%,CAPEX_TOT_VAL,TCPEX,70.65%,CAPEX_TOT_VAL,TCPEX,75.60%,CAPEX_TOT_VAL,0,0,0
OWNSTAT_ORGN_NO_ARCHIVE,,,,,,,,,,0,0,0
CAPEX_BUILD_USED_VAL,B_CAPEXP_TOTAL,75.20%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,71.43%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,75.20%,CAPEX_TOT_VAL,0,0,0
EXPS_ADMIN_TOT,EXPNS,74.70%,EXPS_TOT_VAL,EXPNS,73.47%,EXPS_TOT_VAL,EXPNS,74.70%,EXPS_TOT_VAL,0,0,0
CAPEX_SOFTWARE_VEND_VAL,B_EXPCOST_TECH,74.70%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,69.89%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,74.70%,CAPEX_RD_OPS_TECH_VAL,0,0,0
CAPEX_SOFTWARE_PREPKG_VAL,B_EXPCOST_TECH,74.60%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,70.91%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,74.60%,CAPEX_RD_OPS_TECH_VAL,0,0,0
CAPEX_MACH_TOT_DVAL,B_CAPEXP_TOTAL,74.50%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,69.35%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,74.50%,CAPEX_TOT_VAL,0,0,0
CAPEX_USED_MACH,B_CAPEXP_TOTAL,74.00%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,70.39%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,74.00%,CAPEX_TOT_VAL,0,0,0
CAPEX_NEWCON_DOL,CPSTR,73.70%,CAPEX_RSRCH_BUILD_VAL,CPSTR,65.38%,CAPEX_RSRCH_BUILD_VAL,CPSTR,73.70%,CAPEX_RSRCH_BUILD_VAL,0,0,0
CAPEX_NEW_TOT,TCPEX,73.50%,CAPEX_TOT_VAL,TCPEX,69.97%,CAPEX_TOT_VAL,TCPEX,73.50%,CAPEX_TOT_VAL,0,0,0
CLASS_HOIND_YES_ARCHIVE,,,,,,,,,,0,0,0
FGINFO_PHONE,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",73.30%,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",66.09%,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",73.30%,CERT_PHONE_NUM,0,0,0
CAPEX_MACH_AUTO,TCPEX,73.20%,CAPEX_TOT_VAL,TCPEX,69.68%,CAPEX_TOT_VAL,TCPEX,73.20%,CAPEX_TOT_VAL,0,0,0
EXPS_OP_COST_OTH_VAL,B_WORLDEXP_TOTAL ,73.00%,EXPS_WORLD_TOT_VAL,B_WORLDEXP_TOTAL ,68.01%,EXPS_WORLD_TOT_VAL,B_WORLDEXP_TOTAL ,73.00%,EXPS_WORLD_TOT_VAL,0,0,0
CAPEX_BUILD_VAL,B_CAPEXP_TOTAL,73.00%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,68.05%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,73.00%,CAPEX_TOT_VAL,0,0,0
CAPEX_BUILD_TOT_DVAL,B_CAPEXP_TOTAL,72.80%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,67.88%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,72.80%,CAPEX_TOT_VAL,0,0,0
OWN_NAME,O1_NAME_TITLE,72.70%,OWNER1_NAME,O1_NAME_TITLE,76.77%,OWNER1_NAME,O1_NAME_TITLE,72.70%,OWNER1_NAME,0,0,0
INCOM_U_INSTAL_TOT_PCT,B_CRDAMT,72.60%,CREDIT_AMT_RECEIVED_STAT,B_CRDAMT,69.21%,CREDIT_AMT_RECEIVED_STAT,B_CRDAMT,72.60%,CREDIT_AMT_RECEIVED_STAT,0,0,0
ROBOT_VAL,B_EXPCOST_EQUIP,72.60%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,72.98%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,72.60%,CAPEX_RD_OPS_EQUIP_VAL,0,0,0
CAPEX_MACH,B_CAPEXP_TOTAL,72.50%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,67.60%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,72.50%,CAPEX_TOT_VAL,0,0,0
OPEX_MIN,B_WORLDEXP_TOTAL ,72.50%,EXPS_WORLD_TOT_VAL,B_WORLDEXP_TOTAL ,70.67%,EXPS_WORLD_TOT_VAL,B_WORLDEXP_TOTAL ,72.50%,EXPS_WORLD_TOT_VAL,0,0,0
CAPEX_BUILD_NEW_VAL,B_CAPEXP_TOTAL,72.50%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,69.15%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,72.50%,CAPEX_TOT_VAL,0,0,0
CAPEX_BUILD,B_CAPEXP_TOTAL,72.50%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,67.60%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,72.50%,CAPEX_TOT_VAL,0,0,0
COST_OTHER_OPEX,B_OPEXPENSE ,72.40%,EXPS_TOT_VAL,B_OPEXPENSE ,63.31%,EXPS_TOT_VAL,B_OPEXPENSE ,72.40%,EXPS_TOT_VAL,0,0,0
PREV_OWNER_RECORD_NAME,O2_NAME_TITLE,72.30%,OWNER2_NAME,O2_NAME_TITLE,66.45%,OWNER2_NAME,O2_NAME_TITLE,72.30%,OWNER2_NAME,0,0,0
CAPEX_NEW_BUILD,B_CAPEXP_TOTAL,72.20%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,68.83%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,72.20%,CAPEX_TOT_VAL,0,0,0
CAPEX_MACH_COMP_PY,TCPEX,72.00%,CAPEX_TOT_VAL,TCPEX,66.18%,CAPEX_TOT_VAL,TCPEX,72.00%,CAPEX_TOT_VAL,0,0,0
EXPS_CON_PCT_OTH,TCPEX,71.70%,CAPEX_TOT_VAL,TCPEX,64.67%,CAPEX_TOT_VAL,TCPEX,71.70%,CAPEX_TOT_VAL,0,0,0
CAPEX_TOT_DVAL_SUM,TCPEX,71.50%,CAPEX_TOT_VAL,TCPEX,64.56%,CAPEX_TOT_VAL,TCPEX,71.50%,CAPEX_TOT_VAL,0,0,0
CAPEX_NEW_MACH,TCPEX,71.50%,CAPEX_TOT_VAL,TCPEX,66.78%,CAPEX_TOT_VAL,TCPEX,71.50%,CAPEX_TOT_VAL,0,0,0
CAPEX_COMPTR_VAL,TCPEX,71.40%,CAPEX_TOT_VAL,TCPEX,66.67%,CAPEX_TOT_VAL,TCPEX,71.40%,CAPEX_TOT_VAL,0,0,0
CAPEX_TOT_PY,TCPEX,71.00%,CAPEX_TOT_VAL,TCPEX,65.34%,CAPEX_TOT_VAL,TCPEX,71.00%,CAPEX_TOT_VAL,0,0,0
CAPEX_NEW_TOT_SUM,,,,,,,,,,0,0,0
ROBOT_WRTIN_TXT,B_EXPCOST_EQUIP,70.50%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,68.96%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,70.50%,CAPEX_RD_OPS_EQUIP_VAL,0,0,0
OWNSTAT_RACE_OTH_WRTIN,O1_RACE_OTH_PAC_WIN,70.30%,OWNER_RACE_CODE,O1_RACE_OTH_PAC_WIN,62.75%,OWNER_RACE_CODE,O1_RACE_WHITE_WIN,70.30%,OWNER_RACE_CODE,0,0,0
FUNDS_DEV_NONFED,NPRDSOURCEWI,70.10%,EXPS_RSRCH_OTH_TXT,NPRDSOURCEWI,62.23%,EXPS_RSRCH_OTH_TXT,NPRDSOURCEWI,70.10%,EXPS_RSRCH_OTH_TXT,0,0,0
CAPEX_AUTO_VAL,TCPEX,69.50%,CAPEX_TOT_VAL,TCPEX,65.12%,CAPEX_TOT_VAL,TCPEX,69.50%,CAPEX_TOT_VAL,0,0,0
PREV_OWN_RECORD_NAME2_TXT,O2_NAME_TITLE,69.50%,OWNER2_NAME,O2_NAME_TITLE,59.09%,OWNER2_NAME,O2_NAME_TITLE,69.50%,OWNER2_NAME,0,0,0
RD_EXPS_STAT,CAPEX,69.40%,CAPEX_RSRCH_VAL,CAPEX,61.12%,CAPEX_RSRCH_VAL,CAPEX,69.40%,CAPEX_RSRCH_VAL,0,0,0
BUS_TECH_ADD_MFG_N_ARCHIVE,B_RD_CREATE,69.20%,RD_CREATE_STAT,B_RD_CREATE,62.59%,RD_CREATE_STAT,B_RD_CREATE,69.20%,RD_CREATE_STAT,0,0,0
NAICS_NUM,RESP_BUS_DESC,69.20%,NAICS_DESC_TXT,RESP_BUS_DESC,67.84%,NAICS_DESC_TXT,RESP_BUS_DESC,69.20%,NAICS_DESC_TXT,0,0,0
RD_VAL,,,,,,,,,,0,0,0
MERCH_CONTR_FOR_PCT,B_CONTRACTIN_TYPE ,69.10%,MAN_CONTRACTIN_CHKBOX,B_CONTRACTIN_TYPE ,59.73%,MAN_CONTRACTIN_CHKBOX,B_CONTRACTIN_TYPE ,69.10%,MAN_CONTRACTIN_CHKBOX,0,0,0
OPEX_MIN_ROYALTY,B_OPEXPENSE ,68.90%,EXPS_TOT_VAL,B_OPEXPENSE ,63.09%,EXPS_TOT_VAL,B_OPEXPENSE ,68.90%,EXPS_TOT_VAL,0,0,0
EXPS_CON_PCT_TOT1,TCPEX,68.80%,CAPEX_TOT_VAL,TCPEX,63.44%,CAPEX_TOT_VAL,TCPEX,68.80%,CAPEX_TOT_VAL,0,0,0
OWN_ADD,O1_NAME_TITLE,68.40%,OWNER1_NAME,O1_NAME_TITLE,65.63%,OWNER1_NAME,O1_NAME_TITLE,68.40%,OWNER1_NAME,0,0,0
FGINFO_EXTN,RESP_PHONE_EXT ,68.20%,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,60.98%,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,68.20%,CERT_EXTENSION_NUM,0,0,0
CAPEX_BUILD_PY,CPSTR,68.10%,CAPEX_RSRCH_BUILD_VAL,CPSTR,61.99%,CAPEX_RSRCH_BUILD_VAL,CPSTR,68.10%,CAPEX_RSRCH_BUILD_VAL,0,0,0
BUS_TECH_IND_ROB_N,,,,,,,,,,0,0,0
CAPEX_MACH_AUTO_PY,TCPEX,68.00%,CAPEX_TOT_VAL,TCPEX,62.76%,CAPEX_TOT_VAL,TCPEX,68.00%,CAPEX_TOT_VAL,0,0,0
OWNSTAT_ORGN_YES_OTH_WRTIN,O1_HISP_OTH_WIN,68.00%,OWNER_ETHNICITY_WRTIN_TXT,O1_HISP_OTH_WIN,61.77%,OWNER_ETHNICITY_WRTIN_TXT,O1_HISP_OTH_WIN,68.00%,OWNER_ETHNICITY_WRTIN_TXT,0,0,0
OPSTAT_DATE,B_CEASED_DATE_ YEAR ,67.90%,OPSTAT_CEASED_YEAR_DATE,B_CEASED_DATE_ YEAR ,61.49%,OPSTAT_CEASED_YEAR_DATE,B_CEASED_DATE_ YEAR ,67.90%,OPSTAT_CEASED_YEAR_DATE,0,0,0
CERT_COMPLETED_DATE,"
RESP_TITLE   ",67.80%,CERT_TITLE_TXT,"
RESP_TITLE   ",63.60%,CERT_TITLE_TXT,"
RESP_TITLE   ",67.80%,CERT_TITLE_TXT,0,0,0
INCOM_U_OTHER_TOT_PCT,B_CRDAMT,67.80%,CREDIT_AMT_RECEIVED_STAT,B_CRDAMT,65.13%,CREDIT_AMT_RECEIVED_STAT,B_CRDAMT,67.80%,CREDIT_AMT_RECEIVED_STAT,0,0,0
AFFIL_OWNER_GT50,,,,,,,,,,0,0,0
RCPT_ECOMM_TOT_PCT,B_SALES_PCT_GOODS,67.60%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,59.48%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,67.60%,SALES_GOODS_PCT,0,0,0
DISCONTINUE_DATE,B_CEASED_DATE_ YEAR ,67.40%,OPSTAT_CEASED_YEAR_DATE,B_CEASED_DATE_ YEAR ,57.29%,OPSTAT_CEASED_YEAR_DATE,B_CEASED_DATE_ YEAR ,67.40%,OPSTAT_CEASED_YEAR_DATE,0,0,0
FUNDS_DEV_FEDGOV,COPYFEDRD,67.30%,EXPS_RSRCH_FED_TOT_VAL,COPYFEDRD,63.85%,EXPS_RSRCH_FED_TOT_VAL,COPYFEDRD,67.30%,EXPS_RSRCH_FED_TOT_VAL,0,0,0
MAJOR_ACT_CODE_WRTIN_TXT,RESP_BUS_DESC,67.20%,NAICS_DESC_TXT,RESP_BUS_DESC,61.38%,NAICS_DESC_TXT,RESP_BUS_DESC,67.20%,NAICS_DESC_TXT,0,0,0
PREV_OWN_RECORD_NAME1_TXT,O1_NAME_TITLE,67.00%,OWNER1_NAME,O1_NAME_TITLE,56.93%,OWNER1_NAME,O1_NAME_TITLE,67.00%,OWNER1_NAME,0,0,0
ROBOT_CAPEX_PY,B_EXPCOST_EQUIP,66.90%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,60.08%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,66.90%,CAPEX_RD_OPS_EQUIP_VAL,0,0,0
CAPEX_USED_BUILD,B_EXPCOST_BLDG,66.90%,CAPEX_RD_OPS_BLDG_VAL,B_EXPCOST_BLDG,59.53%,CAPEX_RD_OPS_BLDG_VAL,B_EXPCOST_BLDG,66.90%,CAPEX_RD_OPS_BLDG_VAL,0,0,0
RCPT_TOT,B_SALES_TOT_US,66.90%,SALES_US_TOT_VAL,B_SALES_TOT_US,60.60%,SALES_US_TOT_VAL,B_SALES_TOT_US,66.90%,SALES_US_TOT_VAL,0,0,0
EXPS_CON_PCT_OTH_WRTIN,TCPEX,66.80%,CAPEX_TOT_VAL,TCPEX,59.30%,CAPEX_TOT_VAL,TCPEX,66.80%,CAPEX_TOT_VAL,0,0,0
EXPS_INTEREST_VAL,B_OPEXPENSE ,66.70%,EXPS_TOT_VAL,B_OPEXPENSE ,59.66%,EXPS_TOT_VAL,B_OPEXPENSE ,66.70%,EXPS_TOT_VAL,0,0,0
ROBOT_CAPEX,B_EXPCOST_EQUIP,66.40%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,60.22%,CAPEX_RD_OPS_EQUIP_VAL,B_EXPCOST_EQUIP,66.40%,CAPEX_RD_OPS_EQUIP_VAL,0,0,0
AFFIL_FOR_GE10,,,,,,,,,,0,0,0
EXPS_CON_PCT_RES,B_EXPCOST_BLDG,66.40%,CAPEX_RD_OPS_BLDG_VAL,B_EXPCOST_BLDG,61.45%,CAPEX_RD_OPS_BLDG_VAL,B_EXPCOST_BLDG,66.40%,CAPEX_RD_OPS_BLDG_VAL,0,0,0
RCPT_ECOMM_TOT_PCT_PY,B_SALES_PCT_GOODS,66.30%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,58.16%,SALES_GOODS_PCT,B_SALES_PCT_GOODS,66.30%,SALES_GOODS_PCT,0,0,0
DEPR_TOT,B_RDEXP_DOM_DEPR,66.10%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,57.85%,EXPS_RD_DOM_DEPR_VAL,B_RDEXP_DOM_DEPR,66.10%,EXPS_RD_DOM_DEPR_VAL,0,0,0
FUNDS_DEV_TRANSFER,WZRCD,66.00%,EXPS_RSRCH_BUS_TOT_VAL,WZRCD,58.58%,EXPS_RSRCH_BUS_TOT_VAL,WZRCD,66.00%,EXPS_RSRCH_BUS_TOT_VAL,0,0,0
OWN_CONT,"
RESP_TITLE   ",66.00%,CERT_TITLE_TXT,"
RESP_TITLE   ",59.83%,CERT_TITLE_TXT,"
RESP_TITLE   ",66.00%,CERT_TITLE_TXT,0,0,0
CAPEX_MACH_TOT_SUM,TCPEX,65.80%,CAPEX_TOT_VAL,TCPEX,59.27%,CAPEX_TOT_VAL,TCPEX,65.80%,CAPEX_TOT_VAL,0,0,0
MFG_ESTAB_NUM,B_CONTRACTIN_TYPE ,65.80%,MAN_CONTRACTIN_CHKBOX,B_CONTRACTIN_TYPE ,58.08%,MAN_CONTRACTIN_CHKBOX,B_CONTRACTIN_TYPE ,65.80%,MAN_CONTRACTIN_CHKBOX,0,0,0
AFFIL_OWNER_NAME_TXT,O2_NAME_TITLE,65.70%,OWNER2_NAME,O2_NAME_TITLE,55.84%,OWNER2_NAME,O2_NAME_TITLE,65.70%,OWNER2_NAME,0,0,0
CAPEX_MIN_DEV,B_CAPEXP_TOTAL,65.70%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,63.34%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,65.70%,CAPEX_TOT_VAL,0,0,0
BUS_TECH_SER_ROB_N_ARCHIVE,,,,,,,,,,0,0,0
BUS_TECH_GUD_VEH_Y_ARCHIVE,,,,,,,,,,0,0,0
RCPT_CUST_BUS_DVAL,B_SALES_TOT_US,65.20%,SALES_US_TOT_VAL,B_SALES_TOT_US,57.59%,SALES_US_TOT_VAL,B_SALES_TOT_US,65.20%,SALES_US_TOT_VAL,0,0,0
OPSTAT_CEASED_DATE,B_CEASED_MONTH,65.20%,OPSTAT_CEASED_MONTH_DATE,B_CEASED_MONTH,59.68%,OPSTAT_CEASED_MONTH_DATE,B_CEASED_MONTH,65.20%,OPSTAT_CEASED_MONTH_DATE,0,0,0
AFFIL_OWNER_EIN,B_OWNERNUM,65.10%,OWNER_NUM_STAT,B_OWNERNUM,57.47%,OWNER_NUM_STAT,B_OWNERNUM,65.10%,OWNER_NUM_STAT,0,0,0
CAPEX_NEW_NONHWY_BUILD,B_EXPCOST_BLDG,65.10%,CAPEX_RD_OPS_BLDG_VAL,B_EXPCOST_BLDG,61.75%,CAPEX_RD_OPS_BLDG_VAL,B_EXPCOST_BLDG,65.10%,CAPEX_RD_OPS_BLDG_VAL,0,0,0
FGINFO_TITLE,"
RESP_TITLE   ",65.00%,CERT_TITLE_TXT,"
RESP_TITLE   ",61.29%,CERT_TITLE_TXT,"
RESP_TITLE   ",65.00%,CERT_TITLE_TXT,0,0,0
