name,definition
BENEFIT_PY,"Fringe Benefits, Total  Prior Year"
CAPEX_BUILD_PY,"Capital Expenditures, New and Used Buildings  Prior Year"
CAPEX_MACH_AUTO,"Capital Expenditures, Automobiles"
CAPEX_MACH_AUTO_PY,"Capital Expenditures, Automobiles Prior Year"
CAPEX_MACH_COMP,"Capital Expenditures, Computers"
CAPEX_MACH_COMP_PY,"Capital Expenditures, Computers Prior Year"
CAPEX_MACH_OTH,"Capital Expenditures, Others"
CAPEX_MACH_OTH_PY,"Capital Expenditures, Others Prior Year"
CAPEX_TOT_PY,"Capital Expenditures, New and Used Buildings and Machinery Total  Prior Year"
COST_CONTRACT,Contract work done for you by others
COST_CONTRACT_PY,Contract work done for you by others  Prior Year
COST_ELEC_PY,Purchased electricity  Prior Year
COST_FUEL_PY,"Purchased fuels consumed for heat, power, or the generation of electricity,  Prior Year"
COST_MAT_PARTS_PY,"Materials, parts, containers, packaging, supplies, etc. used for manufacturing processes, repairs, services for others, or other operating supplies   Prior Year"
COST_MAT_TOT,"Cost of Materials,  Total"
COST_MAT_TOT_PY,"Cost of Materials,  Total Prior Year"
COST_RESALE_PY,Products bought and sold as such without further processing  Prior Year
ELEC_GEN_KWH,Quantity of generated electricity
ELEC_GEN_KWH_PY,Quantity of generated electricity  Prior year
ELEC_PRCH_KWH,Quantity of purchased electricity
ELEC_PRCH_KWH_PY,Quantity of purchased electricity  Prior Year
ELEC_SOLD_KWH,Quantity of electricity sold or transferred to other domestic reporting units
ELEC_SOLD_KWH_PY,Quantity of electricity sold or transferred to other domestic reporting units  Prior Year
EMP_AVG_PRDWRK_PY,Average number of annual production workers at this establishment   Prior Year
EMP_DEC12_PRDWRK_PY,"Fourth Quarter Employment,  Production Workers  Prior Year"
EMP_JUN12_PRDWRK_PY,"Second Quarter Employment,  Production Workers  Prior Year"
EMP_MAR12_OTHWRK_M_PY,"First  Quarter Employment,  Other Manufacturing Employees  Prior Year"
EMP_MAR12_PRDWRK_PY,"First  Quarter Employment,  Production Workers  Prior Year"
EMP_SEP12_PRDWRK_PY,"Third Quarter Employment,  Production Workers  Prior Year"
EMP_SUM_AVGOTH_PY,Manufacturing:  Sum of Average Annual Production Workers and Other non production employees   Prior Year
EMP_SUM_PRDWRK_PY,Manufacturing:  Sum of Production Workers Prior Year
HOURS_TOT_M_PY,"Production Worker Hours,  Total Prior Year"
INV_VAL_AVG_BGN,"Inventories by Valuation Method, Average Cost, Beginning of Year"
INV_VAL_AVG_END,"Inventories by Valuation Method, Average Cost, End of Year"
INV_VAL_FIFO_BGN,"Inventories by Valuation Method, First-in, First-Out (FIFO), Beginning of Year"
INV_VAL_FIFO_END,"Inventories by Valuation Method, First-in, First-Out (FIFO), End of Year"
INV_VAL_LIFO_BGN,"Inventories by Valuation Method, Last-in, First-Out (LIFO), Beginnng of Year"
INV_VAL_LIFO_END,"Inventories by Valuation Method, Last-in, First-Out (LIFO), End of Year"
INV_VAL_NLIFO_TOT_BGN,"Inventories by Valuation Method, Total Non-LIFO methods,  Beginning of Year"
INV_VAL_NLIFO_TOT_END,"Inventories by Valuation Method, Total Non-LIFO methods,  End of Year"
INV_VAL_STD_BGN,"Inventories by Valuation Method, Standard Cost, Beginning of Year"
INV_VAL_STD_END,"Inventories by Valuation Method, Standard Cost, End of Year"
PAY_ANN_OTHWRK_M_PY,Annual Payroll for Other Manufacturing Employees  prior Year
PAY_ANN_PRDWRK_PY,Annual Payroll for Production Workers Prior Year
PAY_ANN_PY,Annual Payroll   Prior Year
PAY_QTR1_OTHWRK_M,"First Quarter Payroll,Other Manufacturing Employees"
PAY_QTR1_PRDWRK,First Quarter Payroll
PAY_QTR1_PY,First Quarter Payroll   Prior Year
PAY_QTR2_PRDWRK,First Quarter Payroll
PAY_QTR3_PRDWRK,First Quarter Payroll
PAY_QTR4_PRDWRK,First Quarter Payroll
PRCH_ADVERT,Purchased advertisments
PRCH_ADVERT_PY,Purchased advertisments  prior year
PRCH_COMMSVC_PY,Purchased communication services   Prior Year
PRCH_COMPUTER_OTHEQ,Expensed computer hardware and other equipment
PRCH_COMPUTER_OTHEQ_PY,Expensed computer hardware and other equipment   Prior Year
PRCH_DATAPROC,Data processing and other purchased computer services
PRCH_DATAPROC_PY,Data processing and other purchased computer services   Prior Year
PRCH_EXSOFT,"Purchased prepackaged, custom-coded or vendor-customized software"
PRCH_EXSOFT_PY,"Purchased prepackaged, custom-coded or vendor-customized software   Prior Year"
PRCH_OTHEXPS_PY,"All other purchased services, Prior year"
PRCH_OTHEXPS_WRTIN,"All other purchased services, write-in description"
PRCH_PROFTECH,Purchased professional and technical services
PRCH_PROFTECH_PY,Purchased professional and technical services   Prior Year
PRCH_REFUSE,"Water, sewer, refuse removal, and other non-electric utility payments"
PRCH_REFUSE_PY,"Water, sewer, refuse removal, and other non-electric utility payments   Prior Year"
PRCH_REPAIR,Purchased repairs and maintenance to buildings and/or machinery and equipment
PRCH_REPAIR_PY,Purchased repairs and maintenance to buildings and/or machinery and equipment  Prior Year
PRCH_TAX,Governmental taxes and licensing fees
PRCH_TAX_PY,Governmental taxes and licensing fees   Prior Year
PRCH_TEMPSTAF,Purchased services for temporary staff and leased employees  (Professional Employer Organizations and staffing agencies for personnel)
PRCH_TEMPSTAF_PY,Purchased services for temporary staff and leased employees  (Professional Employer Organizations and staffing agencies for personnel)  Prior Year
PRCH_TOT,Total Purchased Services
PRCH_TOT_PY,Total Purchased Services Prior Year
RCPT_TRANSFER_PY,Value of products shipped to other domestic plants of your company for further processing  Prior Year
REPORTING_EXAMPLE_14,Awaiting Update
ROBOT_ACTIVE,Number of industrial robots IN OPERATION at this plant
ROBOT_ACTIVE_PY,Number of industrial robots IN OPERATION for this plant  Prior Year
ROBOT_ACTIVE_WRTIN,Number of industrial robots IN OPERATION at this plant write-in description
ROBOT_CAPEX,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs"
ROBOT_CAPEX_PY,"Capital expenditures for new and used industrial robotic equipment, including software, installation, and other one-time costs  Prior Year"
ROBOT_PURCHASE,Number of industrial robots PURCHASED for this plant
ROBOT_PURCHASE_PY,Number of industrial robots PURCHASED for this plant  Prior Year
ROBOT_PURCHASE_WRTIN,Number of industrial robots PURCHASED for this plant write-in description
ACTV_MIO,Active months in operation
ADD_DATE_OPEN,"Added establishment,  date opened or is expected to open"
ADD_MAJOR_ACT_CODE,"Added establishment,  Major activity code"
ADD_SELFDSG_WRTIN,"Added establishment,  principal business or activity write-in description"
ADDR_CITY,Mailing Address City
ADDR_ST,Mailing Address State
ADDR_STREET,Mailing Address Street
ADDR_ZIP,Mailing Address ZIP Code
AFFIL_CONTROL,Does another domestic company have the power to control the management and policies of your company?
AFFIL_CONTROL_NO,Does another domestic company have the power to control the management and policies of your company?
AFFIL_CONTROL_NO_ARCHIVE,Does another domestic company have the power to control the management and policies of your company?
AFFIL_CONTROL_YES,Does another domestic company have the power to control the management and policies of your company?
AFFIL_CONTROL_YES_ARCHIVE,Does another domestic company have the power to control the management and policies of your company?
AFFIL_FOR_ADDR_CITY,"City of the foreign entity (company, individual, government, etc.)"
AFFIL_FOR_ADDR_CNTRY,"Country of the foreign entity (company, individual, government, etc.)"
AFFIL_FOR_ADDR_STREET,"Street Address of the foreign entity (company, individual, government, etc.)"
AFFIL_FOR_GE10,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other equity rights of your company?"
AFFIL_FOR_GE10_NO,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other equity rights of your company?"
AFFIL_FOR_GE10_NO_ARCHIVE,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other equity rights of your company?"
AFFIL_FOR_GE10_YES,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other equity rights of your company?"
AFFIL_FOR_GE10_YES_ARCHIVE,"Does a foreign entity (company, individual, government, etc.) own directly or indirectly 10 percent or more of the voting stock or other equity rights of your company?"
AFFIL_FOR_NAME,"Name of the foreign entity (company, individual, government, etc.)"
AFFIL_FOR_STOCK,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
AFFIL_FOR_STOCK_10TO24,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
AFFIL_FOR_STOCK_10TO24_ARCHIVE,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
AFFIL_FOR_STOCK_25TO49,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
AFFIL_FOR_STOCK_25TO49_ARCHIVE,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
AFFIL_FOR_STOCK_51TO99,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
AFFIL_FOR_STOCK_51TO99_ARCHIVE,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
AFFIL_FOR_STOCK_EQ100,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
AFFIL_FOR_STOCK_EQ100_ARCHIVE,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
AFFIL_FOR_STOCK_EQ50,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
AFFIL_FOR_STOCK_EQ50_ARCHIVE,"What percent of voting stock was owned directly or indirectly by a foreign entity (company, individual, government)?"
AFFIL_FORSTOCK_GE10,"Does this company alone, or with its domestic affiliates, own 10 percent or more of the voting stock of an incorporated foreign business enterprise, or an equivalent interest in an unincorporated business enterprise, including ownership of real estate?"
AFFIL_FORSTOCK_GE10_NO,"Does this company alone, or with its domestic affiliates, own 10 percent or more of the voting stock of an incorporated foreign business enterprise, or an equivalent interest in an unincorporated business enterprise, including ownership of real estate?"
AFFIL_FORSTOCK_GE10_NO_ARCHIVE,"Does this company alone, or with its domestic affiliates, own 10 percent or more of the voting stock of an incorporated foreign business enterprise, or an equivalent interest in an unincorporated business enterprise, including ownership of real estate?"
AFFIL_FORSTOCK_GE10_YES,"Does this company alone, or with its domestic affiliates, own 10 percent or more of the voting stock of an incorporated foreign business enterprise, or an equivalent interest in an unincorporated business enterprise, including ownership of real estate?"
AFFIL_FORSTOCK_GE10_YES_ARCHIVE,"Does this company alone, or with its domestic affiliates, own 10 percent or more of the voting stock of an incorporated foreign business enterprise, or an equivalent interest in an unincorporated business enterprise, including ownership of real estate?"
AFFIL_OWNER_ADDR_CITY,"City, town, village, etc. of the owning or controlling company"
AFFIL_OWNER_ADDR_ST,State of the owning or controlling company
AFFIL_OWNER_ADDR_STREET,Street Address of the owning or controlling company
AFFIL_OWNER_ADDR_ZIP,ZIP code of the owning or controlling company
AFFIL_OWNER_EIN,Employer Identification Number of the owning or controlling company
AFFIL_OWNER_GT50,Does another domestic company own more than 50% of the voting stock of your company?
AFFIL_OWNER_GT50_NO,Does another domestic company own more than 50% of the voting stock of your company?
AFFIL_OWNER_GT50_NO_ARCHIVE,Does another domestic company own more than 50% of the voting stock of your company?
AFFIL_OWNER_GT50_YES,Does another domestic company own more than 50% of the voting stock of your company?
AFFIL_OWNER_GT50_YES_ARCHIVE,Does another domestic company own more than 50% of the voting stock of your company?
AFFIL_OWNER_NAME,Name of the owning or controlling company
AFFIL_OWNER_STOCK,What percent of voting stock was held by the owning or controlling company?
AFFIL_OWNER_STOCK_EQ50,What percent of voting stock was held by the owning or controlling company?
AFFIL_OWNER_STOCK_EQ50_ARCHIVE,What percent of voting stock was held by the owning or controlling company?
AFFIL_OWNER_STOCK_GT50,What percent of voting stock was held by the owning or controlling company?
AFFIL_OWNER_STOCK_GT50_ARCHIVE,What percent of voting stock was held by the owning or controlling company?
AFFIL_OWNER_STOCK_LT50,What percent of voting stock was held by the owning or controlling company?
AFFIL_OWNER_STOCK_LT50_ARCHIVE,What percent of voting stock was held by the owning or controlling company?
AFFIL_SPL_ESTAB,Number of affiliated locations (child establishments) with the same EIN
AFFIL_SPL_OWN_DOM,Is the company owned or controlled by another domestic company?
AFFIL_SPL_OWN_DOM_NO,Is the company owned or controlled by another domestic company?
AFFIL_SPL_OWN_DOM_NO_ARCHIVE,Is the company owned or controlled by another domestic company?
AFFIL_SPL_OWN_DOM_YES,Is the company owned or controlled by another domestic company?
AFFIL_SPL_OWN_DOM_YES_ARCHIVE,Is the company owned or controlled by another domestic company?
BENEFIT_HEALTH,Employer's cost for health insurance
BENEFIT_HEALTH_PY,Employer's cost for health insurance  Prior Year
BENEFIT_OTH,Employer's Cost for other benefits
BENEFIT_OTH_PY,Employer's Cost for other benefits   Prior Year
BENEFIT_PENSION_BEN,Employer's Cost for defined benefit pension plans
BENEFIT_PENSION_BEN_PY,Employer's Cost for defined benefit pension plans  Prior Year
BENEFIT_PENSION_CON,Employer's Cost for defined contribution pension plans
BENEFIT_PENSION_CON_PY,Employer's Cost for defined contribution pension plans  Prior Year
BENEFIT_PY,"Fringe Benefits, Total  Prior Year"
BUS_TECH_ADD_MFG_OTH_WRTIN,"Others, describe:"
BUS_TECH_GUD_VEH_OTH_WRTIN,"Others, describe:"
BUS_TECH_IND_ROB_OTH_WRTIN,"Others, describe:"
BUS_TECH_RFID_OTH_WRTIN,"Others, describe:"
BUS_TECH_SER_ROB_OTH_WRTIN,"Others, describe:"
BUS_TECH_TOUCH_OTH_WRTIN,"Others, describe:"
CAPEX_BUILD_PY,"Capital Expenditures, New and Used Buildings  Prior Year"
CAPEX_MACH_AUTO,"Capital Expenditures, Automobiles"
CAPEX_MACH_AUTO_PY,"Capital Expenditures, Automobiles Prior Year"
CAPEX_MACH_COMP,"Capital Expenditures, Computers"
CAPEX_MACH_COMP_PY,"Capital Expenditures, Computers Prior Year"
CAPEX_MACH_OTH,"Capital Expenditures, Others"
CAPEX_MACH_OTH_PY,"Capital Expenditures, Others Prior Year"
CAPEX_TOT_PY,"Capital Expenditures, New and Used Buildings and Machinery Total  Prior Year"
CENSUS_REMARKS,Explanations in understanding the reported data
CERT_CALYEAR,"Certification, Is the time period covered by this report a calendar year?"
CERT_CALYEAR_NO,"Certification, Is the time period covered by this report a calendar year?"
CERT_CALYEAR_NO_ARCHIVE,"Certification, Is the time period covered by this report a calendar year?"
CERT_CALYEAR_YES,"Certification, Is the time period covered by this report a calendar year?"
CERT_CALYEAR_YES_ARCHIVE,"Certification, Is the time period covered by this report a calendar year?"
CERT_DATE_COMPLETED,"Certification, Calendar date survey was completed"
CERT_DATE_FROM_MONTH,"Certification, Month covered by this report (from)"
CERT_DATE_FROM_YEAR,"Certification,  Year covered by this report (from)"
CERT_DATE_TO_MONTH,"Certification,  Month covered by this report (to)"
CERT_DATE_TO_YEAR,"Certification,  Year covered by this report (to)"
CERT_EMAIL,"Certification,  Email address"
CERT_FAX,"Certification,  Fax Number"
CERT_NAME,"Certification, :Name of person to contact about the survey"
CERT_PHONE,"Certification,  Phone Number"
CERT_TITLE,"Certification,  Title of person to contact"
CHILD_FORM_MAILED,Child Form Mailed
COOPERATIVE,Is this company a cooperative?
COOPERATIVE_NO,Is this company a cooperative?
COOPERATIVE_NO_ARCHIVE,Is this company a cooperative?
COOPERATIVE_YES,Is this company a cooperative?
COOPERATIVE_YES_ARCHIVE,Is this company a cooperative?
COST_CONTRACT,Contract work done for you by others
COST_CONTRACT_PY,Contract work done for you by others  Prior Year
COST_ELEC_PY,Purchased electricity  Prior Year
COST_FUEL_PY,"Purchased fuels consumed for heat, power, or the generation of electricity,  Prior Year"
COST_MAT_PARTS_PY,"Materials, parts, containers, packaging, supplies, etc. used for manufacturing processes, repairs, services for others, or other operating supplies   Prior Year"
COST_MAT_TOT,"Cost of Materials,  Total"
COST_MAT_TOT_PY,"Cost of Materials,  Total Prior Year"
COST_RESALE_PY,Products bought and sold as such without further processing  Prior Year
EIN_NUM,Employer Identification Number
EIN_STAT,Is the Employer Identification Number correct?
EIN_STAT_NO,Is the Employer Identification Number correct?
EIN_STAT_NO_ARCHIVE,Is the Employer Identification Number correct?
EIN_STAT_YES,Is the Employer Identification Number correct?
EIN_STAT_YES_ARCHIVE,Is the Employer Identification Number correct?
ELEC_GEN_KWH,Quantity of generated electricity
ELEC_GEN_KWH_PY,Quantity of generated electricity  Prior year
ELEC_PRCH_KWH,Quantity of purchased electricity
ELEC_PRCH_KWH_PY,Quantity of purchased electricity  Prior Year
ELEC_SOLD_KWH,Quantity of electricity sold or transferred to other domestic reporting units
ELEC_SOLD_KWH_PY,Quantity of electricity sold or transferred to other domestic reporting units  Prior Year
ELECTRONIC_BATCHID,The electronic batch identification for the file
EMP_DEC12_PRDWRK_PY,"Fourth Quarter Employment,  Production Workers  Prior Year"
EMP_JUN12_PRDWRK_PY,"Second Quarter Employment,  Production Workers  Prior Year"
EMP_MAR12,Total Employment
EMP_MAR12_OTHWRK_M_PY,"First  Quarter Employment,  Other Manufacturing Employees  Prior Year"
EMP_MAR12_PRDWRK_PY,"First  Quarter Employment,  Production Workers  Prior Year"
EMP_MAR12_PY,"First  Quarter Employment,  Prior Year"
EMP_SEP12_PRDWRK_PY,"Third Quarter Employment,  Production Workers  Prior Year"
FORM_MAILED,Instrument initially assigned to the respondent to complete for the location.
HOURS_TOT_M_PY,"Production Worker Hours,  Total Prior Year"
INV_FINISHED_BGN,"Inventories, Finished Goods,  Beginning of Year"
INV_FINISHED_END,"Inventories, Finished Goods,  End of Year"
INV_MAT_BGN,"Inventories, Materials, supplies, fuels, etc., Beginning of Year"
INV_MAT_END,"Inventories, Materials, supplies, fuels, etc., End of Year"
INV_TOT_BGN,"Inventories, Total,  Beginning of Year"
INV_TOT_END,"Inventories, Total,  End of Year"
INV_VAL_AVG_BGN,"Inventories by Valuation Method, Average Cost, Beginning of Year"
INV_VAL_AVG_END,"Inventories by Valuation Method, Average Cost, End of Year"
INV_VAL_FIFO_BGN,"Inventories by Valuation Method, First-in, First-Out (FIFO), Beginning of Year"
INV_VAL_FIFO_END,"Inventories by Valuation Method, First-in, First-Out (FIFO), End of Year"
INV_VAL_LIFO_BGN,"Inventories by Valuation Method, Last-in, First-Out (LIFO), Beginnng of Year"
INV_VAL_LIFO_END,"Inventories by Valuation Method, Last-in, First-Out (LIFO), End of Year"
INV_VAL_NLIFO_TOT_BGN,"Inventories by Valuation Method, Total Non-LIFO methods,  Beginning of Year"
INV_VAL_NLIFO_TOT_END,"Inventories by Valuation Method, Total Non-LIFO methods,  End of Year"
INV_VAL_STD_BGN,"Inventories by Valuation Method, Standard Cost, Beginning of Year"
INV_VAL_STD_END,"Inventories by Valuation Method, Standard Cost, End of Year"
INV_WRKPROC_BGN,"Inventories, Work-in-process, Beginning of Year"
INV_WRKPROC_END,"Inventories, Work-in-process, End of Year"
LSD_50,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?
LSD_50_NO,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?
LSD_50_NO_ARCHIVE,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?
LSD_50_YES,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?
LSD_50_YES_ARCHIVE,Did your company lease 50 percent or more of its permanent full-and part-time workforce from a Professional Employer Organization?
MAJOR_ACT,Major Activity of a Pre-Identified Location for COS and ARUs
NAICS_WRTIN_779000001,Write-in description that corresponds to the 779000001 radio button selection
OPSTAT,"Operational Status, What is this establishment's operation status?"
OPSTAT_ACTIVE,"Operational Status, What is this establishment's operation status?"
OPSTAT_ACTIVE_ARCHIVE,"Operational Status, What is this establishment's operation status?"
OPSTAT_ADDR_CITY,"Operational Status,  New owner/operator,  City, town, village, etc."
OPSTAT_ADDR_STATE,"Operational Status,  New owner/operator,  State"
OPSTAT_ADDR_STREET,"Operational Status,  New owner/operator,  Street Address"
OPSTAT_ADDR_ZIP,"Operational Status,  New owner/operator,  ZIP Code"
OPSTAT_CEASED,"Operational Status, What is this establishment's operation status?"
OPSTAT_CEASED_ARCHIVE,"Operational Status, What is this establishment's operation status?"
OPSTAT_DATE,"Operational Status,  Ceased/Sold Operation Date"
OPSTAT_EIN,"Operational Status,  New owner/operator,  Employer Identification Number"
OPSTAT_NAME,"Operational Status,  New owner/operator,  Name"
OPSTAT_OTH,"Operational Status, What is this establishment's operation status?"
OPSTAT_OTH_ARCHIVE,"Operational Status, What is this establishment's operation status?"
OPSTAT_SEASON,"Operational Status, What is this establishment's operation status?"
OPSTAT_SEASON_ARCHIVE,"Operational Status, What is this establishment's operation status?"
OPSTAT_SOLD,"Operational Status, What is this establishment's operation status?"
OPSTAT_SOLD_ARCHIVE,"Operational Status, What is this establishment's operation status?"
OPSTAT_TEMP,"Operational Status, What is this establishment's operation status?"
OPSTAT_TEMP_ARCHIVE,"Operational Status, What is this establishment's operation status?"
OPSTAT_WRTIN,"Operational Status,  Write-in description"
PAY_ANN,Annual Payroll Total
PAY_ANN_OTHWRK_M_PY,Annual Payroll for Other Manufacturing Employees  prior Year
PAY_ANN_PRDWRK_PY,Annual Payroll for Production Workers Prior Year
PAY_ANN_PY,Annual Payroll   Prior Year
PAY_QTR1,First Quarter Payroll
PAY_QTR1_OTHWRK_M,"First Quarter Payroll,Other Manufacturing Employees"
PAY_QTR1_OTHWRK_M_PY,Prior Year First Quarter Payroll for Non-Production Workers
PAY_QTR1_PRDWRK,First Quarter Payroll
PAY_QTR1_PRDWRK_PY,Prior Year First Quater Production Worker Payroll
PAY_QTR1_PY,First Quarter Payroll   Prior Year
PAY_QTR2_PRDWRK,First Quarter Payroll
PAY_QTR3_PRDWRK,First Quarter Payroll
PAY_QTR4_PRDWRK,First Quarter Payroll
PBA_2021_ASM_10000_1,Final selected PBA code/variation for the respondent
PHYSLOC_ADDR_CITY,Physical Location City
PHYSLOC_ADDR_NO,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_ADDR_NO_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_ADDR_NOBOUND,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_ADDR_NOBOUND_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_ADDR_ST,Physical Location State
PHYSLOC_ADDR_STREET,Physical Location Street Address
PHYSLOC_ADDR_UNKNOWN,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_ADDR_UNKNOWN_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_ADDR_YES,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_ADDR_YES_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_ADDR_ZIP,Physical Location ZIP Code
PHYSLOC_LGL,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_LGL_NO,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_LGL_NO_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_LGL_NOBOUND,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_LGL_NOBOUND_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_LGL_UNKNOWN,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_LGL_UNKNOWN_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_LGL_YES,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_LGL_YES_ARCHIVE,"Physical Location,  Legal Boundaries of the city, town, village, etc."
PHYSLOC_MUNI,"Physical Location,  Municipality"
PHYSLOC_MUNI_CITY,"Physical Location,  Municipality"
PHYSLOC_MUNI_CITY_ARCHIVE,"Physical Location,  Municipality"
PHYSLOC_MUNI_DNK,"Physical Location,  Municipality"
PHYSLOC_MUNI_DNK_ARCHIVE,"Physical Location,  Municipality"
PHYSLOC_MUNI_OTH,"Physical Location,  Municipality"
PHYSLOC_MUNI_OTH_ARCHIVE,"Physical Location,  Municipality"
PHYSLOC_MUNI_TOWN,"Physical Location,  Municipality"
PHYSLOC_MUNI_TOWN_ARCHIVE,"Physical Location,  Municipality"
PRCH_ADVERT,Purchased advertisments
PRCH_ADVERT_PY,Purchased advertisments  prior year
PRCH_COMMSVC_PY,Purchased communication services   Prior Year
PRCH_COMPUTER_OTHEQ,Expensed computer hardware and other equipment
PRCH_COMPUTER_OTHEQ_PY,Expensed computer hardware and other equipment   Prior Year
PRCH_DATAPROC,Data processing and other purchased computer services
PRCH_DATAPROC_PY,Data processing and other purchased computer services   Prior Year
