variable,description
B_COOP,"Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. "
B_COOP,Nonprofit organization 
B_NOINNOV,Why the business did not have innovation activities
B_NORESULT_STOP ,Yes/No if innovation activities didn't result in outcome because activities were abandoned
B_NORESULT_ONGOING,Yes/No if innovation activities didn't result in outcome because activities are still ongoing
B_NEWCUSTSTART ,Yes/No if business was founded around a new/customized product or service created by a founder
B_NEWCUSTSTART_REASON,Why this new/customized product or service was developed
B_RDACT_ACQUIRE,Yes/No if conducted R&D activities to acquire general problem solving knowledge
B_RDACT_SPECIFIC,Yes/No if conducted R&D activities to acquire problem solving knowledge for a specific problem
B_RDACT_SYSTEM,Yes/No if conducted R&D activities involving systematic work directed to producing new or improved products or processes
B_RDACT_PROTO ,"Yes/No if conducted R&D activities using scientific research to develop and test goods, services, or processes"
B_RDACT_SOFT ,Yes/No if conducted R&D activities for software developmentYes/No if conducted R&D activities that produced findings that could be published in academic journals or presented at conferences
B_RDACT_PAPERS ,Yes/No if conducted R&D activities that produced findings that could be published in academic journals or presented at conferences
B_RDACT_APPLIED,Yes/No if conducted R&D activities that applied knowledge in a way that has never been done before
B_RDACT_SOLUTION,Yes/No if conducted R&D activities to create new solutions that could be generalized to other situations
B_RDACT_DISCOVERN,Yes/No if conducted R&D activities to discover previously unknown facts 
B_RDACT_UNDERSTAND,"Yes/No if conducted R&D activities to extend understanding of facts, relationships, or principles"
B_RDEXP_TOT,Total cost for R&D activities
B_RDEXP_FOR ,Amount of international R&D costs
B_RDEXP_DOM ,Amount of domestic R&D costs
B_RDEXP_DOM_EMPL,"Amount of domestic R&D costs going to salaries, wages, and benefits"
B_RDEXP_DOM_EQUIPMT,Amount of domestic R&D costs going to expensed machinery and equipment
B_RDEXP_DOM_MATERIALS,Amount of domestic R&D costs going to materials and supplies
B_RDEXP_DOM_PARTNR,Amount of domestic R&D costs going to payments to others for R&D
B_RDEXP_DOM_DEPR,Amount of domestic R&D costs going to depreciation on property and equipment
B_RDEXP_DOM_OTHER ,Amount of domestic R&D costs going to all other costs
B_RDEXP_DOM_SUM,Total amount of domestic R&D costs 
B_RDEXP_PDOM ,Domestic R&D performance costs
B_RDFUND_US_THISBUS,Domestic R&D costs paid by this business
B_RDFUND_FR_OWNER,Domestic R&D costs paid by foreign owner
B_RDFUND_US_OTHBUS,Domestic R&D costs paid by other U.S. businesses
B_RDFUND_FR_OTHBUS,Domestic R&D costs paid by other foreign businesses
B_RDFUND_US_EDU,Domestic R&D costs paid by U.S. universities
B_RDFUND_US_NPORG,Domestic R&D costs paid by U.S. nonprofits
B_RDFUND_US_FEDGOV,Domestic R&D costs paid by U.S. federal government
B_RDFUND_US_FEDGOV_SHARE,Federal agency paying the most R&D costs
B_RDFUND_US_STLOC,Domestic R&D costs paid by U.S. state or local government
B_RDFUND_FR_OTHER,Domestic R&D costs paid by all other foreign organizations
B_RDFUND_TOT,Total R&D funds
B_RDCOST_DOM_BASIC,Domestic R&D performance costs for basic research
B_RDCOST_DOM_APPLD,Domestic R&D performance costs for applied research
B_RDCOST_DOM_DEV,Domestic R&D performance costs for development
B_RDCOST_DOM_TOTAL ,Total domestic R&D performance costs
B_RDFED_BASIC,Federally funded R&D costs for basic research
B_RDFED_APPLD,Federally funded R&D costs for applied research
B_RDFED_DEV,Federally funded R&D costs for development
B_RDFED_TOTAL,Total federally funded R&D costs
B_CAPEXP_TOTAL,Amount of capital expenditures
B_RESOP_TOTAL,Amount of capital expenditures for R&D
B_EXPCOST_LAND,R&D capital expenditures for land acquisition
B_EXPCOST_BLDG,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement
B_EXPCOST_EQUIP,R&D capital expenditures for equipment
B_EXPCOST_TECH,R&D capital expenditures for software
B_EXPCOST_INTEL,R&D capital expenditures for IP
B_EXPCOST_OTH ,All other R&D capital expenditures
B_EXPCOST_TOTAL,Total capital expenditures by R&D category
B_RDEMP_DOMESTIC,Amount of R&D employees 
B_RDEMP_FEMALE_DOMESTIC,Amount of R&D employees that were female
B_RDEMP_MALE_DOMESTIC,Amount of R&D employees that were male
B_RDJOB_RESRCH_DOMESTIC,Amount of R&D employees that were researchers
B_RDJOB_TECH_DOMESTIC,Amount of R&D employees that were technicians
B_RDJOB_SUPPORT_DOMESTIC,Amount of R&D employees that were support staff
B_RDJOB_TOTEMP_DOMESTIC,Total R&D employees by staff type
B_RDJOB_PHD_DOMESTIC,Number of R&D researchers that had PhDs
B_EMPNUM_RDFTE_TOTAL,Full-time equivalent of the R&D employees
B_EMPNUM_RDFTE_RSEARCH,Full-time equivalent of the R&D researchers
B_RDTAXCREDIT,Yes/No if business filed for the federal tax credit for increasing research activities
B_RDSTTX,Yes/No if business filed for the state tax credit for increasing research activities
B_RDTAX_STATE,The state in which the business filed for a tax credit for increasing research activities
AFFIL ,Yes/No if organization is affiliated with or considered a part of another organization 
AFFILWI ,Details on affiliated organization 
EXPNS,Amount of total expenses
WEMP,Number of employees as of March 12th
FYEND_MONTH,Month that fiscal year ends 
RDPER,Yes/No if organization performed research 
RDPERWI,Details on research performed
RDOUT,Yes/No if organization funded research performed outside of the organization
RDOUTWI,Details on outside funded research
WZTOT,Amount of internal research funds
WZTOTWI,Details on amount spent on research within the organization
ZINT,Amount of domestic internal research funds that came from the organization itself
ZINTTOT,Total mount of internal research funds that came from the organization itself
FEDRD,Amount of domestic research funds that came from the federal government
COPYFEDRD,Total amount of research funds that came from the federal government
ZSTAT,Amount of domestic research funds that came from state and local governments
COPYZSTAT,Total amount of research funds that came from state and local governments
DZDON,Amount of domestic research funds that came from individual donors
FZDON,Amount of foreign research funds that came from individual donors
ZDON,Total amount of domestic and foreign research funds that came from individual donors
DWZRCD,Amount of domestic research funds that came from businesses
FWZRCD,Amount of foreign research funds that came from businesses
WZRCD,Total amount of domestic and foreign research funds that came from businesses
DZWUN,Amount of domestic research funds that came from universities
FZWUN,Amount of foreign research funds that came from universities
ZWUN,Total amount of domestic and foreign research funds that came from universities
DFONP,Amount of domestic research funds that came from foundations and all other nonprofits
FFONP,Amount of foreign research funds that came from foundations and all other nonprofits
FONP,Total mount of domestic and foreign internal research funds that came from foundations and all other nonprofits
DZOTH,Amount of domestic research funds that came from other sources
FZOTH,Amount of foreign research funds that came from other sources
ZOTH,Total amount of domestic and foreign internal research funds that came from other sources
NPRDSOURCE_DOM,Total amount of domestic internal research funds by source of funds
NPRDSOURCE_FGN,Total amount of foreign internal research funds by source of funds
NPRDSOURCE_TOT,Total amount of domestic and foreign internal research funds by source of funds
NPRDSOURCEWI,Details on the amount of internal research funds that came from other sources
NAGR,Amount of internal research funds allocated to agricultural sciences and natural resources
NBIO,"Amount of internal research funds allocated to biological, biomedical, and health sciences"
NENG,Amount of internal research funds allocated to engineering
NGEO,"Amount of internal research funds allocated to geosciences, atmosphere sciences, and ocean sciences"
NMTH,"Amount of internal research funds allocated to mathematics, statistics, and information science"
NPHY,Amount of internal research funds allocated to physical sciences
NPSY,Amount of internal research funds allocated to social sciences
NHUM,Amount of internal research funds allocated to humanities
NOF,Amount of internal research funds allocated to other fields
NPRDFIELD_TOT,Total amount of internal research funds by allocation field
NPRDFIELDWI,Additional detail or clarification for question response
ZCLNZP,Amount of internal research funds allocated to medical clinical trials
BASF,Amount of internal research funds allocated to basic research
XBAS,Amount of internal research funds allocated to basic research
ZBAS,Amount of internal research funds allocated to basic research
APPF,Amount of internal research funds allocated to applied research
XAPP,Amount of internal research funds allocated to applied research
ZAPP,Amount of internal research funds allocated to applied research
DEVF,Amount of internal research funds allocated to experimental development
XDEV,Amount of internal research funds allocated to experimental development
ZDEV,Amount of internal research funds allocated to experimental development
BADF,Total amount of internal research funds by research type 
XBAD,Total amount of internal research funds by research type 
ZBAD,Total amount of internal research funds by research type 
BADWI,Details on Total amount of internal research funds by research type
WZWAGE,Amount of internal research funds allocated to payroll for internal employees
WZTEMP,Amount of internal research funds allocated to contract employees 
WZDEPR,Amount of internal research funds allocated to depreciation and amortization of assets
WZEQP,Amount of internal research funds allocated to expensed machinery and equipment
WZMTR,Amount of internal research funds allocated to machinery and supplies
WZOTHER,Amount of internal research funds allocated to all other costs
WZOH_TOT,Total amount of internal research funds by cost category
WZOHWI,Additional detail or clarification for question response
WTOSE,Number of employees working on research activities who were researchers
WTTEC,Number of employees working on research activities who were research technicians
WTSUP,Number of employees working on research activities who were other support personnel 
WRDEM ,Total number of employees working on research activities
WRDEMWI,Additional detail or clarification for question response
TOTSE,Number of full-time equivalents working on research activities who were researchers
FTETE,Number of full-time equivalents working on research activities who were research technicians
FTESU,Number of full-time equivalents working on research activities who were other support personnel 
RDALE,Total number of full-time equivalents working on research activities
RDALEWI,Additional detail or clarification for question response
CONEM,Yes/No if any contract employees worked on research activities
EMPC,Number of contract employes working on research activities
VOLUN,Yes/No if any volunteers worked on research activities
EMPV,Number of volunteers working on research activities
GRNTS,Amount of funding provided to others for research grants or contracts
SUBCT,Amount of funding provided to others for research subcontracts or subawards
ZORD ,Total amount of funding provided to others for research activities
RDOUTWI2,Details on the total amount of funding provided to others for research activities
TCPEX,Total capital expenditures
CAPEX,Total capital expenditures for research operations
CAPEXWI,Additional detail or clarification for question response
CPLND,Total capital expenditures for research operations that went towards land acquisition
CPSTR,Total capital expenditures for research operations that went towards buildings and land improvement
CPEQP,Total capital expenditures for research operations that went towards equipment
CPSFT,Total capital expenditures for research operations that went towards capitalized software
OTHERCEXP,Total capital expenditures for research operations that went towards all other capital expenditures
CPTOT ,Total capital expenditures for research operations by capital expenditure category
CPTOTWI,Additional detail or clarification for question response
B_IP_UTILITY ,Yes/No if business protects IP with utility patents
B_IP_DESIGN ,Yes/No if business protects IP with design patents
B_IP_COPYRIGHT ,Yes/No if business protects IP with copyright
B_IP_TRADE ,Yes/No if business protects IP with trademarks
B_IP_COMPLEX ,Yes/No if business protects IP with design complexity
B_IP_CLAUSE ,Yes/No if business protects IP with NDAs or noncompete clauses
B_IP_IMAGE ,Yes/No if business protects IP with branding
B_IP_SECRETS ,Yes/No if business protects IP with trade secret
B_PATENT_PENDING,Number of patent applications pending
B_PATENT_OWNED ,Number of patents owned
B_IP_ACT_PURCHASE ,Yes/No if business licensed or purchased IP from non-affiliated businesses
B_IP_ACT_SOLD ,Yes/No if business licensed or sold IP to non-affiliated businesses
B_IP_ACT_TRANSFER ,"Yes/No if business transferred IP through ""know-how"" agreements to non-affiliated businesses"
B_IP_ACT_RECEIVED ,"Yes/No if business received IP through ""know-how"" agreements to non-affiliated businesses"
B_IP_ACT_CROSS ,Yes/No if business participated in cross-licensing agreements with non-affiliated businesses
B_IP_ACT_ACQUIRED   ,Yes/No if business acquired or merged with non-affiliated businesses to acquire their IP
B_IP_ACT_SPINOFF ,Yes/No if business transferred IP to a spin-off of this business
B_IP_ACT_PARENT ,Yes/No if business received IP from parent company as part of a spin-off
B_IP_ACT_FREE,Yes/No if business allowed free use of patents/IP they owned
B_IP_ACT_OPEN ,Yes/No if business made use of open-source or freely available patents/IP
B_COLLABU_COMPANY ,Yes/No if business performed collaborative research with university researchers
B_COLLABU_FUNDED ,Yes/No if business funded university research
B_COLLABU_PHD,Yes/No if business funded PhD or postdoctoral researchers at universities
B_COLLABU_PURCHASE,Yes/No if business licensed or purchased IP from a university
B_COLLABU_AGREE,Yes/No if business signed agreements pertaining to IP with universities
B_COLLABU_ENGINEER,Yes/No if business hired science/engineering graduates
B_COLLABU_ENGAGED,Yes/No if business exchanged personnel with universities
B_COLLABG_AGREE ,Yes/No if business collaboratively researched with federal laboratories
B_COLLABG_FACILITY,Yes/No if business researched at government user facilities
B_COLLABG_FUNDED,Yes/No if business funded research at federal laboratories
B_COLLABG_LICENSED,Yes/No if business licensed IP from federal laboratories
B_COLLABG_ENGAGED,Yes/No if business exchanged personnel with federal laboratories
B_COLLABG_WORKSHOP ,Yes/No if business attended workshops or seminars hosted by federal laboratories
B_COLLAB,Yes/No if business collaborated with these federal agencies 
B_COLLABNP_RESEARCH,Yes/No if business collaboratively researched with nonprofit researchers
B_COLLABNP_FUNDED,Yes/No if business funded research at a nonprofit
B_COLLABNP_LICENSED ,Yes/No if business licensed or purchased IP from a nonprofit
B_COLLABNP_NDA,Yes/No if business signed agreements pertaining to IP with a nonprofit
B_COLLABNP_ENGAGED ,Yes/No if business exchanged personnel with a nonprofit
B_WORLDEXP_TOTAL ,Total worldwide operating expenses
B_OPEXPENSE ,Total domestic operating expenses
B_ACTIVITYUC_CORE ,Yes/No if domestic unaffiliated companies conducted core production for this business
B_ACTIVITYUC_LOG ,Yes/No if domestic unaffiliated companies conducted distribution and logistics for this business
B_ACTIVITYUC_SALE ,Yes/No if domestic unaffiliated companies conducted marketing or sales services for this business
B_ACTIVITYUC_ADMIN ,Yes/No if domestic unaffiliated companies conducted administrative or management functions for this business
B_ACTIVITYUC_RD ,Yes/No if domestic unaffiliated companies conducted R&D for this business
B_ACTIVITYUC_ENG ,Yes/No if domestic unaffiliated companies conducted engineering for this business
B_ACTIVITYUC_INFO ,Yes/No if domestic unaffiliated companies conducted information and communication tech services for this business
B_ACTIVITYUC_OTHER ,Yes/No if domestic unaffiliated companies were involved in any other operating expenses
B_ACTIVITYUFC_CORE,Yes/No if foreign unaffiliated companies conducted core production for this business
B_ACTIVITYUFC_LOG ,Yes/No if foreign unaffiliated companies conducted distribution and logistics for this business
B_ACTIVITYUFC_SALE ,Yes/No if foreign unaffiliated companies conducted marketing or sales services for this business
B_ACTIVITYUFC_ADMIN ,Yes/No if foreign unaffiliated companies conducted administrative or management functions for this business
B_ACTIVITYUFC_RD ,Yes/No if foreign unaffiliated companies conducted R&D for this business
B_ACTIVITYUFC_ENG ,Yes/No if foreign unaffiliated companies conducted engineering for this business
B_ACTIVITYUFC_INFO,Yes/No if foreign unaffiliated companies conducted information and communication tech services for this business
B_ACTIVITYUFC_OTHER ,Yes/No if foreign unaffiliated companies were involved in any other operating expenses
B_ACTIVITYUFC_CORE,Yes/No if foreign affiliated companies conducted core production for this business
B_ACTIVITYUFC_LOG ,Yes/No if foreign affiliated companies conducted distribution and logistics for this business
B_ACTIVITYUFC_SALE ,Yes/No if foreign affiliated companies conducted marketing or sales services for this business
B_ACTIVITYUFC_ADMIN ,Yes/No if foreign affiliated companies conducted administrative or management functions for this business
B_ACTIVITYUFC_RD ,Yes/No if foreign affiliated companies conducted R&D for this business
B_ACTIVITYUFC_ENG ,Yes/No if foreign affiliated companies conducted engineering for this business
B_ACTIVITYUFC_INFO,Yes/No if foreign affiliated companies conducted information and communication tech services for this business
B_ACTIVITYUFC_OTHER ,Yes/No if foreign affiliated companies were involved in any other operating expenses
B_MANACTIVITY ,Yes/No if business manufactured goods in the US
B_CONTRACTOUT,Yes/No if business contracted out manufacturing tasks
B_CONTRACTOUT_TYPE,Type of companies that manufacturing was contracted out to 
B_DESIGNOUT ,Yes/No if business provided design for goods that were contracted out
B_CONTRACTIN,Yes/No if business performed manufacturing tasks for other companies in the US 
B_CONTRACTIN_TYPE ,Types of companies that this business performed manufacturing for
B_DESIGNIN ,Yes/No if business provided designs for goods that were manufactured for other businesses
B_RESHORE,Yes/No if business moved any production of goods or services from another country to the US
B_RSREASON,Reasons why business moved production from another country to the US 
B_PRODSVC_PROB,The actions taken when a production or service problem arose 
B_NUMKPI,Number of key performance indicators monitored by this business 
B_FREQKPI,How frequently key performance indicators are monitored by this business
B_FREQCSM,How frequently customer satisfaction is monitored by this business
B_BUSTARGET,The timeframe that the business focused on for production targets
B_DIFF_TARGETS,Amount of effort it took to meet production targets
B_PROMOTE_PERF,Primary method that employees are promoted at this business
B_UNDERPERFORM,Whether an underperforming employee was reassigned or dismissed by this business
B_TRAINEXP_TOT,Amount spent on formal training programs 
B_EMPTRAIN_PCT,Percent of employees that received formal training
B_EMPTRAIN_HRS,Average number of hours of training that employees at this business received
B_EMPTRAIN,The areas covered by employee training
RESP_CONTACT_NAME ,Contact Information: Name
"
RESP_TITLE   ",Contact Information: Title
"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Contact Information: Phone
RESP_PHONE_EXT ,Contact Information: Extension
RESP_EMAIL  ,Contact Information: Email
B_PROXY,Yes/No if person is reporting in behalf of business owners
RESP_REMARKS,Remarks about reported data
PERFBONUSM,What were managers’ performance bonuses usually based on at this company
RECPERFBNSM,"When production targets were met, what percent of managers at this company received performance bonuses"
PROMOTEM,What was the primary way managers were promoted at this company
UNDPERFNM,When was an under-performing manager reassigned or dismissed at this company
DESCANALYSIS,What descriptive analyses of data were typically used to support making key decisions at this company
AIENVSAFETY,What extent did this company use artificial intelligence (including machine learning algorithms in software applications) to support production scheduling and monitoring       
AIEQUIPMAIN,What extent did this company use artificial intelligence (including machine learning algorithms in software applications) to support quality control                                                 
AIPRDMON,What extent did this company use artificial intelligence (including machine learning algorithms in software applications) to support environmental or safety compliance                                                   
AIQUALC,What extent did this company use artificial intelligence (including machine learning algorithms in software applications) to support equipment maintenance                                                       
AISALESFOR,What extent did this company use artificial intelligence (including machine learning algorithms in software applications) to support supply chain management and logistics                                                 
AISPLYCHNMGT,What extent did this company use artificial intelligence (including machine learning algorithms in software applications) to supportsSales forecasting                                                                                       
PDELAYAIUSE,Factors that prevented or delayed the use of artificial intelligence at this company
EXTERNALCPA,"Did this company retain an external Certified Public Accountant to conduct an audit, review, or compilation of its financial statements"
,Frequency of financial audits
,Length of services of the current external audit firm
,Does the external CPA firm that conducts audits provide tax preparation and consulting services 
